OTU	Group
ASV_14	feces
ASV_2	feces
ASV_4	feces
ASV_4	plaque
ASV_4	saliva
ASV_3	feces
ASV_5	feces
ASV_12	plaque
ASV_12	saliva
ASV_9	feces
ASV_17	feces
ASV_7	plaque
ASV_7	saliva
ASV_6	feces
ASV_70	feces
ASV_13	feces
ASV_10	feces
ASV_8	plaque
ASV_8	saliva
ASV_19	plaque
ASV_19	saliva
ASV_11	feces
ASV_31	plaque
ASV_31	saliva
ASV_15	feces
ASV_22	feces
ASV_20	plaque
ASV_20	saliva
ASV_18	feces
ASV_30	feces
ASV_21	feces
ASV_24	plaque
ASV_24	saliva
ASV_25	feces
ASV_33	feces
ASV_33	plaque
ASV_33	saliva
ASV_52	feces
ASV_34	feces
ASV_44	feces
ASV_1	feces
ASV_26	plaque
ASV_26	saliva
ASV_29	feces
ASV_100	feces
ASV_43	feces
ASV_27	plaque
ASV_27	saliva
ASV_68	feces
ASV_36	feces
ASV_28	feces
ASV_35	feces
ASV_40	feces
ASV_42	feces
ASV_23	feces
ASV_39	plaque
ASV_39	saliva
ASV_49	feces
ASV_55	plaque
ASV_55	saliva
ASV_51	feces
ASV_41	plaque
ASV_41	saliva
ASV_72	plaque
ASV_72	saliva
ASV_37	plaque
ASV_37	saliva
ASV_38	feces
ASV_63	plaque
ASV_63	saliva
ASV_50	plaque
ASV_50	saliva
ASV_32	feces
ASV_58	plaque
ASV_58	saliva
ASV_45	feces
ASV_54	plaque
ASV_54	saliva
ASV_46	plaque
ASV_46	saliva
ASV_53	plaque
ASV_53	saliva
ASV_76	feces
ASV_607	feces
ASV_93	plaque
ASV_93	saliva
ASV_60	feces
ASV_48	feces
ASV_47	feces
ASV_231	feces
ASV_57	feces
ASV_59	plaque
ASV_71	plaque
ASV_71	saliva
ASV_94	feces
ASV_77	feces
ASV_88	plaque
ASV_88	saliva
ASV_69	feces
ASV_89	plaque
ASV_98	feces
ASV_111	feces
ASV_61	feces
ASV_83	feces
ASV_66	feces
ASV_139	plaque
ASV_139	saliva
ASV_65	feces
ASV_80	plaque
ASV_80	saliva
ASV_67	plaque
ASV_67	saliva
ASV_78	feces
ASV_56	feces
ASV_91	feces
ASV_75	feces
ASV_440	feces
ASV_95	feces
ASV_82	plaque
ASV_82	saliva
ASV_84	feces
ASV_114	feces
ASV_109	plaque
ASV_109	saliva
ASV_79	plaque
ASV_79	saliva
ASV_101	plaque
ASV_103	feces
ASV_236	feces
ASV_74	plaque
ASV_74	saliva
ASV_81	feces
ASV_90	plaque
ASV_90	saliva
ASV_110	plaque
ASV_110	saliva
ASV_86	plaque
ASV_64	feces
ASV_164	feces
ASV_123	feces
ASV_194	feces
ASV_120	feces
ASV_120	saliva
ASV_87	feces
ASV_118	feces
ASV_135	feces
ASV_102	plaque
ASV_102	saliva
ASV_122	saliva
ASV_104	feces
ASV_62	feces
ASV_92	feces
ASV_108	feces
ASV_119	saliva
ASV_105	feces
ASV_134	feces
ASV_96	plaque
ASV_145	plaque
ASV_145	saliva
ASV_179	saliva
ASV_116	plaque
ASV_116	saliva
ASV_112	feces
ASV_99	feces
ASV_133	feces
ASV_202	plaque
ASV_174	plaque
ASV_174	saliva
ASV_121	saliva
ASV_155	feces
ASV_171	feces
