bray_curtis_binary	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.428	0.417	0.450	0.386	0.534	0.927	0.944	0.950	0.923	0.938	0.947	0.927	0.928	0.921	0.926	0.916	0.923
feces2	0.428	0	0.287	0.547	0.426	0.450	0.963	0.961	0.964	0.966	0.963	0.963	0.943	0.958	0.952	0.955	0.950	0.954
feces3	0.417	0.287	0	0.520	0.444	0.475	0.968	0.969	0.963	0.953	0.962	0.962	0.960	0.959	0.964	0.962	0.957	0.954
feces4	0.450	0.547	0.520	0	0.484	0.491	0.916	0.941	0.920	0.917	0.890	0.929	0.907	0.896	0.875	0.906	0.892	0.907
feces5	0.386	0.426	0.444	0.484	0	0.508	0.924	0.927	0.927	0.918	0.925	0.910	0.900	0.907	0.907	0.908	0.902	0.908
feces6	0.534	0.450	0.475	0.491	0.508	0	0.900	0.928	0.915	0.902	0.917	0.913	0.884	0.883	0.895	0.890	0.878	0.885
plaque1	0.927	0.963	0.968	0.916	0.924	0.900	0	0.255	0.411	0.404	0.465	0.283	0.288	0.359	0.312	0.246	0.284	0.185
plaque2	0.944	0.961	0.969	0.941	0.927	0.928	0.255	0	0.413	0.438	0.431	0.349	0.366	0.436	0.335	0.343	0.430	0.260
plaque3	0.950	0.964	0.963	0.920	0.927	0.915	0.411	0.413	0	0.410	0.534	0.363	0.202	0.396	0.432	0.365	0.410	0.377
plaque4	0.923	0.966	0.953	0.917	0.918	0.902	0.404	0.438	0.410	0	0.501	0.350	0.412	0.130	0.446	0.365	0.443	0.384
plaque5	0.938	0.963	0.962	0.890	0.925	0.917	0.465	0.431	0.534	0.501	0	0.475	0.517	0.514	0.279	0.500	0.572	0.443
plaque6	0.947	0.963	0.962	0.929	0.910	0.913	0.283	0.349	0.363	0.350	0.475	0	0.306	0.319	0.361	0.148	0.348	0.266
saliva1	0.927	0.943	0.960	0.907	0.900	0.884	0.288	0.366	0.202	0.412	0.517	0.306	0	0.350	0.331	0.242	0.282	0.255
saliva2	0.928	0.958	0.959	0.896	0.907	0.883	0.359	0.436	0.396	0.130	0.514	0.319	0.350	0	0.384	0.301	0.348	0.329
saliva3	0.921	0.952	0.964	0.875	0.907	0.895	0.312	0.335	0.432	0.446	0.279	0.361	0.331	0.384	0	0.303	0.364	0.270
saliva4	0.926	0.955	0.962	0.906	0.908	0.890	0.246	0.343	0.365	0.365	0.500	0.148	0.242	0.301	0.303	0	0.259	0.217
saliva5	0.916	0.950	0.957	0.892	0.902	0.878	0.284	0.430	0.410	0.443	0.572	0.348	0.282	0.348	0.364	0.259	0	0.266
saliva6	0.923	0.954	0.954	0.907	0.908	0.885	0.185	0.260	0.377	0.384	0.443	0.266	0.255	0.329	0.270	0.217	0.266	0
