unifrac_binary	feces1	feces5	feces2	feces3	feces4	feces6	plaque1	saliva6	saliva3	plaque6	saliva4	saliva1	plaque3	plaque4	saliva2	saliva5	plaque2	plaque5
feces1	0	0.213	0.327	0.292	0.295	0.404	0.871	0.859	0.856	0.871	0.865	0.855	0.880	0.855	0.865	0.871	0.881	0.857
feces5	0.213	0	0.301	0.296	0.297	0.399	0.861	0.847	0.841	0.849	0.845	0.834	0.864	0.845	0.858	0.859	0.857	0.854
feces2	0.327	0.301	0	0.152	0.463	0.362	0.864	0.853	0.851	0.857	0.860	0.849	0.869	0.855	0.870	0.870	0.847	0.878
feces3	0.292	0.296	0.152	0	0.424	0.376	0.890	0.881	0.881	0.889	0.894	0.883	0.895	0.881	0.894	0.900	0.885	0.891
feces4	0.295	0.297	0.463	0.424	0	0.341	0.852	0.843	0.824	0.854	0.842	0.831	0.848	0.824	0.831	0.840	0.872	0.810
feces6	0.404	0.399	0.362	0.376	0.341	0	0.853	0.839	0.826	0.853	0.838	0.825	0.858	0.834	0.832	0.843	0.876	0.824
plaque1	0.871	0.861	0.864	0.890	0.852	0.853	0	0.113	0.166	0.182	0.171	0.172	0.205	0.200	0.201	0.217	0.173	0.276
saliva6	0.859	0.847	0.853	0.881	0.843	0.839	0.113	0	0.129	0.185	0.151	0.145	0.210	0.179	0.170	0.208	0.183	0.245
saliva3	0.856	0.841	0.851	0.881	0.824	0.826	0.166	0.129	0	0.190	0.175	0.181	0.218	0.189	0.171	0.238	0.196	0.189
plaque6	0.871	0.849	0.857	0.889	0.854	0.853	0.182	0.185	0.190	0	0.111	0.192	0.224	0.189	0.179	0.220	0.275	0.287
saliva4	0.865	0.845	0.860	0.894	0.842	0.838	0.171	0.151	0.175	0.111	0	0.131	0.190	0.187	0.152	0.165	0.260	0.313
saliva1	0.855	0.834	0.849	0.883	0.831	0.825	0.172	0.145	0.181	0.192	0.131	0	0.145	0.204	0.176	0.164	0.228	0.306
plaque3	0.880	0.864	0.869	0.895	0.848	0.858	0.205	0.210	0.218	0.224	0.190	0.145	0	0.202	0.204	0.218	0.258	0.303
plaque4	0.855	0.845	0.855	0.881	0.824	0.834	0.200	0.179	0.189	0.189	0.187	0.204	0.202	0	0.0954	0.249	0.241	0.257
saliva2	0.865	0.858	0.870	0.894	0.831	0.832	0.201	0.170	0.171	0.179	0.152	0.176	0.204	0.0954	0	0.191	0.276	0.277
saliva5	0.871	0.859	0.870	0.900	0.840	0.843	0.217	0.208	0.238	0.220	0.165	0.164	0.218	0.249	0.191	0	0.317	0.371
plaque2	0.881	0.857	0.847	0.885	0.872	0.876	0.173	0.183	0.196	0.275	0.260	0.228	0.258	0.241	0.276	0.317	0	0.287
plaque5	0.857	0.854	0.878	0.891	0.810	0.824	0.276	0.245	0.189	0.287	0.313	0.306	0.303	0.257	0.277	0.371	0.287	0
