class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
0-14-0-80-59-12	Bacteroidota_A	Bacteria								0.0083333333333333				
2-12-FULL-62-27	Lindowbacteria	Bacteria										0.004		
32-111	WOR-3	Bacteria		0.0055702105166283	0.0967253562803044	0.0034071550275594	0.0454545454545454	0.0127589385745555			0.058823529411764705	0.024	0.0078740157480314	
4484-113	4484-113	Bacteria		0.0028390298344205	0.0187165775401069							0.0040000001258077	0.0511811023622046	0.0188679245283018
4484-211	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631	0.0034071550255536					0.0196078431372549	0.0040000001258077	0.0354330708661417	
4572-55	4572-55	Bacteria											0.0039370078740157	
9FT-COMBO-42-15	Nitrospirota	Bacteria		0.024638681586456	0.0216839336750243			0.0087443803801607			0.058823529411764705	0.012206446609779101	0.039370078740157397	0.0094339622641509
AABM5-125-24	Electryoneota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
AB16	Marinisomatota	Bacteria	0.0132529163897185	0.024638681586456	0.024357730466468098	0.0017035775127768		0.0151409688663014		0.0416666666666352	0.058823529411764705	0.012206446609779101	0.0551182867502716	0.0389773191899239
AC-67	Actinomycetota	Bacteria	0.0132529163897185			0.0017035775127768		0.0063965884861407		0.0416666666666352	0.0196078431372549		0.003937184388067	0.0201093946616221
AC1	Edwardsbacteria	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0784313725490196	0.0082064464839714	0.0078740157480314	0.0094339622641509
ARS69	ARS69	Bacteria		0.0027855153203342								0.0039999999999988		
AUK180	AUK180	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.003937184388067	0.0201093946616221
Abditibacteriia	Armatimonadota	Bacteria	0.0066739690212975	0.0217996517520355	0.0056411529263612	0.0017035775127768		0.0151409688663014			0.0784313725490196	0.0082064464839714	0.0118112001360984	0.0389773191899239
Acidimicrobiia	Actinomycetota	Bacteria	0.7688155947733609	2.9124005034263827	2.7164678290395483	0.6946648096652333	1.0269307240723993	1.904694613511036	1.6592021018213745	2.5218635511842242	5.47291749984703	1.5648070086866348	2.858276542237966	2.3970886141073677
Actinomycetes	Actinomycetota	Bacteria	6.192535474474343	24.550044115926628	21.319380645848746	9.554887399615575	9.336252798521219	17.972140244688624	15.773887619482316	22.487554297303447	46.47530842972921	14.308864491682735	19.409743830224166	18.349154653717182
Aerophobia	Aerophobota	Bacteria								0.0083333333333333	0.0392156862745098			
Alphaproteobacteria	Pseudomonadota	Bacteria	5.16670911071965	23.274783440357258	19.69811380011487	7.529845456828877	8.007302608381492	15.325982058855669	14.614814176837962	22.512083961712925	41.53526576166378	13.294638942709232	19.240217791350517	16.500238761638172
Aminicenantia	Acidobacteriota	Bacteria	0.026505832779437098	0.1132907010265135	0.1481146140046844	0.0306643952230361	0.034090909090909	0.2424591336128241	0.0454545454545454		0.27450980392156865	0.0484128930937482	0.1023625577525113	0.0685206761156969
Anaeroferrophillalia	Desulfobacterota	Bacteria											0.0039370078740157	
Anaerolineae	Chloroflexota	Bacteria	0.4234281729008583	1.6349050018191333	1.733444449702611	0.4274882464582354	0.6830191679167885	1.167408972292938	0.8409772409884415	1.3083333333333282	3.335662597886246	1.0401520091317784	1.3425239755603111	1.311614813916709
Ancaeobacteria	JAKLEM01	Bacteria		0.0055702105166283	0.0909090909090909	0.0017035775127768	0.0454545454545454	0.0127589385745555				0.024	0.0078740157480314	
Andersenbacteria	Patescibacteriota	Bacteria						0.0042643923240938			0.0392156862745098	0.0039999988424947		
Aquicultoria	Actinomycetota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.007874192262082701	0.0201093946616221
Aquificia	Aquificota	Bacteria	0.0662645819485927	0.304849664928169	0.2614698697205988	0.09369676321568919	0.1931818181818179	0.2758969448271266	0.11364743603177771	0.19166666666667628	0.49019607843137253	0.1408331191167279	0.1220481266647436	0.1854526336854686
Armatimonadia	Armatimonadota	Bacteria		0.0197964777995098	0.03475935828877	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0392156862745098	0.0360036668420365	0.08267716535433049	
Atribacteria	Atribacterota	Bacteria	0.0197368421052631	0.0306406685236768	0.0106951871657754		0.0113636363636363			0.0083333333333333	0.0196078431372549	0.008	0.0039370078740157	
Auribacteria	Auribacterota	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392				0.008		
B129-G9	Planctomycetota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
B13-G15	Desulfobacterota	Bacteria											0.0039370078740157	
B3-B38	Acidobacteriota	Bacteria											0.0039370078740157	
B62-G9	Spirochaetota	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834			0.0196078431372549	0.012		
B64-G9	Myxococcota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0196078431372549	0.0200036665904223	0.0078740157480314	
BMS3Abin14	BMS3Abin14	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834			0.0196078431372549	0.016		
