tax_id	abundance	superkingdom	phylum	class	order	family	genus	species
5337	0.02766798418972332	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thioalkalimicrobium	
3795	0.02766798418972332	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	
1591	0.3754940711463392	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae		
8382	0.023715415019762844	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus	
7857	0.03162055335968379	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae		
496	0.007905138339920948	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales			
6691	0.007905138339920948	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
205	0.03162055335968379	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus	
2781	0.04743083003952569	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
18584	0.015810276679841896	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Natranaerovirga	
4835	0.003952569169960474	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36			
257	0.011857707509881422	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
3197	0.007905138339920948	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	
4161	0.003952569169960474	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2		
8726	0.003952569169960474	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	vinosum
3118	0.015810276679841896	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	
6653	0.003952569169960474	Bacteria	Patescibacteria	Gracilibacteria				
8212	0.07509881422924901	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lentibacter	
7989	0.003952569169960474	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lacimonas	
19191	0.003952568413330023	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 7	aestuarii
4126	0.003952569926590925	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 7	grantii
