Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
E1	0.036	0.851	228.3	0.991	0.989	113.2	118.3	139.0	125.0	0.913	0.00937	4.77	6.89	2.07
E2	0.0504	0.846	953.9	0.990	0.984	108.9	117.5	139.0	127.0	0.953	0.0103	4.77	6.88	2.07
E3	0.108	0.492	4613.5	0.970	0.916	48.3	68.4	139.0	101.0	0.931	0.0298	4.23	6.10	1.84
E4	0.568	0.078	1460.5	0.673	0.592	4.54	10.8	139.0	56.0	0.930	0.327	2.38	3.44	1.04
E5	0.0863	0.698	118.0	0.983	0.959	78.9	97.0	139.0	118.0	0.958	0.0168	4.57	6.60	1.99
E6	0.0576	0.789	1863.5	0.988	0.976	98.1	109.6	139.0	123.0	0.952	0.012	4.70	6.78	2.04
E7	0.0144	0.980	2415.1	0.993	0.999	135.7	136.3	139.0	137.0	0.978	0.0074	4.91	7.09	2.13
N1	0.0791	0.664	263.2	0.983	0.957	75.9	92.3	139.0	113.0	0.912	0.017	4.53	6.53	1.97
N2	0.0288	0.923	133.0	0.992	0.993	124.3	128.3	139.0	133.0	0.978	0.00844	4.85	7.00	2.11
O1	0.0288	0.951	8979.5	0.992	0.996	129.8	132.2	139.0	135.0	0.978	0.00792	4.88	7.05	2.12
O2	0.115	0.712	1892.1	0.980	0.957	75.5	99.0	139.0	122.0	0.967	0.0198	4.60	6.63	2.00
S1	0.0216	0.935	2213.1	0.992	0.995	127.6	129.9	139.0	133.0	0.963	0.00802	4.87	7.02	2.11
