unifrac	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.816	0.812	0.894	0.802	0.810	0.761	0.846	0.768	0.801	0.827	0.698
E2	0.816	0	0.578	0.890	0.440	0.614	0.709	0.692	0.825	0.868	0.877	0.837
E3	0.812	0.578	0	0.886	0.553	0.662	0.740	0.726	0.866	0.862	0.862	0.801
E4	0.894	0.890	0.886	0	0.876	0.797	0.833	0.892	0.851	0.912	0.906	0.759
E5	0.802	0.440	0.553	0.876	0	0.570	0.678	0.644	0.869	0.783	0.846	0.825
E6	0.810	0.614	0.662	0.797	0.570	0	0.734	0.787	0.833	0.801	0.818	0.784
E7	0.761	0.709	0.740	0.833	0.678	0.734	0	0.745	0.766	0.786	0.810	0.624
N1	0.846	0.692	0.726	0.892	0.644	0.787	0.745	0	0.784	0.813	0.791	0.843
N2	0.768	0.825	0.866	0.851	0.869	0.833	0.766	0.784	0	0.910	0.946	0.674
O1	0.801	0.868	0.862	0.912	0.783	0.801	0.786	0.813	0.910	0	0.535	0.782
O2	0.827	0.877	0.862	0.906	0.846	0.818	0.810	0.791	0.946	0.535	0	0.792
S1	0.698	0.837	0.801	0.759	0.825	0.784	0.624	0.843	0.674	0.782	0.792	0
