unifrac_binary	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.811	0.813	0.828	0.788	0.815	0.783	0.876	0.787	0.785	0.807	0.700
E2	0.811	0	0.611	0.845	0.462	0.625	0.717	0.741	0.820	0.862	0.864	0.825
E3	0.813	0.611	0	0.804	0.535	0.629	0.699	0.765	0.840	0.840	0.830	0.768
E4	0.828	0.845	0.804	0	0.781	0.698	0.762	0.827	0.807	0.827	0.836	0.662
E5	0.788	0.462	0.535	0.781	0	0.608	0.665	0.712	0.861	0.760	0.822	0.803
E6	0.815	0.625	0.629	0.698	0.608	0	0.734	0.847	0.843	0.793	0.800	0.757
E7	0.783	0.717	0.699	0.762	0.665	0.734	0	0.727	0.761	0.783	0.803	0.634
N1	0.876	0.741	0.765	0.827	0.712	0.847	0.727	0	0.770	0.824	0.766	0.827
N2	0.787	0.820	0.840	0.807	0.861	0.843	0.761	0.770	0	0.907	0.940	0.680
O1	0.785	0.862	0.840	0.827	0.760	0.793	0.783	0.824	0.907	0	0.517	0.786
O2	0.807	0.864	0.830	0.836	0.822	0.800	0.803	0.766	0.940	0.517	0	0.798
S1	0.700	0.825	0.768	0.662	0.803	0.757	0.634	0.827	0.680	0.786	0.798	0
