OTUID	All	East	North	Outside	South
OTU_511	4.71183	8.077423	0.000000	0.000000	0.000000
OTU_15	2.215146	3.7300073	0.0000000	0.2358491	0.0000000
OTU_118	1.269679	2.1316681	0.0000000	0.1572327	0.0000000
OTU_1773	1.064494	0.1027749	0.0000000	6.0272537	0.0000000
OTU_944	1.028835	1.74125574	0.00000000	0.07861635	0.00000000
OTU_27	0.812577	1.39299	0.00000	0.00000	0.00000
OTU_1901	0.344444	0.5904762	0.0000000	0.0000000	0.0000000
OTU_980	1.11502	0.9978415	3.1976744	0.0000000	0.0000000
OTU_1977	0.393466	0.03809524	0.00000000	2.22746331	0.00000000
OTU_297	0.741114	0.2738032	3.4883721	0.0000000	0.0000000
OTU_1684	0.195035	0.3343465	0.0000000	0.0000000	0.0000000
OTU_1747	0.231087	0.3961499	0.0000000	0.0000000	0.0000000
OTU_371	0.374479	0.61950235	0.00000000	0.07861635	0.00000000
OTU_73	0.418229	0.7169647	0.0000000	0.0000000	0.0000000
OTU_2530	0.192861	0.3306196	0.0000000	0.0000000	0.0000000
OTU_1921	0.111111	0.1904762	0.0000000	0.0000000	0.0000000
OTU_405	0.139727	0.2395312	0.0000000	0.0000000	0.0000000
OTU_471	0.110687	0.1897494	0.0000000	0.0000000	0.0000000
OTU_11	0.166676	0.285731	0.000000	0.000000	0.000000
OTU_200	0.181159	0.3105576	0.0000000	0.0000000	0.0000000
OTU_1035	0.153721	0.09740882	0.58139535	0.00000000	0.00000000
OTU_1576	0.062057	0.106383	0.000000	0.000000	0.000000
OTU_106	0.104046	0.1334407	0.0000000	0.1572327	0.0000000
OTU_2703	0.290698	0.000000	1.744186	0.000000	0.000000
OTU_3026	0.100454	0.0000000	0.0000000	0.6027254	0.0000000
OTU_403	0.114692	0.1135589	0.2906977	0.0000000	0.0000000
OTU_4137	0.177305	0.00000	0.00000	0.00000	2.12766
OTU_49	0.103186	0.1768895	0.0000000	0.0000000	0.0000000
OTU_964	0.08032	0.1376915	0.0000000	0.0000000	0.0000000
OTU_1946	0.057547	0.07619048	0.00000000	0.07861635	0.00000000
OTU_361	0.075682	0.09979226	0.00000000	0.10482180	0.00000000
OTU_40	0.07809	0.1338683	0.0000000	0.0000000	0.0000000
OTU_83	0.093774	0.09337068	0.00000000	0.23584906	0.00000000
OTU_91	0.092074	0.1578419	0.0000000	0.0000000	0.0000000
OTU_140	0.151365	0.09337068	0.58139535	0.00000000	0.00000000
OTU_1422	0.061276	0.01519757	0.00000000	0.31446541	0.00000000
OTU_1472	0.154214	0.01519757	0.87209302	0.00000000	0.00000000
OTU_1666	0.035461	0.06079027	0.00000000	0.00000000	0.00000000
OTU_1922	0.044444	0.07619048	0.00000000	0.00000000	0.00000000
OTU_1930	0.044444	0.07619048	0.00000000	0.00000000	0.00000000
OTU_21	0.108932	0.1867414	0.0000000	0.0000000	0.0000000
OTU_2634	0.163961	0.09718173	0.28901734	0.00000000	0.70921986
OTU_2861	0.192678	0.000000	1.156069	0.000000	0.000000
OTU_2872	0.192678	0.000000	1.156069	0.000000	0.000000
OTU_3067	0.056778	0.0000000	0.0000000	0.3406709	0.0000000
OTU_4135	0.118203	0.00000	0.00000	0.00000	1.41844
OTU_549	0.139419	0.02271179	0.57971502	0.00000000	0.35460993
OTU_7	0.108932	0.1867414	0.0000000	0.0000000	0.0000000
OTU_1018	0.125271	0.1316934	0.2906977	0.0000000	0.0000000
OTU_114	0.055213	0.09465141	0.00000000	0.00000000	0.00000000
OTU_1309	0.047442	0.02891845	0.00000000	0.18343816	0.00000000
OTU_1327	0.039091	0.06701369	0.00000000	0.00000000	0.00000000
OTU_1389	0.07442	0.1275769	0.0000000	0.0000000	0.0000000
OTU_1411	0.031087	0.05329281	0.00000000	0.00000000	0.00000000
OTU_1738	0.030979	0.05310692	0.00000000	0.00000000	0.00000000
OTU_175	0.053584	0.06939713	0.00000000	0.07861635	0.00000000
OTU_1941	0.037317	0.01904762	0.00000000	0.15723270	0.00000000
OTU_1990	0.033333	0.05714286	0.00000000	0.00000000	0.00000000
OTU_2098	0.039693	0.03809524	0.00000000	0.10482180	0.00000000
OTU_211	0.086335	0.04668534	0.00000000	0.00000000	0.70921986
OTU_2697	0.145349	0.000000	0.872093	0.000000	0.000000
OTU_3028	0.039308	0.0000000	0.0000000	0.2358491	0.0000000
OTU_3083	0.048043	0.00000	0.00000	0.28826	0.00000
OTU_314	0.081699	0.140056	0.000000	0.000000	0.000000
OTU_3239	0.048043	0.00000	0.00000	0.28826	0.00000
OTU_332	0.057351	0.09831558	0.00000000	0.00000000	0.00000000
OTU_3380	0.048043	0.00000	0.00000	0.28826	0.00000
OTU_391	0.041229	0.07067786	0.00000000	0.00000000	0.00000000
OTU_398	0.035471	0.06080703	0.00000000	0.00000000	0.00000000
OTU_425	0.046987	0.08054869	0.00000000	0.00000000	0.00000000
OTU_6	0.081699	0.140056	0.000000	0.000000	0.000000
OTU_999	0.044849	0.07688452	0.00000000	0.00000000	0.00000000
OTU_1	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_1001	0.033738	0.0578369	0.0000000	0.0000000	0.0000000
OTU_1071	0.025734	0.04411602	0.00000000	0.00000000	0.00000000
OTU_1076	0.02798	0.04796607	0.00000000	0.00000000	0.00000000
OTU_1093	0.033738	0.0578369	0.0000000	0.0000000	0.0000000
OTU_1148	0.034339	0.02891845	0.00000000	0.10482180	0.00000000
OTU_1153	0.025734	0.04411602	0.00000000	0.00000000	0.00000000
OTU_1184	0.02798	0.04796607	0.00000000	0.00000000	0.00000000
OTU_127	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_1280	0.033738	0.0578369	0.0000000	0.0000000	0.0000000
OTU_1299	0.033738	0.0578369	0.0000000	0.0000000	0.0000000
OTU_13	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_136	0.040482	0.06939713	0.00000000	0.00000000	0.00000000
OTU_1397	0.01773	0.03039514	0.00000000	0.00000000	0.00000000
