OTUID	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
OTU_118	1	7	13	0	3	0	0	0	0	0	0	0
OTU_15	1	4	8	1	12	8	0	0	0	1	0	0
OTU_1684	0	0	0	5	0	0	0	0	0	0	0	0
OTU_1747	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1773	0	0	0	0	1	0	0	0	0	0	16	0
OTU_1901	0	0	0	0	0	5	0	0	0	0	0	0
OTU_1977	0	0	0	0	0	0	0	0	0	4	2	0
OTU_200	0	1	3	0	1	0	0	0	0	0	0	0
OTU_27	5	0	0	0	0	0	0	0	0	0	0	0
OTU_2703	0	0	0	0	0	0	0	4	0	0	0	0
OTU_2861	0	0	0	0	0	0	0	0	4	0	0	0
OTU_2872	0	0	0	0	0	0	0	0	4	0	0	0
OTU_297	1	1	0	0	0	0	0	11	0	0	0	0
OTU_371	0	2	0	1	3	0	0	0	0	1	0	0
OTU_49	2	2	0	0	0	1	0	0	0	0	0	0
OTU_511	0	0	0	79	0	0	0	0	0	0	0	0
OTU_73	0	0	1	0	1	0	2	0	0	0	0	0
OTU_944	0	0	15	0	1	1	0	0	0	0	0	0
OTU_980	0	0	3	0	7	0	0	8	0	0	0	0
