richness	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
1	0.0	0.0	0.0	1.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	1.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	1.000	1.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	1.000	1.000	0.0	0.0	0.0	0.0	0.0	0.0	1.000	0.0
5	0.0	1.000	2.00	1.000	1.000	0.0	0.0	1.000	0.0	0.0	1.000	0.0
6	0.0	0.0	2.00	1.000	1.000	0.0	0.0	1.000	0.0	0.0	1.000	0.0
7	0.0	1.000	2.00	2.00	1.000	1.000	0.0	1.000	1.000	0.0	1.000	0.0
8	0.0	0.0	3.00	1.000	2.00	1.000	0.0	2.00	0.0	0.0	1.000	0.0
9	1.000	0.0	3.00	2.00	2.00	1.000	0.0	2.00	0.0	0.0	1.000	0.0
10	0.0	2.00	3.00	2.00	2.00	2.00	0.0	2.00	1.000	1.000	1.000	0.0
11	1.000	2.00	3.00	2.00	2.00	2.00	0.0	2.00	0.0	0.0	1.000	0.0
12	1.000	2.00	4.00	2.00	3.00	3.00	0.0	3.00	2.00	1.000	1.000	2.00
13	0.0	2.00	4.00	2.00	2.00	2.00	0.0	2.00	2.00	1.000	1.000	0.0
14	1.000	2.00	4.00	2.00	3.00	4.00	0.0	3.00	2.00	1.000	1.000	1.000
15	1.000	2.00	4.00	2.00	2.00	3.00	0.0	3.00	2.00	0.0	1.000	1.000
16	2.00	2.00	3.00	2.00	4.00	3.00	0.0	3.00	1.000	1.000	1.000	2.00
17	3.00	3.00	3.00	2.00	3.00	4.00	0.0	3.00	2.00	1.000	2.00	1.000
18	3.00	2.00	3.00	2.00	4.00	3.00	0.0	3.00	1.000	1.000	1.000	0.0
19	3.00	3.00	5.00	2.00	3.00	3.00	1.000	3.00	1.000	1.000	1.000	2.00
20	6.00	3.00	4.00	2.00	4.00	4.00	1.000	4.00	2.00	1.000	2.00	3.00
21	6.00	3.00	4.00	3.00	4.00	3.00	1.000	4.00	2.00	2.00	1.000	1.000
22	5.00	4.00	4.00	2.00	4.00	5.00	1.000	3.00	2.00	1.000	1.000	3.00
23	8.00	5.00	5.00	4.00	4.00	4.00	1.000	5.00	2.00	2.00	2.00	3.00
24	8.00	4.00	5.00	3.00	5.00	4.00	2.00	7.00	3.00	3.00	4.00	2.00
25	5.00	4.00	5.00	3.00	5.00	6.00	3.00	8.00	3.00	5.00	1.000	5.00
26	10.00	5.00	6.00	2.00	4.00	7.00	3.00	7.00	3.00	3.00	4.00	6.00
27	9.00	5.00	5.00	3.00	6.00	5.00	3.00	9.00	7.00	6.00	6.00	7.00
28	10.00	10.00	8.00	3.00	8.00	5.00	3.00	10.00	3.00	7.00	3.00	5.00
29	12.0	6.00	9.00	4.00	9.00	9.00	5.00	13.0	5.00	10.00	11.0	9.00
30	14.0	8.00	9.00	3.00	12.0	9.00	8.00	14.0	8.00	7.00	9.00	8.00
31	11.0	9.00	8.00	5.00	11.0	9.00	6.00	14.0	7.00	3.00	6.00	9.00
32	21.0	10.00	7.00	5.00	8.00	13.0	8.00	17.0	6.00	9.00	11.0	12.0
33	18.0	13.0	11.0	8.00	10.00	15.0	9.00	17.0	11.0	9.00	10.00	15.0
34	20.0	12.0	14.0	5.00	14.0	13.0	9.00	18.0	13.0	14.0	12.0	14.0
35	21.0	15.0	13.0	11.0	23.0	21.0	14.0	21.0	20.0	19.0	16.0	22.0
36	22.0	20.0	14.0	14.0	22.0	22.0	19.0	19.0	12.0	21.0	18.0	23.0
37	25.0	25.0	16.0	14.0	23.0	21.0	19.0	22.0	26.0	21.0	19.0	24.0
38	30.0	30.0	20.0	10.00	18.0	29.0	21.0	29.0	23.0	26.0	23.0	26.0
39	32.0	32.0	23.0	14.0	27.0	25.0	25.0	30.0	27.0	29.0	26.0	38.0
40	38.0	34.0	20.0	17.0	28.0	30.0	35.0	30.0	32.0	29.0	30.0	29.0
41	35.0	33.0	25.0	16.0	31.0	35.0	31.0	34.0	35.0	33.0	33.0	32.0
42	46.0	39.0	31.0	18.0	34.0	38.0	39.0	36.0	34.0	37.0	40.0	46.0
43	47.0	49.0	35.0	16.0	41.0	41.0	42.0	40.0	42.0	37.0	39.0	46.0
44	52.0	46.0	40.0	17.0	47.0	42.0	51.0	43.0	42.0	42.0	43.0	46.0
45	57.0	53.0	47.0	25.0	53.0	54.0	52.0	42.0	52.0	53.0	49.0	56.0
46	54.0	55.0	45.0	24.0	54.0	50.0	58.0	56.0	54.0	60.0	54.0	58.0
47	54.0	64.0	47.0	23.0	48.0	55.0	61.0	47.0	56.0	57.0	59.0	58.0
48	60.0	60.0	55.0	28.0	57.0	57.0	69.0	61.0	64.0	63.0	60.0	63.0
49	63.0	64.0	54.0	31.0	58.0	64.0	75.0	68.0	67.0	67.0	59.0	74.0
50	67.0	69.0	59.0	27.0	69.0	66.0	81.0	71.0	75.0	77.0	61.0	80.0
51	76.0	71.0	57.0	34.0	66.0	67.0	82.0	71.0	77.0	75.0	71.0	74.0
52	72.0	75.0	55.0	33.0	71.0	71.0	81.0	74.0	81.0	85.0	75.0	82.0
