jaccard	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.974	0.993	0.996	0.993	0.996	1.000	0.996	1.000	0.993	1.000	1.000
E2	0.974	0	0.951	0.996	0.955	0.982	1.000	0.993	1.000	0.993	1.000	1.000
E3	0.993	0.951	0	0.996	0.935	0.970	0.996	0.989	1.000	0.996	1.000	1.000
E4	0.996	0.996	0.996	0	0.996	0.996	1.000	0.996	1.000	0.996	1.000	1.000
E5	0.993	0.955	0.935	0.996	0	0.967	0.996	0.970	1.000	0.993	0.996	1.000
E6	0.996	0.982	0.970	0.996	0.967	0	1.000	0.996	1.000	0.985	1.000	1.000
E7	1.000	1.000	0.996	1.000	0.996	1.000	0	0.993	0.996	1.000	1.000	1.000
N1	0.996	0.993	0.989	0.996	0.970	0.996	0.993	0	0.996	1.000	1.000	1.000
N2	1.000	1.000	1.000	1.000	1.000	1.000	0.996	0.996	0	1.000	1.000	1.000
O1	0.993	0.993	0.996	0.996	0.993	0.985	1.000	1.000	1.000	0	0.989	1.000
O2	1.000	1.000	1.000	1.000	0.996	1.000	1.000	1.000	1.000	0.989	0	1.000
S1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
