Family	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Incertae Sedis	22.3	3.6	11.5	82	4.32	12.9	18.7	14.4	33.1	12.9	9.35	38.1	19.5
Paracoccaceae	10.8	4.32	2.16	2.16	5.04	4.32	5.76	0	0	36	20.1	9.35	12.0
Alcaligenaceae	2.88	9.35	2.16	0.719	6.47	9.35	0	0	2.16	2.88	0.719	1.44	4.3
Mitochondria	23.7	4.32	2.16	0.719	1.44	0	0	2.88	9.35	1.44	0	4.32	3.7
Litorivicinaceae	1.44	12.9	10.8	0.719	13.7	17.3	0	7.91	0	1.44	1.44	0	3.7
Unassigned	0	2.16	1.44	0	2.16	5.04	1.44	2.88	3.6	3.6	0.719	2.88	3.1
MWH-UniP1 aquatic group	0	12.2	4.32	1.44	9.35	0	3.6	2.88	0.719	0	0	0	3.1
Microbacteriaceae	2.88	2.16	5.76	0	2.88	2.16	0.719	0	1.44	0.719	0.719	4.32	2.9
NS11-12 marine group	0.719	2.16	2.16	0.719	4.32	5.04	0.719	2.16	0.719	1.44	0	0.719	2.4
Flavobacteriaceae	2.16	8.63	13.7	0	2.88	2.88	0.719	0	0	0.719	1.44	0	2.4
Alteromonadaceae	0	5.76	0	0	4.32	5.76	0	0.719	0	1.44	0.719	0	2.1
Arcobacteraceae	0	0	0.719	0.719	1.44	1.44	2.16	8.63	0	2.88	19.4	0	1.9
Cyclobacteriaceae	0	0.719	3.6	0.719	2.16	2.88	2.16	2.16	0	1.44	1.44	0.719	1.8
Sulfurimonadaceae	0	0	2.16	0.719	0.719	1.44	0.719	4.32	0.719	4.32	5.76	0.719	1.8
Comamonadaceae	0	2.16	0.719	0.719	0	0.719	7.91	2.88	6.47	0	0	2.16	1.8
Chromatiaceae	0.719	0.719	0	0	0.719	0	0.719	0	0	2.16	5.76	0.719	1.7
Clade III	0	0	3.6	1.44	5.76	0	0	2.16	0	0	0	0	1.3
Cryomorphaceae	0	3.6	1.44	0	3.6	4.32	0	4.32	0	0	0	0	1.1
Burkholderiaceae	0	0	0	0	0	0	2.88	1.44	12.9	0	0	2.16	1.1
Methylophilaceae	0	2.88	2.16	0.719	7.19	0.719	0	8.63	2.88	0.719	0	0	1.0
Thiomicrospiraceae	0	0	0	0	0	2.88	0.719	0	0	0	2.16	0	1.0
Silvanigrellaceae	14.4	0	0	0	0	0	0	1.44	0.719	0	0	0	0.9
NS9 marine group	0	0	11.5	0	0.719	5.04	0	0.719	0	0.719	1.44	0	0.9
Nostocaceae	0	0	0	0	0	3.6	1.44	0	4.32	0	0	2.16	0.8
Saprospiraceae	0	1.44	1.44	0	0	0	2.88	2.88	0	0.719	0.719	2.16	0.7
