jaccard	feces1	feces5	feces3	feces4	feces2	feces6	plaque1	plaque2	saliva6	plaque6	saliva4	plaque4	saliva2	saliva3	plaque5	plaque3	saliva1	saliva5
feces1	0	0.831	0.831	0.835	0.893	0.935	0.996	0.992	0.991	0.995	0.989	0.996	0.994	0.992	0.998	0.997	0.996	0.995
feces5	0.831	0	0.836	0.850	0.895	0.899	0.996	0.992	0.992	0.994	0.991	0.996	0.996	0.994	0.999	0.997	0.995	0.997
feces3	0.831	0.836	0	0.815	0.842	0.943	0.998	0.993	0.994	0.995	0.993	0.997	0.997	0.996	0.999	0.997	0.997	0.999
feces4	0.835	0.850	0.815	0	0.914	0.904	0.997	0.998	0.996	0.998	0.992	0.998	0.994	0.990	0.997	0.998	0.996	0.992
feces2	0.893	0.895	0.842	0.914	0	0.943	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.999
feces6	0.935	0.899	0.943	0.904	0.943	0	0.996	0.998	0.996	0.997	0.994	0.997	0.996	0.995	0.998	0.998	0.995	0.994
plaque1	0.996	0.996	0.998	0.997	0.999	0.996	0	0.760	0.747	0.805	0.807	0.850	0.840	0.853	0.871	0.915	0.874	0.910
plaque2	0.992	0.992	0.993	0.998	0.999	0.998	0.760	0	0.720	0.744	0.805	0.860	0.862	0.806	0.745	0.873	0.858	0.969
saliva6	0.991	0.992	0.994	0.996	0.999	0.996	0.747	0.720	0	0.754	0.720	0.897	0.790	0.759	0.810	0.889	0.786	0.882
plaque6	0.995	0.994	0.995	0.998	0.999	0.997	0.805	0.744	0.754	0	0.641	0.868	0.797	0.825	0.779	0.870	0.846	0.933
saliva4	0.989	0.991	0.993	0.992	0.999	0.994	0.807	0.805	0.720	0.641	0	0.867	0.727	0.738	0.876	0.865	0.746	0.805
plaque4	0.996	0.996	0.997	0.998	0.999	0.997	0.850	0.860	0.897	0.868	0.867	0	0.659	0.899	0.812	0.881	0.883	0.962
saliva2	0.994	0.996	0.997	0.994	0.999	0.996	0.840	0.862	0.790	0.797	0.727	0.659	0	0.810	0.839	0.869	0.779	0.871
saliva3	0.992	0.994	0.996	0.990	0.999	0.995	0.853	0.806	0.759	0.825	0.738	0.899	0.810	0	0.759	0.892	0.780	0.836
plaque5	0.998	0.999	0.999	0.997	0.999	0.998	0.871	0.745	0.810	0.779	0.876	0.812	0.839	0.759	0	0.880	0.895	0.987
plaque3	0.997	0.997	0.997	0.998	0.999	0.998	0.915	0.873	0.889	0.870	0.865	0.881	0.869	0.892	0.880	0	0.721	0.962
saliva1	0.996	0.995	0.997	0.996	0.999	0.995	0.874	0.858	0.786	0.846	0.746	0.883	0.779	0.780	0.895	0.721	0	0.839
saliva5	0.995	0.997	0.999	0.992	0.999	0.994	0.910	0.969	0.882	0.933	0.805	0.962	0.871	0.836	0.987	0.962	0.839	0
