SampleID	Group	run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
saliva1	saliva	SRR23380921	SAMN33222688	SRX19321560	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/021/SRR23380921/SRR23380921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/021/SRR23380921/SRR23380921_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/021/SRR23380921.lite	
saliva2	saliva	SRR23380922	SAMN33222688	SRX19321559	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/022/SRR23380922/SRR23380922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/022/SRR23380922/SRR23380922_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/022/SRR23380922.lite	
saliva3	saliva	SRR23380923	SAMN33222688	SRX19321558	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/023/SRR23380923/SRR23380923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/023/SRR23380923/SRR23380923_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/023/SRR23380923.lite	
saliva4	saliva	SRR23380925	SAMN33222688	SRX19321556	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/025/SRR23380925/SRR23380925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/025/SRR23380925/SRR23380925_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/025/SRR23380925.lite	
saliva5	saliva	SRR23380926	SAMN33222688	SRX19321555	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/026/SRR23380926/SRR23380926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/026/SRR23380926/SRR23380926_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/026/SRR23380926.lite	
saliva6	saliva	SRR23380927	SAMN33222688	SRX19321554	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/027/SRR23380927/SRR23380927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/027/SRR23380927/SRR23380927_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/027/SRR23380927.lite	
plaque1	plaque	SRR23380929	SAMN33222690	SRX19321552	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/029/SRR23380929/SRR23380929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/029/SRR23380929/SRR23380929_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/029/SRR23380929.lite	
plaque2	plaque	SRR23380930	SAMN33222690	SRX19321551	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/030/SRR23380930/SRR23380930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/030/SRR23380930/SRR23380930_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/030/SRR23380930.lite	
plaque3	plaque	SRR23380931	SAMN33222690	SRX19321550	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/031/SRR23380931/SRR23380931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/031/SRR23380931/SRR23380931_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/031/SRR23380931.lite	
plaque4	plaque	SRR23380932	SAMN33222690	SRX19321549	PRJNA933120	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/032/SRR23380932/SRR23380932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/032/SRR23380932/SRR23380932_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR233/032/SRR23380932.lite	
