#OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_14	0	0	0	1	0	1541	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	88	23	151	197	906	116	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	149	0	253	0	1058	0	23	107	43	38	0	56	23	30	46	110	4	77
ASV_3	277	151	445	589	240	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0	86	2	499	250	334	0	0	0	0	0	0	1	0	0	0	0	0
ASV_12	0	0	0	0	0	0	386	452	236	1	667	592	170	0	228	198	0	355
ASV_9	257	122	491	500	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	108	3	33	62	574	148	0	0	0	0	0	0	0	0	0	0	0	1
ASV_7	0	0	1	0	0	0	0	8	993	9	9	18	118	14	8	15	1	0
ASV_6	142	62	340	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	936	26	1	0	105	47	0	0	0	0	0	0	0	0	1	0	0	0
ASV_13	16	26	97	66	86	498	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	264	2	137	321	165	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	8	75	379	617	384	59	151	309	101	84	1	4
ASV_19	11	2	5	12	3	7	229	17	53	83	16	137	429	285	169	487	898	284
ASV_11	41	71	89	456	29	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	6	716	2	2	756	176	0	4	387	30	0	502
ASV_15	152	6	136	368	67	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	151	99	13	123	41	273	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	45	221	29	143	248	430	160	569	188	360	5	396
ASV_18	18	89	49	223	149	47	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	2	1	0	329	120	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	0	0	0	1	0	474	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	137	147	59	144	305	261	82	400	162	162	0	208
ASV_25	9	3	63	0	166	255	0	1	0	0	0	0	0	0	0	0	0	0
ASV_33	60	0	76	0	389	0	5	34	11	10	0	21	12	11	21	42	2	35
ASV_52	166	11	0	0	247	66	0	0	0	0	0	0	6	0	0	0	0	1
ASV_34	352	3	18	155	18	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	27	12	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1	0	44	50	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	23	0	349	0	120	5	350	0	92	19	3	138
ASV_29	7	0	0	61	1	304	0	0	0	0	0	0	0	0	1	1	0	1
ASV_100	0	0	1	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	34	2	159	75	112	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	489	89	0	0	25	51	0	0	0	0
ASV_68	41	0	24	21	268	55	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	27	2	51	56	247	28	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	38	624	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	132	103	11	208	7	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	20	13	6	303	0	18	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	546	0	60	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ASV_39	0	1	0	1	2	0	11	15	139	362	28	67	107	234	43	64	7	12
ASV_49	115	21	23	102	147	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	0	0	0	0	0	0	0	0	361	0	0	0	242	0	0	0	0	0
ASV_51	29	30	2	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	2	60	381	5	1	0	87	2	1	0	1	13
ASV_72	0	0	0	0	0	0	91	111	84	0	308	269	91	0	77	85	0	178
ASV_37	0	0	0	0	0	0	1	26	138	259	217	42	98	196	69	57	1	4
ASV_38	87	38	141	140	58	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	342	0	0	364	0	3	0	543	1	0	0	0
ASV_50	0	0	0	0	0	0	96	79	125	238	1	18	94	138	27	116	7	129
ASV_32	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	107	49	0	283	448	26	0	156	73	35	0	66
ASV_45	130	198	26	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	0	0	0	0	0	0	6	34	225	0	324	86	74	0	41	46	0	6
ASV_46	0	0	0	0	0	0	0	2	344	3	0	0	77	10	0	0	0	0
ASV_53	0	0	0	0	0	0	2	110	169	59	54	161	56	102	19	104	10	19
ASV_76	54	45	8	73	16	101	0	0	0	0	0	0	0	0	0	0	0	0
ASV_607	0	17	3	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0
ASV_93	3	1	1	1	1	7	54	7	14	21	12	62	173	125	70	216	452	127
