Phylum	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Bacillota	87.2	71	75.2	95.4	75.9	71	37.2	31.9	48.1	53.1	46	29.2	41.9	39.3	39.7	39.1	39.2	32.6	54.2
Bacteroidota	7.1	15.4	21.6	0.54	6.44	0.18	30	33.2	29.8	13.6	19.1	30.1	22.6	25.8	28.1	19.8	30	30.7	21.9
Fusobacteriota	0	0	0	0	0	0	12.9	15.1	15.2	6.63	11.6	22.2	14.4	18.1	12.7	21.1	6.32	15	6.9
Spirochaetota	0	0	0	0	0	0	5.76	6.17	1.91	0.94	4.84	4.91	6.18	3.21	7.04	3.72	0.31	7.2	3.8
Pseudomonadota	0.22	6.2	1.88	0	2.42	3.59	0.93	0.06	2.58	0.91	0.1	1.39	10.1	6.71	4.23	6.22	20.7	6.33	3.7
Actinomycetota	4.65	6.17	0.68	4.01	14	3.96	2.22	0.4	0.17	4.61	0.83	1.09	2.29	1.33	4.11	2.25	2.26	2.03	3.6
Synergistota	0	0	0	0	0	0	4.38	5.14	0.13	10.4	10.3	6.34	0.21	3.22	1.6	1.2	0.03	2.01	2.0
Patescibacteria	0.01	0.02	0	0.03	0.06	0.09	3.22	2.78	0.27	1.08	0.01	1.09	0.92	1.1	0.75	3.88	0.98	0.82	1.6
Thermodesulfobacteriota	0.29	0.87	0.61	0.01	1.17	0.42	1.45	1.95	0.65	4.16	4.67	0.64	0.09	0.26	0.23	0.1	0	0.18	0.9
Campylobacterota	0	0	0	0	0	0	0.5	1.76	0.84	0.26	0.92	1.66	1.24	0.86	1.33	2.56	0.22	3.04	0.6
Chloroflexota	0	0	0	0	0	0	1.46	1.58	0.34	4.31	1.67	1.41	0.03	0.19	0.14	0.13	0	0.09	0.4
Verrucomicrobiota	0.47	0	0.01	0.01	0	20.7	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Methanobacteriota	0.08	0.35	0.02	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.1
