richness	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
1	36.0	35.0	38.0	28.0	25.0	26.0	27.0	31.0
2	44.0	47.0	53.0	47.0	42.0	49.0	44.0	49.0
3	60.0	61.0	62.0	67.0	65.0	64.0	54.0	57.0
4	69.0	65.0	73.0	80.0	75.0	75.0	62.0	62.0
5	72.0	73.0	76.0	91.0	89.0	96.0	68.0	72.0
6	74.0	75.0	78.0	104.0	97.0	101.0	69.0	76.0
7	76.0	75.0	79.0	104.0	102.0	105.0	73.0	81.0
8	75.0	80.0	80.0	114.0	112.0	115.0	78.0	79.0
9	77.0	78.0	80.0	115.0	116.0	119.0	80.0	84.0
10	78.0	78.0	81.0	120.0	120.0	120.0	83.0	83.0
11	78.0	81.0	81.0	122.0	121.0	126.0	82.0	86.0
12	79.0	83.0	84.0	122.0	122.0	125.0	83.0	85.0
13	80.0	82.0	82.0	125.0	127.0	131.0	85.0	88.0
14	83.0	83.0	84.0	129.0	128.0	134.0	84.0	88.0
15	84.0	86.0	83.0	130.0	130.0	134.0	85.0	88.0
16	84.0	86.0	85.0	130.0	131.0	132.0	85.0	91.0
17	83.0	86.0	87.0	131.0	132.0	138.0	85.0	88.0
18	86.0	87.0	86.0	134.0	136.0	137.0	86.0	89.0
19	85.0	85.0	86.0	135.0	135.0	140.0	86.0	90.0
20	85.0	87.0	88.0	135.0	136.0	140.0	88.0	91.0
21	86.0	86.0	89.0	137.0	139.0	146.0	88.0	91.0
22	86.0	90.0	90.0	141.0	137.0	144.0	88.0	91.0
23	87.0	91.0	90.0	135.0	137.0	146.0	88.0	91.0
24	87.0	90.0	90.0	140.0	140.0	145.0	88.0	90.0
25	87.0	91.0	91.0	140.0	143.0	148.0	89.0	91.0
26	87.0	90.0	91.0	143.0	144.0	145.0	90.0	93.0
27	87.0	91.0	92.0	144.0	145.0	147.0	89.0	91.0
28	87.0	90.0	92.0	145.0	147.0	147.0	90.0	93.0
29	89.0	89.0	91.0	141.0	147.0	148.0	89.0	92.0
30	89.0	89.0	93.0	144.0	144.0	151.0	88.0	92.0
31	87.0	90.0	94.0	146.0	147.0	152.0	91.0	94.0
32	88.0	93.0	93.0	144.0	146.0	152.0	90.0	95.0
33	88.0	92.0	93.0	150.0	147.0	152.0	92.0	93.0
34	90.0	93.0	95.0	147.0	150.0	149.0	90.0	93.0
35	88.0	91.0	94.0	146.0	145.0	153.0	90.0	95.0
36	90.0	92.0	93.0	149.0	150.0	152.0	90.0	95.0
37	90.0	94.0	93.0	147.0	147.0	153.0	90.0	92.0
