euclidean	feces1	feces4	feces6	feces2	feces5	plaque4	plaque2	feces3	plaque3	saliva2	plaque1	saliva3	plaque5	saliva4	saliva6	saliva5	plaque6	saliva1
feces1	0	9.27	9.06	9.54	9.95	11.6	11.8	11.4	13.2	13.5	14.3	14.6	14.1	14.0	14.1	14.2	14.4	14.8
feces4	9.27	0	8.49	9.54	9.75	11.0	11.2	11.4	12.7	13.0	13.8	14.1	13.6	13.5	13.6	13.7	13.9	14.3
feces6	9.06	8.49	0	9.43	9.64	10.6	10.9	11.3	12.4	12.8	13.6	13.9	13.3	13.3	13.4	13.5	13.6	14.1
feces2	9.54	9.54	9.43	0	9.59	12.0	12.2	11.8	13.6	13.9	14.6	14.8	14.5	14.4	14.4	14.4	14.7	15.0
feces5	9.95	9.75	9.64	9.59	0	12.0	12.2	12.0	13.6	13.9	14.6	14.9	14.5	14.3	14.5	14.5	14.7	15.1
plaque4	11.6	11.0	10.6	12.0	12.0	0	11.3	13.6	12.3	13.7	13.3	14.4	13.3	14.2	14.1	14.1	13.9	13.7
plaque2	11.8	11.2	10.9	12.2	12.2	11.3	0	13.7	12.2	13.7	13.1	14.5	13.4	14.2	14.2	14.3	13.8	14.1
feces3	11.4	11.4	11.3	11.8	12.0	13.6	13.7	0	15.0	15.3	16.0	16.2	15.8	15.7	15.8	15.8	16.0	16.4
plaque3	13.2	12.7	12.4	13.6	13.6	12.3	12.2	15.0	0	15.0	13.9	15.6	13.7	15.4	15.3	15.4	14.5	14.6
saliva2	13.5	13.0	12.8	13.9	13.9	13.7	13.7	15.3	15.0	0	15.9	13.2	15.9	13.5	14.0	14.2	15.2	15.8
plaque1	14.3	13.8	13.6	14.6	14.6	13.3	13.1	16.0	13.9	15.9	0	16.3	14.6	16.4	16.3	16.2	15.1	15.6
saliva3	14.6	14.1	13.9	14.8	14.9	14.4	14.5	16.2	15.6	13.2	16.3	0	16.6	14.2	14.4	14.5	15.5	15.9
plaque5	14.1	13.6	13.3	14.5	14.5	13.3	13.4	15.8	13.7	15.9	14.6	16.6	0	16.3	16.0	16.2	14.9	15.4
saliva4	14.0	13.5	13.3	14.4	14.3	14.2	14.2	15.7	15.4	13.5	16.4	14.2	16.3	0	14.4	14.2	15.7	15.6
saliva6	14.1	13.6	13.4	14.4	14.5	14.1	14.2	15.8	15.3	14.0	16.3	14.4	16.0	14.4	0	14.6	15.8	16.3
saliva5	14.2	13.7	13.5	14.4	14.5	14.1	14.3	15.8	15.4	14.2	16.2	14.5	16.2	14.2	14.6	0	15.6	16.0
plaque6	14.4	13.9	13.6	14.7	14.7	13.9	13.8	16.0	14.5	15.2	15.1	15.5	14.9	15.7	15.8	15.6	0	14.8
saliva1	14.8	14.3	14.1	15.0	15.1	13.7	14.1	16.4	14.6	15.8	15.6	15.9	15.4	15.6	16.3	16.0	14.8	0
