jaccard	feces1	feces2	feces5	feces4	feces3	feces6	plaque1	plaque5	plaque3	plaque6	saliva1	plaque2	plaque4	saliva2	saliva3	saliva5	saliva4	saliva6
feces1	0	0.924	0.954	0.967	0.950	0.965	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000
feces2	0.924	0	0.915	0.935	0.940	0.949	1.000	1.000	1.000	1.000	0.998	1.000	0.998	1.000	0.998	0.998	1.000	0.998
feces5	0.954	0.915	0	0.960	0.954	0.947	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000	1.000	0.998	1.000
feces4	0.967	0.935	0.960	0	0.959	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces3	0.950	0.940	0.954	0.959	0	0.970	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces6	0.965	0.949	0.947	0.967	0.970	0	1.000	0.998	0.998	1.000	1.000	1.000	0.997	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.884	0.942	0.945	0.949	0.942	0.959	0.991	0.972	0.983	0.992	0.989
plaque5	1.000	1.000	1.000	1.000	1.000	0.998	0.884	0	0.931	0.933	0.942	0.962	0.970	0.997	0.992	0.989	0.997	0.981
plaque3	1.000	1.000	1.000	1.000	1.000	0.998	0.942	0.931	0	0.959	0.933	0.967	0.955	0.994	0.986	0.989	0.992	0.988
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.945	0.933	0.959	0	0.908	0.977	0.983	0.972	0.954	0.965	0.972	0.968
saliva1	1.000	0.998	1.000	1.000	1.000	1.000	0.949	0.942	0.933	0.908	0	0.973	0.964	0.967	0.947	0.960	0.952	0.978
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.942	0.962	0.967	0.977	0.973	0	0.930	0.994	0.986	0.992	0.994	0.991
plaque4	0.998	0.998	0.998	1.000	1.000	0.997	0.959	0.970	0.955	0.983	0.964	0.930	0	0.995	0.986	0.989	0.995	0.989
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.991	0.997	0.994	0.972	0.967	0.994	0.995	0	0.861	0.903	0.912	0.931
saliva3	1.000	0.998	1.000	1.000	1.000	1.000	0.972	0.992	0.986	0.954	0.947	0.986	0.986	0.861	0	0.886	0.895	0.897
saliva5	1.000	0.998	1.000	1.000	1.000	1.000	0.983	0.989	0.989	0.965	0.960	0.992	0.989	0.903	0.886	0	0.905	0.921
saliva4	1.000	1.000	0.998	1.000	1.000	1.000	0.992	0.997	0.992	0.972	0.952	0.994	0.995	0.912	0.895	0.905	0	0.914
saliva6	1.000	0.998	1.000	1.000	1.000	1.000	0.989	0.981	0.988	0.968	0.978	0.991	0.989	0.931	0.897	0.921	0.914	0
