Genus	Name	Group	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Streptococcus	Streptococcus	genus	0	0.003588517	0.000504541	0	0.003125	0	0.039405461	0.249406176	0.026227303	0.339375629	0.008381351	0.081415929	0.111950549	0.340179042	0.301908618	0.339975093	0.38150023	0.227937468
Incertae Sedis	Incertae Sedis	genus	0.121408712	0.107655502	0.154894046	0.369170984	0.082291667	0.159021407	0.044244729	0.011876485	0.026899798	0.002014099	0.062860136	0.077876106	0.029532967	0.012111638	0.027761712	0.02698215	0.015186378	0.038830055
Porphyromonas	Porphyromonas	genus	0	0	0	0	0	0	0.02143104	0.043942993	0.1600538	0.053373615	0.163960189	0.09380531	0.156593407	0.125329121	0.080393291	0.087173101	0.018867925	0.024710035
Prevotella	Prevotella	genus	0	0	0	0	0	0	0.089526443	0.067695962	0.106926698	0.085599194	0.084337349	0.109734513	0.020604396	0.064244339	0.120300752	0.063926941	0.031293143	0.1301059
Faecalibacterium	Faecalibacterium	genus	0.154772938	0.401913876	0.118567104	0.071243523	0.176041667	0.051987768	0	0	0	0.001007049	0	0	0	0	0	0	0	0
Segatella	Segatella	genus	0	0.114832536	0.265388496	0.005181347	0	0	0.029726927	0.043942993	0.021519839	0.113796576	0.028810896	0.021238938	0.013736264	0.002106372	0.009832273	0.0041511	0.002300966	0.006051437
Fusobacterium	Fusobacterium	genus	0	0	0	0	0	0	0.07293467	0.029691211	0.160726295	0.093655589	0.050288109	0.012389381	0.067307692	0.01790416	0.026026605	0.0498132	0.028531983	0.067574382
Filifactor	Filifactor	genus	0	0	0	0	0	0	0.082958866	0	0.133154001	0.037260826	0.070193819	0.053097345	0.076236264	0	0.001735107	0	0.000920387	0.001512859
Gemella	Gemella	genus	0	0	0	0	0	0	0.006221915	0.017814727	0.00268998	0.005035247	0	0.030088496	0.020604396	0.082675092	0.068247542	0.03279369	0.104924068	0.017145739
Neisseria	Neisseria	genus	0	0	0	0	0	0	0.006567577	0.003562945	0.000672495	0.001007049	0	0.003539823	0.028846154	0.057398631	0.093117409	0.058115401	0.079613438	0.046898638
Parvimonas	Parvimonas	genus	0	0	0	0	0	0	0.024196336	0.229216152	0.010759919	0.055387714	0.018858041	0.014159292	0.013049451	0	0.002891845	0.00581154	0.00138058	0.002017146
Veillonella	Veillonella	genus	0	0	0	0	0	0	0.010024196	0.005938242	0.003362475	0.020140987	0.00471451	0.003539823	0.008928571	0.025803054	0.035280509	0.079286011	0.087436723	0.089762985
Rothia	Rothia	genus	0	0	0	0	0	0	0.007604563	0	0	0	0	0.005309735	0.011675824	0.146919431	0.043956044	0.0456621	0.063966866	0.041351488
Bifidobacterium	Bifidobacterium	genus	0.000926784	0.074162679	0.001513623	0.077720207	0.101041667	0.067278287	0	0.001187648	0	0	0.000523834	0	0	0	0	0	0	0
Agathobacter	Agathobacter	genus	0.007414272	0.01076555	0.042885974	0.005181347	0.032291667	0.201834862	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas	Selenomonas	genus	0	0	0	0	0	0	0.093674386	0.023752969	0.00537996	0.017119839	0.055002619	0.019469027	0.041895604	0	0.006362059	0.00124533	0.005522319	0.004538578
Bacteroides	Bacteroides	genus	0.240963855	0.01076555	0.002522704	0	0.239583333	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema	Treponema	genus	0.000926784	0	0	0	0	0	0.057725544	0.002375297	0.043712172	0.011077543	0.047145102	0.030088496	0.06456044	0.000526593	0.002891845	0.00041511	0.001840773	0.002521432
Desulfobulbus	Desulfobulbus	genus	0	0	0	0	0	0	0.088489457	0.014251781	0.046402152	0.006042296	0.062336302	0.037168142	0.002747253	0	0	0	0	0
Fretibacterium	Fretibacterium	genus	0	0	0	0	0	0	0.033529208	0.008313539	0.096166779	0.002014099	0.062336302	0.026548673	0.016483516	0	0.001156738	0	0	0
Phascolarctobacterium	Phascolarctobacterium	genus	0.014828545	0	0.010595358	0.123056995	0.042708333	0.042813456	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes	Alistipes	genus	0.000926784	0.015550239	0	0.152849741	0.044791667	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	Granulicatella	genus	0	0	0	0	0	0.003058104	0.001036986	0.001187648	0.00134499	0.005035247	0	0.005309735	0.006181319	0.044233807	0.050318103	0.02366127	0.048780488	0.02269289
Hoylesella	Hoylesella	genus	0	0	0	0	0	0	0.052194953	0.014251781	0.00672495	0.009063444	0.022524882	0.012389381	0.023351648	0.004739336	0.015037594	0.0166044	0.008743672	0.019162885
Blautia	Blautia	genus	0.000926784	0.014354067	0.010595358	0.022020725	0.008333333	0.128440367	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	Haemophilus	genus	0	0	0	0	0	0	0.003456619	0	0	0	0	0.001769912	0.007554945	0.036334913	0.008675535	0.081361561	0.02669121	0.015632879
[Ruminococcus] gnavus group	[Ruminococcus] gnavus group	genus	0	0	0	0	0	0.180428135	0	0	0	0	0	0	0	0	0	0	0	0
Dialister	Dialister	genus	0	0.033492823	0.038849647	0	0	0	0.011406844	0.022565321	0.006052455	0.004028197	0.018858041	0.008849558	0.012362637	0	0.001735107	0.00041511	0.001840773	0.002017146
Leptotrichia	Leptotrichia	genus	0	0	0	0	0	0.003058104	0.011752506	0.033254157	0.00268998	0	0.027239392	0.040707965	0.002747253	0	0.006940428	0.00290577	0.011044639	0.017650025
Dorea	Dorea	genus	0.012048193	0.020334928	0.012108981	0.038860104	0.036458333	0.048929664	0	0	0	0	0.000523834	0	0	0	0	0	0	0
Alloprevotella	Alloprevotella	genus	0	0	0	0	0	0	0.011752506	0.035629454	0.008742434	0.020140987	0.020953379	0.007079646	0.008241758	0.003159558	0.010410642	0.00207555	0	0.011598588
Tannerella	Tannerella	genus	0	0	0	0	0	0	0.024541998	0.005938242	0.012777404	0.007049345	0.01990571	0.021238938	0.028159341	0	0.004048583	0.0041511	0.002300966	0.008572869
