Phylum	Class	Order	Family	Genus	Species	M01D1	M01W1	M01W16	M01W2	M01W4	M01W6	M01W8	M02D1	M02W1	M02W16	M02W2	M02W4	M02W6	M02W8	M03D1	M03W1	M03W12	M03W2	M03W4	M03W6	M03W8	M04D1	M04W1	M04W12	M04W16	M04W2	M04W20	M04W4	M04W6	M04W8	M05D1	M05W1	M05W12	M05W2	M05W4	M05W6	M05W8	M06D1	M06W1	M06W2	M06W20	M06W4	M06W6	M06W8	M07D1	M07W1	M07W2	M07W4	M07W8	M08D1	M08W1	M08W2	M08W4	M08W6	M08W8	M09D1	M09W1	M09W2	M09W20	M09W4	M09W6	M09W8	M10D1	M10W1	M10W12	M10W16	M10W2	M10W20	M10W4	M10W6	M10W8	F01D1	F01W1	F01W2	F01W4	F01W6	F01W8	F02D1	F02W1	F02W16	F02W2	F02W4	F02W6	F02W8	F03D1	F03W1	F03W12	F03W16	F03W2	F03W20	F03W4	F03W6	F03W8	F04D1	F04W1	F04W16	F04W2	F04W4	F05D1	F05W1	F05W2	F05W4	F05W6	F06D1	F06W2	F06W4	F07D1	F07W1	F07W4	F08D1	F08W1	F08W12	F08W2	F08W4	F08W6	F08W8	F09D1	F09W1	F09W2	F09W20	F09W4	F09W6	F09W8	F10D1	F10W1	F10W16	F10W2	F10W4	F10W6	F10W8
Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.000411658	0.001125366	0.000187776	0	0.000173671	0.000237379	0.000221762	0	0	0.001778154	0.000434216	0.000345423	0.00043735	0.001226456	0.000147449	0	0	8.46E-05	0	0	0	0	0	0	0.00036808	0	0.000296274	0	8.58E-05	0	7.89E-05	0.000236967	0	0	0.000697674	0.00057923	0.00046436	0	0	0	0.00042337	0.000701066	0.001153735	0.002113271	0	0.000511584	0.000223015	0	0.000698324	0	0	0	0.000395288	0	0.00096401	0.000516085	0	0.000337211	0.000155473	0.00041061	0	0.00031977	0	0	8.95E-05	0.00040568	0.000159426	0	0	0	0.000240462	0	9.01E-05	8.61E-05	0.000410374	0.000430849	0.000250522	0.000421905	0.000404106	0.001624989	0	0	0	0.000142653	7.44E-05	0	0.000639233	7.49E-05	0	0.001347049	0	0.000152847	0	8.26E-05	8.43E-05	0.000311211	0	0	8.45E-05	8.29E-05	0.000167813	8.34E-05	0.001047632	0	0.001062699	0.00131096	0	0.000153834	0	0	9.23E-05	8.72E-05	7.55E-05	0.000242503	0.001714882	0.001621768	0.000374223	0	7.89E-05	0.000663696	0.000826322	0.00131096	0	0	0	0.001998002	8.52E-05	8.06E-05	0	0.000347072
Aenigmarchaeota	Deep_Sea_Euryarchaeotic_Group_DSEG	uncultured_archaeon	uncultured_archaeon	uncultured_archaeon	uncultured_archaeon	8.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.58E-05	0	0	0	0	0	0	0	0	0	0	0	0.000338696	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.01E-05	0	0	0	0	0	0	0	0	0	8.25E-05	0	0	0	0	0	0	0.000122459	0	0	0	0	8.43E-05	0	0	0	0	0	0	0	6.98E-05	0	0	0	0	0	0.000672495	0	0	0	0	0	7.46E-05	0.000180196	0	0	0	0	0	0.000349589	0	0	0	0	0	0	0	0
Aenigmarchaeota	unclassified_Aenigmarchaeota	unclassified_Aenigmarchaeota	unclassified_Aenigmarchaeota	unclassified_Aenigmarchaeota	unclassified_Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.51E-05	0	0	0	0	0	0	0	0	0
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	uncultured_rumen_methanogen_956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	8.23E-05	0	0	0	0.000173671	7.91E-05	0	0	7.94E-05	0	0	0.000172712	0	0	7.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257312	0	0	0	0	0	0	0	0	0	0	8.78E-05	8.47E-05	0.000420639	0	7.04E-05	0	0	0	0	0.000387958	0	0	0	7.91E-05	0	0	0	0	0	7.77E-05	0.000164244	0	0	0	0	0	0	0	0.000224803	0	0	0	0	0	0.000172102	0	0	0.000167015	0	0	9.03E-05	0	0	0	0	0	0	0	0	0	0.000244918	0	0	0	0	0	0	0	0	8.45E-05	0	0.00025172	8.34E-05	0.000349211	0	0	0	0	0	0	0	0.000184519	0	0	0	7.46E-05	0.000180196	0	0	7.89E-05	0	0.000676082	0	0	0	7.51E-05	0	8.52E-05	0	8.97E-05	0
Nanoarchaeota	Nanoarchaeia	Woesearchaeales	uncultured_archaeon	uncultured_archaeon	uncultured_archaeon	0.000164663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50E-05	0	0	0	0	0	0	0	0	0	0	7.02E-05	0	0	0	0	0	0	0	0	0	0	8.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.01E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23E-05	0	0	0	0	0	0.000209526	0	0	0	0	0.000153834	0	0	0	0	0	8.08E-05	0	9.01E-05	0	0	0	0	0	8.74E-05	0	0	0	0	0	0	0	0
unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	0.00049399	0.000525171	0.000187776	8.23E-05	0	0	7.39E-05	7.95E-05	0	0.001016088	7.24E-05	0	0	0	0	0	0.000170025	0	0	8.59E-05	8.85E-05	0	0	0	0.00036808	0	0	0	0.000600395	0	0	0	0	0	0	8.27E-05	7.74E-05	0	0	8.78E-05	0	0.000350533	0	0.000352212	0	0.000146167	0	0	0	0	0	0	0	0	0.000160668	0.000430071	0	8.43E-05	0	8.21E-05	0	0.000159885	0	0	8.95E-05	8.11E-05	7.97E-05	0	0	8.46E-05	0	0	0.000270368	8.61E-05	0.000246225	0.000344679	0	8.44E-05	8.08E-05	0.000722217	0	0	0	0	0	0	0	0	0	0.00122459	0	0	0	0	8.43E-05	0.000155606	0	0.000983687	8.45E-05	0	8.39E-05	0.00016682	0.000419053	0	0	8.74E-05	0	0	0	0	0	0.000174307	0	0.000242503	0.000596481	0.000900982	0.000149689	0	7.89E-05	0.000189627	7.51E-05	0.001398357	0	0	0	8.33E-05	0	0	0	0.000173536
Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Abditibacterium_utsteinense	0	0	0.000938879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000422654	0	0	0	0	0.000155183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	unclassified_Abditibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76E-05	0	0	0	0	0.000151941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000174795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_endolithic_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001665	0	0	0	0
