ID	Sample	Group
M01D1	M01D1	Male
M01W1	M01W1	Male
M01W16	M01W16	Male
M01W2	M01W2	Male
M01W4	M01W4	Male
M01W6	M01W6	Male
M01W8	M01W8	Male
M02D1	M02D1	Male
M02W1	M02W1	Male
M02W16	M02W16	Male
M02W2	M02W2	Male
M02W4	M02W4	Male
M02W6	M02W6	Male
M02W8	M02W8	Male
M03D1	M03D1	Male
M03W1	M03W1	Male
M03W12	M03W12	Male
M03W2	M03W2	Male
M03W4	M03W4	Male
M03W6	M03W6	Male
M03W8	M03W8	Male
M04D1	M04D1	Male
M04W1	M04W1	Male
M04W12	M04W12	Male
M04W16	M04W16	Male
M04W2	M04W2	Male
M04W20	M04W20	Male
M04W4	M04W4	Male
M04W6	M04W6	Male
M04W8	M04W8	Male
M05D1	M05D1	Male
M05W1	M05W1	Male
M05W12	M05W12	Male
M05W2	M05W2	Male
M05W4	M05W4	Male
M05W6	M05W6	Male
M05W8	M05W8	Male
M06D1	M06D1	Male
M06W1	M06W1	Male
M06W2	M06W2	Male
M06W20	M06W20	Male
M06W4	M06W4	Male
M06W6	M06W6	Male
M06W8	M06W8	Male
M07D1	M07D1	Male
M07W1	M07W1	Male
M07W2	M07W2	Male
M07W4	M07W4	Male
M07W8	M07W8	Male
M08D1	M08D1	Male
M08W1	M08W1	Male
M08W2	M08W2	Male
M08W4	M08W4	Male
M08W6	M08W6	Male
M08W8	M08W8	Male
M09D1	M09D1	Male
M09W1	M09W1	Male
M09W2	M09W2	Male
M09W20	M09W20	Male
M09W4	M09W4	Male
M09W6	M09W6	Male
M09W8	M09W8	Male
M10D1	M10D1	Male
M10W1	M10W1	Male
M10W12	M10W12	Male
M10W16	M10W16	Male
M10W2	M10W2	Male
M10W20	M10W20	Male
M10W4	M10W4	Male
M10W6	M10W6	Male
M10W8	M10W8	Male
F01D1	F01D1	Female
F01W1	F01W1	Female
F01W2	F01W2	Female
F01W4	F01W4	Female
F01W6	F01W6	Female
F01W8	F01W8	Female
F02D1	F02D1	Female
F02W1	F02W1	Female
F02W16	F02W16	Female
F02W2	F02W2	Female
F02W4	F02W4	Female
F02W6	F02W6	Female
F02W8	F02W8	Female
F03D1	F03D1	Female
F03W1	F03W1	Female
F03W12	F03W12	Female
F03W16	F03W16	Female
F03W2	F03W2	Female
F03W20	F03W20	Female
F03W4	F03W4	Female
F03W6	F03W6	Female
F03W8	F03W8	Female
F04D1	F04D1	Female
F04W1	F04W1	Female
F04W16	F04W16	Female
F04W2	F04W2	Female
F04W4	F04W4	Female
F05D1	F05D1	Female
F05W1	F05W1	Female
F05W2	F05W2	Female
F05W4	F05W4	Female
F05W6	F05W6	Female
F06D1	F06D1	Female
F06W2	F06W2	Female
F06W4	F06W4	Female
F07D1	F07D1	Female
F07W1	F07W1	Female
F07W4	F07W4	Female
F08D1	F08D1	Female
F08W1	F08W1	Female
F08W12	F08W12	Female
F08W2	F08W2	Female
F08W4	F08W4	Female
F08W6	F08W6	Female
F08W8	F08W8	Female
F09D1	F09D1	Female
F09W1	F09W1	Female
F09W2	F09W2	Female
F09W20	F09W20	Female
F09W4	F09W4	Female
F09W6	F09W6	Female
F09W8	F09W8	Female
F10D1	F10D1	Female
F10W1	F10W1	Female
F10W16	F10W16	Female
F10W2	F10W2	Female
F10W4	F10W4	Female
F10W6	F10W6	Female
F10W8	F10W8	Female
