Family	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3	All
Enterobacteriaceae	43.2	44.8	43.7	59.5	54.9	54.2	36.5	37.2	63.1
Yersiniaceae	22.3	23	23.2	0.286	0.395	0.382	0	0	12.5
Alcaligenaceae	28.3	26.5	26.5	2.48	2.32	2.9	0	0	5.9
Lactobacillaceae	0	0	0	0	0	0	9.78	7.8	3.7
Bacillaceae	0	0	0.0409	0	0	0	18.3	20.7	3.0
Pseudomonadaceae	0.15	0.218	0.341	24.3	27.2	25.9	5.33	3.53	2.6
(Unassigned)	0	0	0.0409	3.07	2.43	2.85	0.0273	0.109	2.2
Erwiniaceae	1.76	1.76	1.94	0.205	0.0955	0.177	0	0	2.2
Streptomycetaceae	2.2	2.47	1.69	0.232	0.464	0.845	0	0	1.5
Staphylococcaceae	0	0	0.0273	0	0	0	20.3	20.3	1.1
Listeriaceae	0	0	0	0	0	0	9.74	10.4	1.1
Bradyrhizobiaceae	0.0545	0.0682	0.0273	0.573	0.805	0.764	0	0	0.4
Phyllobacteriaceae	0.15	0.136	0.205	4.04	4.79	4.58	0	0	0.4
Rhizobiaceae	1.84	1.09	2.28	5.3	6.59	7.39	0	0	0.4
