Genus	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3	All
Salmonella	0.177	0.232	0.286	28.4	25.8	26.1	20	18.9	22.1
Serratia	22.3	23	23.2	0.286	0.395	0.382	0	0	12.5
(Unassigned)	12.9	13.3	12.8	12.6	11.3	11.8	2.05	2.97	12.2
Escherichia	0	0	0	0.0136	0	0	12.8	13.3	10.7
Raoultella	0.0273	0.0136	0.0136	11.7	11.1	10.4	0	0	10.0
Achromobacter	27.1	25.1	25	2.35	2.2	2.69	0	0	5.5
Klebsiella	0.995	0.995	1.12	8.33	7.72	7.28	0	0	4.4
Limosilactobacillus	0	0	0	0	0	0	9.78	7.8	3.7
Enterobacter	24.3	25.4	24.5	1.04	1.02	1.16	0	0	3.3
Bacillus	0	0	0.0409	0	0	0	18.3	20.7	3.0
Pseudomonas	0.15	0.218	0.341	24.3	27.2	25.9	5.33	3.53	2.6
Pantoea	1.76	1.76	1.94	0.205	0.0955	0.177	0	0	2.2
Streptomyces	2.2	2.47	1.69	0.232	0.464	0.845	0	0	1.5
Leclercia	6.11	6.16	6.49	0.477	0.45	0.491	0	0	1.5
Staphylococcus	0	0	0.0273	0	0	0	20.3	20.3	1.1
Listeria	0	0	0	0	0	0	9.74	10.4	1.1
Shigella	0	0	0	0	0	0	0.45	0.614	0.7
Sinorhizobium	1.84	1.09	2.28	5.3	6.59	7.39	0	0	0.4
Lelliottia	0	0	0	0.0545	0.123	0.0955	0	0	0.4
Mesorhizobium	0.15	0.136	0.205	4.04	4.79	4.58	0	0	0.4
Bradyrhizobium	0.0545	0.0682	0.0273	0.573	0.805	0.764	0	0	0.4
Citrobacter	0	0	0	0	0	0	1.24	1.51	0.4
