ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	feces1	feces2	feces3	feces4	feces5	feces6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_1	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	-17.626	9.424	0.175734335644225	0.256842490556944	NotSig	0	0.02	0	0	0	0	0	0	0.069	0.053	0	0	0	0
ASV_10	-24.408	15.094	0.00277843011009903	0.032993857557426	Depleted	0	2.226	0	0	0	0	0	0	0.343	3.318	2.429	1.951	3.497	1.815
ASV_3	-17.686	9.424	0.175734335644225	0.256842490556944	NotSig	0	0.021	0	0	0	0	0	0	0.069	0	0.058	0	0	0
ASV_4	-24.388	15.362	0.00277843011009903	0.032993857557426	Depleted	0	2.196	0	0	0	0	0	0	0.275	4.213	3.528	1.328	3.682	0.151
ASV_5	24.885	17.441	0.0740099699862347	0.171486515821763	NotSig	3.098	0	17.794	0.478	0	0	0.312	0	0	0	0	0	0	0
ASV_7	-23.898	16.458	0.0740099699862347	0.171486515821763	NotSig	0	1.563	0	0	0	0	0	0	0	9.005	0.174	0	0	0.202
ASV_8	-23.786	15.338	0.00962171958575914	0.0537684329792422	Depleted	0	1.446	0	0	0	0	0	0	0.687	1.843	0.925	1.079	4.142	0
ASV_9	-23.726	16.094	0.00962171958575914	0.0537684329792422	Depleted	0	1.388	0	0	0	0	0	0	0.206	0.158	0.925	0.042	6.995	0
ASV_6	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	-23.405	15.923	0.175734335644225	0.256842490556944	NotSig	0	1.111	0	0	0	0	0	0	0	0	0	0	6.213	0.454
ASV_22	-4.84	15.016	0.0262787590449513	0.103917804435196	Depleted	0.04	1.142	0	0.239	0	0	0	0	0.618	0	1.504	0.208	3.313	1.21
ASV_13	-19.542	12.009	0.175734335644225	0.256842490556944	NotSig	0	0.076	0	0	0	0	0	0	0.412	0	0	0	0.046	0
ASV_18	-23.41	15.785	0.0740099699862347	0.171486515821763	NotSig	0	1.114	0	0	0	0	0	0	0	0	0.347	0	0.69	5.648
ASV_19	-20.487	13.009	0.175734335644225	0.256842490556944	NotSig	0	0.147	0	0	0	0	0	0	0.824	0	0.058	0	0	0
ASV_17	-23.35	15.886	0.0284406622664748	0.103917804435196	Depleted	0	1.069	0	0	0	0	0	0	0	6.056	0.231	0.083	0.046	0
ASV_23	-23.435	16.009	0.175734335644225	0.256842490556944	NotSig	0	1.134	0	0	0	0	0	0	0	0.211	6.593	0	0	0
ASV_54	24.488	16.714	0.0740099699862347	0.171486515821763	NotSig	2.352	0	0	3.11	0.252	10.751	0	0	0	0	0	0	0	0
ASV_49	-22.913	15.173	0.00962171958575914	0.0537684329792422	Depleted	0	0.79	0	0	0	0	0	0	0.206	0.211	0.174	3.694	0	0.454
ASV_11	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	24.459	16.909	0.175734335644225	0.256842490556944	NotSig	2.306	0	0	0	0	12.306	0	1.529	0	0	0	0	0	0
ASV_36	-22.708	15.189	0.0740099699862347	0.171486515821763	NotSig	0	0.685	0	0	0	0	0	0	0	0.316	0.058	3.736	0	0
ASV_12	-23.405	16.024	0.404656761927286	0.452263439801084	NotSig	0	1.11	0	0	0	0	0	0	6.662	0	0	0	0	0
ASV_35	-22.916	15.044	0.0284406622664748	0.103917804435196	Depleted	0	0.792	0	0	0	0	0	0	0	0	0.694	0.125	0.552	3.379
ASV_20	-22.818	15.438	0.404656761927286	0.452263439801084	NotSig	0	0.74	0	0	0	0	0	0	0	0	0	0	0	4.438
ASV_24	-22.328	14.947	0.404656761927286	0.452263439801084	NotSig	0	0.527	0	0	0	0	0	0	3.159	0	0	0	0	0
ASV_16	-21.908	14.378	0.175734335644225	0.256842490556944	NotSig	0	0.393	0	0	0	0	0	0	2.129	0	0.231	0	0	0
ASV_42	-22.787	14.679	0.0740099699862347	0.171486515821763	NotSig	0	0.724	0	0	0	0	0	0	0	0.158	1.562	0	0	2.622
ASV_53	23.98	16.04	0.0284406622664748	0.103917804435196	Enriched	1.655	0	0.093	1.435	0	6.736	1.667	0	0	0	0	0	0	0
ASV_208	-22.522	14.041	0.00277843011009903	0.032993857557426	Depleted	0	0.602	0	0	0	0	0	0	0.275	1.685	0.636	0.872	0.046	0.101
ASV_48	-22.555	13.502	0.00277843011009903	0.032993857557426	Depleted	0	0.616	0	0	0	0	0	0	0.069	0.053	0.463	1.079	0.874	1.16
ASV_34	-20.229	12.746	0.175734335644225	0.256842490556944	NotSig	0	0.123	0	0	0	0	0	0	0.687	0	0	0	0	0.05
ASV_63	23.831	16.246	0.0284406622664748	0.103917804435196	Enriched	1.492	0	0.463	0	0.404	7.772	0.312	0	0	0	0	0	0	0
ASV_75	-22.591	15.21	0.404656761927286	0.452263439801084	NotSig	0	0.632	0	0	0	0	0	0	0	3.791	0	0	0	0
ASV_29	-3.589	14.188	0.0340869342597985	0.119935509432624	Depleted	0.046	0.55	0	0.12	0.05	0	0.104	0	0	0.211	0.174	0.498	0.552	1.866
ASV_30	-19.975	12.594	0.404656761927286	0.452263439801084	NotSig	0	0.103	0	0	0	0	0	0	0.618	0	0	0	0	0
ASV_80	22.541	15.108	0.175734335644225	0.256842490556944	NotSig	0.61	0	0	0	3.532	0.13	0	0	0	0	0	0	0	0
ASV_28	23.345	15.965	0.404656761927286	0.452263439801084	NotSig	1.066	0	6.395	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_286	23.614	15.617	0.00277843011009903	0.032993857557426	Enriched	1.284	0	0.649	5.024	0.404	0.907	0.417	0.306	0	0	0	0	0	0
ASV_95	-22.53	15.149	0.404656761927286	0.452263439801084	NotSig	0	0.606	0	0	0	0	0	0	0	3.633	0	0	0	0
ASV_26	-22.735	15.355	0.404656761927286	0.452263439801084	NotSig	0	0.698	0	0	0	0	0	0	4.19	0	0	0	0	0
ASV_77	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_394	23.499	15.806	0.0740099699862347	0.171486515821763	NotSig	1.186	0	0	0.478	0	0.907	5.729	0	0	0	0	0	0	0
ASV_498	23.41	15.094	0.0740099699862347	0.171486515821763	NotSig	1.115	0	2.688	0	0.505	3.497	0	0	0	0	0	0	0	0
ASV_185	23.754	15.485	0.00277843011009903	0.032993857557426	Enriched	1.414	0	0.371	0.239	1.312	0.518	1.458	4.587	0	0	0	0	0	0
ASV_81	23.409	16.002	0.175734335644225	0.256842490556944	NotSig	1.114	0	0	0.12	0	0	6.562	0	0	0	0	0	0	0
ASV_32	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_392	22.988	14.026	0.00962171958575914	0.0537684329792422	Enriched	0.832	0	1.668	0.718	1.362	1.036	0.208	0	0	0	0	0	0	0
ASV_98	23.133	15.739	0.175734335644225	0.256842490556944	NotSig	0.92	0	5.468	0	0.05	0	0	0	0	0	0	0	0	0
ASV_61	23.123	15.714	0.175734335644225	0.256842490556944	NotSig	0.913	0	5.375	0	0	0	0.104	0	0	0	0	0	0	0
ASV_33	-17.154	8.846	0.175734335644225	0.256842490556944	NotSig	0	0.015	0	0	0	0	0	0	0	0	0	0.042	0.046	0
ASV_47	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_496	23.144	15.026	0.0740099699862347	0.171486515821763	NotSig	0.927	0	3.336	1.914	0	0	0.312	0	0	0	0	0	0	0
ASV_52	-19.39	12.009	0.404656761927286	0.452263439801084	NotSig	0	0.069	0	0	0	0	0	0	0.412	0	0	0	0	0
ASV_103	24.714	17.333	0.404656761927286	0.452263439801084	NotSig	2.752	0	0	0	0	0	0	16.514	0	0	0	0	0	0
ASV_744	23.408	15.224	0.175734335644225	0.256842490556944	NotSig	1.113	0	0	3.828	0	2.85	0	0	0	0	0	0	0	0
ASV_371	23.666	15.65	0.0740099699862347	0.171486515821763	NotSig	1.331	0	0.093	5.144	0	0	0	2.752	0	0	0	0	0	0
ASV_58	-17.154	8.846	0.175734335644225	0.256842490556944	NotSig	0	0.015	0	0	0	0	0	0	0	0	0	0.042	0.046	0
ASV_68	22.95	15.38	0.175734335644225	0.256842490556944	NotSig	0.81	0	4.263	0.598	0	0	0	0	0	0	0	0	0	0
ASV_756	23.099	14.868	0.00962171958575914	0.0537684329792422	Enriched	0.898	0	0.185	2.99	0.555	1.554	0.104	0	0	0	0	0	0	0
ASV_236	22.978	15.154	0.0740099699862347	0.171486515821763	NotSig	0.826	0	0	0.957	0.353	0	3.646	0	0	0	0	0	0	0
ASV_37	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	24.574	17.193	0.404656761927286	0.452263439801084	NotSig	2.497	0	0	0	0	0	0	14.985	0	0	0	0	0	0
ASV_533	23.031	14.427	0.00277843011009903	0.032993857557426	Enriched	0.857	0	0.093	1.316	0.706	2.202	0.521	0.306	0	0	0	0	0	0
ASV_130	22.826	15.411	0.175734335644225	0.256842490556944	NotSig	0.743	0	4.356	0	0	0	0.104	0	0	0	0	0	0	0
ASV_800	23.238	14.587	0.00277843011009903	0.032993857557426	Enriched	0.989	0	0.185	1.077	0.252	2.461	1.042	0.917	0	0	0	0	0	0
ASV_85	-18.013	9.978	0.175734335644225	0.256842490556944	NotSig	0	0.026	0	0	0	0	0	0	0	0	0.058	0	0	0.101
ASV_86	0	-Inf	NA	NA	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	23.243	15.863	0.404656761927286	0.452263439801084	NotSig	0.993	0	0	0	0	5.959	0	0	0	0	0	0	0	0
ASV_153	22.897	15.517	0.404656761927286	0.452263439801084	NotSig	0.781	0	0	0	0	0	4.688	0	0	0	0	0	0	0
ASV_235	22.628	15.025	0.175734335644225	0.256842490556944	NotSig	0.648	0	0	0	0.555	0	3.333	0	0	0	0	0	0	0
ASV_550	23.019	13.932	0.00962171958575914	0.0537684329792422	Enriched	0.85	0	1.019	0.837	0.151	0	1.562	1.529	0	0	0	0	0	0
ASV_66	-19.939	11.746	0.0740099699862347	0.171486515821763	NotSig	0	0.1	0	0	0	0	0	0	0.343	0	0.058	0	0	0.202
ASV_226	22.559	15.178	0.404656761927286	0.452263439801084	NotSig	0.618	0	3.707	0	0	0	0	0	0	0	0	0	0	0
ASV_225	22.763	14.925	0.0284406622664748	0.103917804435196	Enriched	0.712	0	0.927	3.11	0	0.13	0.104	0	0	0	0	0	0	0
ASV_41	-16.557	9.176	0.404656761927286	0.452263439801084	NotSig	0	0.01	0	0	0	0	0	0	0	0	0.058	0	0	0
ASV_505	22.52	14.394	0.00962171958575914	0.0537684329792422	Enriched	0.602	0	0.185	2.153	0.757	0	0.208	0.306	0	0	0	0	0	0
ASV_131	22.615	15.234	0.404656761927286	0.452263439801084	NotSig	0.642	0	0	0	0	0	3.854	0	0	0	0	0	0	0
ASV_375	22.745	15.312	0.175734335644225	0.256842490556944	NotSig	0.703	0	0	4.067	0.151	0	0	0	0	0	0	0	0	0
ASV_810	22.611	13.394	0.00962171958575914	0.0537684329792422	Enriched	0.641	0	0	1.077	0.757	0.259	0.833	0.917	0	0	0	0	0	0
