function	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
K00001	348.76	31.060000000000002	76.88	91.5	349.21	11.5	171.5	13.83	46.83	27.510000000000005	81.83	31.67	85.75	395.87	274.5	482.42	422.62	202.50000000000003
K00002	0.0	0.0	0.0	0.0	0.0	0.0	144.0	6.0	34.5	3.0	63.5	16.5	14.0	2.0	0.0	1.0	1.0	0.0
K00003	638.75	555.65	1120.7599999999998	708.0	755.25	330.85	1398.0899999999997	386.74000000000007	673.9399999999999	272.07000000000005	952.58	307.79999999999995	661.8200000000002	915.6800000000001	919.4000000000002	1218.82	1192.9100000000003	1137.02
K00004	1.0	0.4	1.0	28.0	1.25	1.0	88.57	41.0	9.780000000000001	78.76	53.18	27.65	79.39999999999999	287.44000000000005	279.47999999999996	328.87	298.21000000000004	272.64
K00005	46.0	76.9	389.84	36.0	125.42	82.6	173.89999999999998	247.0	54.78	153.76	141.18	72.45	142.8	112.34	154.45	316.0	392.47999999999996	334.3
K00008	365.0	280.0	619.0	303.0	454.33	203.8	218.0	26.83	51.0	33.0	121.5	49.5	56.5	3.0	17.5	25.5	16.0	33.0
K00009	2.5	5.0	9.0	34.5	1.0	4.0	187.48000000000002	25.0	10.33	24.66	74.0	17.659999999999997	70.99	136.34	134.32000000000002	85.34	191.00999999999996	62.31999999999999
K00010	31.14	0.0	1.0	31.0	16.17	0.0	29.66	1.0	9.0	40.0	31.0	16.0	6.84	5.18	8.85	37.81999999999999	28.510000000000005	26.0
K00012	931.29	460.03999999999996	1074.0299999999997	492.09999999999997	494.13	144.85	1447.9	261.83	734.0	374.5	1114.75	301.01	649.75	499.0	595.75	778.5	484.0	875.75
K00013	909.01	518.91	1166.9999999999998	644.8000000000001	777.96	247.05	1035.35	119.83	301.53	72.01	626.9300000000001	192.07	398.90000000000003	197.94	291.07	384.69999999999993	379.62999999999994	404.15
K00014	1024.51	656.2399999999999	1811.6700000000003	740.8000000000001	877.71	368.65	2192.3	574.74	1210.6100000000001	778.7399999999999	1531.3999999999999	478.55000000000007	1091.8400000000001	1597.12	1506.5199999999998	2052.79	1470.0800000000002	1871.93
K00015	0.0	0.0	0.0	0.0	0.0	0.0	97.0	7.0	143.0	2.0	119.0	15.0	24.0	11.0	25.0	65.0	55.0	110.0
K00016	512.75	406.55	1018.9300000000001	586.0	707.5899999999999	254.85	762.6600000000002	313.34000000000003	322.65000000000003	332.3299999999999	407.58000000000004	172.09	457.7099999999999	884.2700000000002	813.8500000000003	1045.1499999999999	1206.47	958.2300000000002
