ID	Pathway	Group	FDR	B_coef
1	Unclassified:_signaling_and_cellular_processes	feces vs plaque	1.70220365879151e-07	-0.640002656179081
2	Nervous_system	feces vs plaque	4.55220150495631e-06	-0.982272976937388
3	Neurodegenerative_disease	feces vs plaque	1.40952045277449e-05	0.509814005213777
4	Cardiovascular_disease	feces vs plaque	2.19019039329228e-05	-0.537626686876555
5	Aging	feces vs plaque	2.19019039329228e-05	0.343978725039637
6	Lipid_metabolism	feces vs plaque	0.000180645725109287	-0.131596225113658
7	Cancer:_overview	feces vs plaque	0.000233822613908573	-0.271885831484665
8	Digestive_system	feces vs plaque	0.000404918068718206	0.765064654239969
9	Amino_acid_metabolism	feces vs plaque	0.000425913910874574	-0.257026274251037
10	Circulatory_system	feces vs plaque	0.000425913910874574	4.74911757077189
11	Biosynthesis_of_other_secondary_metabolites	feces vs plaque	0.000921835477567883	-0.249453102972824
12	Unclassified:_metabolism	feces vs plaque	0.000939090651645562	-0.173929204459196
13	Endocrine_system	feces vs plaque	0.00198668330512834	-0.130191830029852
14	Not_included_in_regular_maps	feces vs plaque	0.00212057257915002	-0.781000802985253
15	Carbohydrate_metabolism	feces vs plaque	0.00221967645822819	-0.0937337292736115
16	Cell_growth_and_death	feces vs plaque	0.00276663891356655	0.126913658165955
17	Infectious_disease:_parasitic	feces vs plaque	0.0110826529986855	-0.716764905080382
18	Immune_system	feces vs plaque	0.0110826529986855	-0.321064089684083
19	Infectious_disease:_bacterial	feces vs plaque	0.0134933833393143	0.12170702082161
20	Protein_families:_signaling_and_cellular_processes	feces vs plaque	0.021838536279913	-0.10811063902395
21	Drug_resistance:_antineoplastic	feces vs plaque	0.0337589830710218	0.14085436210929
22	Poorly_characterized	feces vs plaque	0.0884630639165075	-0.027005097586301
23	Energy_metabolism	feces vs plaque	0.0948699791546806	0.0345592244095705
24	Cancer:_specific_types	feces vs plaque	0.097781287902798	0.256478795292348
25	Membrane_transport	feces vs plaque	0.113150972159135	-0.0940358966215003
26	Transcription	feces vs plaque	0.128636201539405	0.125460620491389
27	Glycan_biosynthesis_and_metabolism	feces vs plaque	0.147858965897531	0.124022120512538
28	Development_and_regeneration	feces vs plaque	0.147858965897531	-0.418010492813711
29	Metabolism_of_cofactors_and_vitamins	feces vs plaque	0.162438257187947	0.0311079669073504
30	Immune_disease	feces vs plaque	0.176026930129343	0.307432979684449
31	Cell_motility	feces vs plaque	0.176026930129343	0.184802955519151
32	Signal_transduction	feces vs plaque	0.176026930129343	-0.152646718036117
33	Environmental_adaptation	feces vs plaque	0.176026930129343	0.10717534714033
34	Translation	feces vs plaque	0.216893091222201	0.141604501499653
35	Unclassified:_genetic_information_processing	feces vs plaque	0.260751300386886	0.0482926996732077
36	Infectious_disease:_viral	feces vs plaque	0.279609975892224	0.0964225326635973
37	Folding	feces vs plaque	0.588824991687265	-0.0661725421203216
38	_sorting_and_degradation	feces vs plaque	0.588824991687265	-0.0661725421203216
39	Transport_and_catabolism	feces vs plaque	0.662463638483275	-0.090648996409245
40	Endocrine_and_metabolic_disease	feces vs plaque	0.81553268655042	0.0182605652174922
41	Metabolism_of_terpenoids_and_polyketides	feces vs plaque	0.855250363072564	0.0167815091731542
42	Protein_families:_genetic_information_processing	feces vs plaque	0.922879966347201	-0.000909783131115
43	Protein_families:_metabolism	feces vs plaque	0.929959545451637	0.0531362443110582
44	Excretory_system	feces vs plaque	1	0.069397899488413
45	Nucleotide_metabolism	feces vs plaque	1	0.117940507898895
46	Replication_and_repair	feces vs plaque	1	0.0904163345277639
47	Xenobiotics_biodegradation_and_metabolism	feces vs plaque	1	0.0632331596454148
48	Metabolism_of_other_amino_acids	feces vs plaque	1	0.0519740431823619
49	Drug_resistance:_antimicrobial	feces vs plaque	1	0.00698262632797331
50	Cellular_community_-_prokaryotes	feces vs plaque	1	-0.00310467594901994
51	Unclassified:_signaling_and_cellular_processes	feces vs saliva	3.48989896546314e-15	-0.597759754925292
52	Biosynthesis_of_other_secondary_metabolites	feces vs saliva	2.87996591642209e-09	-0.307984613929324
53	Amino_acid_metabolism	feces vs saliva	1.47340680045233e-06	-0.221254100420012
54	Lipid_metabolism	feces vs saliva	1.47340680045233e-06	-0.133951961756007
55	Neurodegenerative_disease	feces vs saliva	8.39234018643864e-05	0.866216662866051
56	Protein_families:_signaling_and_cellular_processes	feces vs saliva	0.000664379022035697	-0.177798854206529
57	Carbohydrate_metabolism	feces vs saliva	0.000812415821983983	-0.124823325143588
58	Unclassified:_metabolism	feces vs saliva	0.00161276092207022	-0.151602627905805
59	Aging	feces vs saliva	0.00200628012819698	0.663194313925146
60	Signal_transduction	feces vs saliva	0.00277258087265431	-0.211723741050156
61	Nucleotide_metabolism	feces vs saliva	0.00277258087265431	0.0942722640444252
62	Endocrine_system	feces vs saliva	0.00351674781253882	-0.190672386362741
63	Translation	feces vs saliva	0.00645143609152954	0.108017665912679
64	Cellular_community_-_prokaryotes	feces vs saliva	0.00919156347810878	-0.131223512406931
65	Immune_system	feces vs saliva	0.00982209669643309	-0.85392301932259
66	Replication_and_repair	feces vs saliva	0.0100631220231568	0.0802304534507854
67	Nervous_system	feces vs saliva	0.0100631220231568	-0.773298392971411
68	Metabolism_of_other_amino_acids	feces vs saliva	0.0115856318561204	0.0897168128754088
69	Cardiovascular_disease	feces vs saliva	0.0176005675229576	-0.480992394149234
70	Cell_motility	feces vs saliva	0.0280423931715096	-1.28272023439801
71	Circulatory_system	feces vs saliva	0.0290204711015985	6.29014216594379
72	Drug_resistance:_antineoplastic	feces vs saliva	0.0290204711015985	0.244947470853756
73	Xenobiotics_biodegradation_and_metabolism	feces vs saliva	0.0388030409747461	0.177558305641539
74	Folding	feces vs saliva	0.0388030409747461	-0.0520199093909542
75	_sorting_and_degradation	feces vs saliva	0.0388030409747461	-0.0520199093909542
76	Digestive_system	feces vs saliva	0.0718813539082849	0.577651532799869
