bray_curtis_binary	feces1	feces2	feces5	feces3	feces4	feces6	plaque1	plaque3	plaque5	plaque6	saliva1	plaque2	plaque4	saliva2	saliva3	saliva4	saliva6	saliva5
feces1	0	0.674	0.733	0.739	0.768	0.774	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.674	0	0.639	0.751	0.752	0.774	1.000	1.000	1.000	1.000	0.991	1.000	1.000	1.000	0.991	1.000	0.990	0.990
feces5	0.733	0.639	0	0.784	0.785	0.809	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.990	1.000	1.000
feces3	0.739	0.751	0.784	0	0.802	0.821	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.768	0.752	0.785	0.802	0	0.783	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces6	0.774	0.774	0.809	0.821	0.783	0	1.000	1.000	0.989	1.000	1.000	1.000	0.983	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.780	0.763	0.804	0.818	0.789	0.850	0.962	0.911	0.971	0.950	0.936
plaque3	1.000	1.000	1.000	1.000	1.000	1.000	0.780	0	0.743	0.827	0.775	0.798	0.815	0.983	0.923	0.967	0.936	0.952
plaque5	1.000	1.000	1.000	1.000	1.000	0.989	0.763	0.743	0	0.793	0.808	0.840	0.847	0.984	0.965	0.985	0.934	0.942
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.804	0.827	0.793	0	0.732	0.872	0.907	0.878	0.822	0.877	0.893	0.865
saliva1	1.000	0.991	1.000	1.000	1.000	1.000	0.818	0.775	0.808	0.732	0	0.861	0.850	0.905	0.836	0.848	0.911	0.870
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.789	0.798	0.840	0.872	0.861	0	0.878	0.959	0.929	0.962	0.944	0.953
plaque4	1.000	1.000	1.000	1.000	1.000	0.983	0.850	0.815	0.847	0.907	0.850	0.878	0	0.958	0.919	0.971	0.952	0.924
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.962	0.983	0.984	0.878	0.905	0.959	0.958	0	0.643	0.709	0.759	0.775
saliva3	1.000	0.991	1.000	1.000	1.000	1.000	0.911	0.923	0.965	0.822	0.836	0.929	0.919	0.643	0	0.696	0.713	0.735
saliva4	1.000	1.000	0.990	1.000	1.000	1.000	0.971	0.967	0.985	0.877	0.848	0.962	0.971	0.709	0.696	0	0.771	0.743
saliva6	1.000	0.990	1.000	1.000	1.000	1.000	0.950	0.936	0.934	0.893	0.911	0.944	0.952	0.759	0.713	0.771	0	0.782
saliva5	1.000	0.990	1.000	1.000	1.000	1.000	0.936	0.952	0.942	0.865	0.870	0.953	0.924	0.775	0.735	0.743	0.782	0
