unifrac_binary	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.404	0.441	0.493	0.331	0.479	0.950	0.959	0.956	0.961	0.946	0.942	0.956	0.966	0.943	0.959	0.967	0.922
feces2	0.404	0	0.484	0.478	0.344	0.555	0.894	0.887	0.879	0.887	0.875	0.874	0.900	0.902	0.884	0.895	0.922	0.856
feces3	0.441	0.484	0	0.480	0.527	0.480	0.837	0.842	0.811	0.825	0.802	0.839	0.912	0.896	0.861	0.907	0.922	0.832
feces4	0.493	0.478	0.480	0	0.410	0.499	0.918	0.929	0.931	0.930	0.923	0.904	0.919	0.946	0.918	0.939	0.933	0.910
feces5	0.331	0.344	0.527	0.410	0	0.462	0.929	0.929	0.954	0.940	0.928	0.916	0.924	0.980	0.953	0.973	0.957	0.925
feces6	0.479	0.555	0.480	0.499	0.462	0	0.868	0.888	0.936	0.944	0.887	0.870	0.910	0.970	0.944	0.958	0.908	0.901
plaque1	0.950	0.894	0.837	0.918	0.929	0.868	0	0.416	0.325	0.390	0.255	0.393	0.383	0.737	0.620	0.672	0.691	0.511
plaque2	0.959	0.887	0.842	0.929	0.929	0.888	0.416	0	0.442	0.364	0.417	0.396	0.380	0.619	0.530	0.557	0.583	0.416
plaque3	0.956	0.879	0.811	0.931	0.954	0.936	0.325	0.442	0	0.297	0.306	0.435	0.464	0.736	0.643	0.669	0.741	0.526
plaque4	0.961	0.887	0.825	0.930	0.940	0.944	0.390	0.364	0.297	0	0.415	0.448	0.437	0.647	0.554	0.581	0.646	0.478
plaque5	0.946	0.875	0.802	0.923	0.928	0.887	0.255	0.417	0.306	0.415	0	0.417	0.462	0.814	0.690	0.721	0.749	0.547
plaque6	0.942	0.874	0.839	0.904	0.916	0.870	0.393	0.396	0.435	0.448	0.417	0	0.340	0.628	0.516	0.572	0.570	0.442
saliva1	0.956	0.900	0.912	0.919	0.924	0.910	0.383	0.380	0.464	0.437	0.462	0.340	0	0.582	0.495	0.514	0.570	0.458
saliva2	0.966	0.902	0.896	0.946	0.980	0.970	0.737	0.619	0.736	0.647	0.814	0.628	0.582	0	0.193	0.214	0.289	0.380
saliva3	0.943	0.884	0.861	0.918	0.953	0.944	0.620	0.530	0.643	0.554	0.690	0.516	0.495	0.193	0	0.210	0.285	0.298
saliva4	0.959	0.895	0.907	0.939	0.973	0.958	0.672	0.557	0.669	0.581	0.721	0.572	0.514	0.214	0.210	0	0.225	0.288
saliva5	0.967	0.922	0.922	0.933	0.957	0.908	0.691	0.583	0.741	0.646	0.749	0.570	0.570	0.289	0.285	0.225	0	0.367
saliva6	0.922	0.856	0.832	0.910	0.925	0.901	0.511	0.416	0.526	0.478	0.547	0.442	0.458	0.380	0.298	0.288	0.367	0
