PathwayL2	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
 sorting and degradation	32595.149999999987	18663.98	44869.81999999999	21985.899999999994	26177.129999999997	9183.650000000001	69142.61000000004	17804.939999999995	32566.73	18172.560000000005	47022.92000000002	13849.990000000005	33289.39	40602.93999999999	40412.139999999985	53774.11999999999	41385.13	47097.94999999999
Aging	4678.070000000001	2521.26	6921.900000000001	3382.2000000000007	4074.21	1337.75	13612.24	3892.9300000000003	6354.060000000001	3848.17	9218.289999999999	2804.0199999999995	7237.120000000001	10867.099999999995	9743.549999999997	13327.37	9529.83	9867.849999999999
Amino acid metabolism	147997.92999999985	82220.74000000012	200468.47000000032	101119.00000000023	123941.22000000018	41261.45000000002	279040.46	66191.50000000013	128757.37000000008	66948.68000000007	186863.5699999998	56810.80000000005	131544.33000000016	156548.01999999984	164914.63000000003	214238.75000000003	169120.96999999997	191123.03000000003
Biosynthesis of other secondary metabolites	34135.79999999999	18953.609999999997	45941.729999999996	22483.699999999986	27925.45	9122.300000000003	65113.68000000001	14290.059999999998	27692.97	16808.39	41562.18	12683.0	29486.120000000003	34368.41999999999	37560.0	47366.62000000001	35227.270000000004	42290.829999999994
Cancer: overview	11142.35	6346.55	13835.550000000001	7150.700000000001	9782.299999999997	2859.85	19886.55	6584.67	8825.480000000001	5513.67	12252.68	3915.430000000001	9739.849999999997	14271.73	13647.239999999998	17446.38	13886.179999999998	14973.909999999996
Cancer: specific types	923.26	558.9899999999998	1483.9199999999998	680.3000000000002	753.9600000000002	248.3	2789.0	488.26	1274.45	617.59	1767.4000000000003	443.09	1446.3500000000004	1103.32	1296.12	1669.1999999999998	1132.54	1499.2199999999998
Carbohydrate metabolism	212304.0800000004	115550.96000000011	272655.41000000027	135657.50000000023	175642.10999999978	57184.50000000012	405242.50999999914	118234.6000000002	188919.22999999986	121324.25000000013	272006.6499999995	83066.6999999999	191082.29999999987	259644.52999999962	262292.5300000001	335351.8600000007	265730.1299999997	291484.88999999996
Cardiovascular disease	3753.42	2144.6099999999997	4891.14	2666.9000000000005	2971.8399999999997	994.7	5814.53	1325.25	2473.3399999999997	1392.4199999999998	3915.9800000000014	1198.1899999999998	2865.64	2823.03	3024.0600000000004	3943.259999999999	3185.1100000000006	3892.69
Cell growth and death	16720.93	10119.01	24946.85	11714.600000000002	14560.71	4291.849999999999	41679.829999999994	10413.55	19728.620000000003	11348.02	28254.680000000004	8290.769999999999	19427.87	22891.499999999996	23790.59	30307.879999999997	21615.72000000001	27237.689999999995
Cell motility	16343.49	4832.540000000001	31101.05	8845.9	7784.33	8453.25	58217.44	4639.41	24368.470000000005	6982.799999999999	32922.520000000004	7974.13	19940.420000000002	4537.72	6725.61	7352.24	6662.27	9656.21
Cellular community - eukaryotes	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	5.0	10.0	4.0	6.0	3.0	2.0
Cellular community - prokaryotes	38469.76999999999	22758.09999999999	58417.22	28612.699999999983	33672.48	13485.249999999993	92392.14000000006	22639.590000000004	47509.23	24545.890000000007	60765.199999999975	17992.14	42757.87999999999	54065.17	53243.350000000006	74715.67000000006	60394.81000000004	63227.570000000014
Circulatory system	0.0	0.0	0.0	0.0	0.0	0.0	375.0	24.0	119.5	18.0	198.5	23.099999999999998	293.79999999999995	365.79999999999995	499.59999999999997	525.5999999999999	282.20000000000005	171.79999999999998
Development and regeneration	365.64	254.14	294.2100000000001	298.5	417.96	69.0	682.7399999999999	192.09	203.58	83.34	412.24	128.11	324.52	194.03	255.95999999999995	320.18	179.16	282.17999999999995
Digestive system	2432.14	1264.48	3578.85	1370.8	1457.72	377.0	7403.6	2320.33	3596.32	2469.18	5048.35	1557.6	3305.5600000000004	5300.94	5505.679999999999	6952.1	5033.880000000001	5701.5
Drug resistance: antimicrobial	22152.879999999997	11561.729999999996	25982.669999999987	14932.9	18393.749999999985	5308.100000000001	41586.09000000001	13050.82	21517.109999999997	13365.46	29856.059999999998	8582.830000000002	21128.869999999995	30250.170000000002	30840.359999999986	40615.29999999999	30844.999999999996	32092.950000000004
Drug resistance: antineoplastic	4966.0599999999995	2764.2199999999993	6841.019999999999	3117.5	4124.549999999999	1291.0	11735.859999999999	3244.5900000000006	5282.54	3141.25	7826.85	2382.42	5612.009999999999	7834.7599999999975	7980.679999999999	10355.0	8065.160000000002	9033.039999999997
