	RDA1	RDA2	RDA3	RDA4
C_sw_41	-0.250178846300303	0.0361019124608766	-0.140773594633298	0.0275427520004106
C_mw_42	-0.289816666472433	-0.0118685892862804	-0.178996555759103	0.0504276537425923
C_sw_44	-0.286879342648981	0.0557110092770956	-0.112985821451749	0.0885625741671409
M_mw_45	-0.222202038134008	-0.00802638070784593	-0.127001345825614	0.0140298238587494
C_sw_47	-0.316063928628764	0.0508818644396999	-0.00920006439459527	0.0165283440902602
M_mw_48	-0.211363944816877	-0.0695026797348349	-0.0763348763669869	-0.025530262557264
M_bw_49	-0.141503187669799	-0.185901980353566	0.0562134580474229	0.169615573243793
M_sw_50	-0.22263869589365	0.0147043725432066	0.106458508660189	-0.000320205792965978
M_mw_51	-0.201626230017624	-0.257095274220732	0.062255794937295	-0.194939854184019
M_mw_54	-0.260324195722678	0.0471514257643137	0.101653712056305	-0.0380967105025411
M_bw_55	-0.0284570327370879	-0.0824279313347911	0.0978136426428514	0.128366536612437
M_sw_56	-0.265400020344737	0.0396244404927673	0.154026634546196	-0.0363431320466586
M_sw_59	-0.201313181237513	0.0569427848243202	-0.0424061525349835	-0.00821862499790268
M_mw_60	-0.193448207640931	0.0473777790274327	-0.0897790019311121	0.00137178666504298
M_bw_64	-0.0364028690212189	-0.188190647245379	0.0192633896215613	0.0751882855155121
M_mw_66	-0.171084273311459	-0.0712482485432712	-0.085534725919087	-0.073437013427299
M_mw_69	-0.180485909677266	-0.060208407769315	-0.0998305303496911	-0.0547986111463529
M_bw_70	-0.132447450732125	-0.189650397506821	-0.087521479717787	-0.0560379700053938
T_sw_71	-0.0264931060732741	0.0445020696795983	-0.0721687807449564	-0.0529820024462585
M_mw_72	0.116026203747278	-0.000200281733489299	-0.0259009977431002	-0.0615461847588526
KS_bw_73	-0.00174547912439347	-0.0651458463605947	-0.00555650185347269	-0.0478222621539282
M_sw_74	-0.0746753642134467	0.0454945022902842	0.106972471112904	-0.00237502612436828
M_mw_75	-0.13031769803344	-0.0517854242819042	-0.0939272450802559	0.0817872891291854
M_bw_76	-0.0223620268868853	-0.177006924282016	0.0685228262683353	0.189651565849994
M_sw_77	-0.00456339425342064	0.048394422919482	0.0596976159316297	0.00055784095439474
M_mw_78	0.146283250082122	-0.00580039050462813	-0.0125540864154856	-0.0378847184052052
T_sw_80	-0.101850277791393	0.0874967264396979	0.151369406003659	-0.0316374302586743
T_mw_81	0.121736810752712	0.0381800981307655	-0.000185302578359853	-0.0329047336055355
T_sw_83	0.0691991878122847	0.0485756775423621	0.0648242664765964	-0.016893580299095
T_mw_84	0.114055814621016	0.0368973289812877	-1.66058889962147e-05	-0.0218597938250823
M_bw_85	0.111406943529111	0.0294265142237204	-0.00596398126077369	-0.0283883567815126
T_mw_87	0.0591169133034741	0.00282153996039585	0.0269437730436614	-0.0497795850443361
KS_bw_88	-0.051749173306032	-0.185644760294603	0.0408796789135391	-0.0842496383021344
T_sw_89	-0.0171456404073139	-0.0104700382311231	0.0322661473242517	-0.0342986737234085
T_mw_90	0.092637850742809	-0.0174122605789183	0.0164286801193097	-0.0618987948744213
KS_bw_91	0.120446562951005	0.0198349637259019	-0.00857086810002132	-0.0340502094826483
C_mw_93	-0.0619605950609819	-0.0998602047318229	-0.00663685862133371	-0.0270439757000577
M_bw_94	0.136422057380044	0.0124505831775067	-0.028445828615317	-0.0214207707983841
M_sw_95	-0.0845552787724028	-0.00863405660860292	0.101728755239121	-0.0163306518452674
M_mw_96	0.0833333351820876	0.0155948258780338	-0.0132062086696128	-0.0127811688077813
KS_bw_97	-0.0612324628903484	0.0113297250492558	0.000377137672045551	0.0926305358995915
M_bw_100	0.123060494429663	0.042411190728072	0.00512731850229424	-0.0047079582538355
T_sw_101	-0.0668764358424444	0.0491528756596007	0.0927059888246672	0.0759192680057871
KS_bw_103	0.122773582399962	-0.0584642558123315	-0.0382843146255711	-0.0603384093223278
T_mw_105	0.133637258075659	0.0353640620679398	0.0023697695199788	-0.0240108340534111
KS_bw_106	0.138733858291779	0.0254983266440431	-0.0232651644611857	-0.0194144733271333
M_sw_107	0.129648316363292	0.051545062854319	0.00486959418884994	0.00476730948178267
M_mw_108	0.0998610347625591	0.031666473077337	-0.0366595620959135	0.0468394978366565
M_bw_109	0.134439114040155	0.0189228674871704	-0.0370865604652791	0.00459807815351701
T_mw_111	0.0956750837724723	0.0481166597740556	-0.0412603314057644	-0.0104468478952296
KS_bw_112	0.148478992735499	0.024751919933248	-0.0258277529656356	-0.0137926022424587
T_mw_114	0.0966020033240264	0.046126619178153	-0.00975950221255526	-0.00376934502496912
KS_bw_115	0.129542740623707	0.035888029211669	-0.0333027914836372	-0.00382674090854589
KS_bw_118	0.142240955998054	0.0369597908138921	-0.0148456362853608	-0.00482060675712173
C_mw_120	0.0542066923871354	0.0181393384807987	-0.0673517071043418	0.0685122882303604
M_mw_123	0.108583646869549	0.0503594090917818	0.00795696834387237	-0.00462694563817382
M_bw_124	0.121817367776018	0.0308507042502795	0.00717588076866954	0.000637148346553004
M_sw_125	0.0405809829947497	0.0715975895605403	0.076759950321584	0.0383851457868523
M_mw_126	0.114342708835265	0.0435378481992888	0.0256831684608969	-0.00837705000849896
KS_bw_127	-0.0551687538743418	-0.17580875184575	-0.0275048582777105	-0.0284710144681319
KS_mw_129	0.0910144998539919	0.036196552011822	0.00777842782207129	-0.014377792586891
KS_bw_130	0.145618841260053	0.0115651203353893	-0.0149404414648139	-0.0219184019198014
M_sw_131	0.0330784914016998	0.050781068781128	0.0534877505976274	0.0474567887426713
M_mw_132	-0.0217897366077956	0.0404844188355469	-0.0263076005011583	0.0984827229028072
M_sw_134	0.104825515497354	0.0575314083948524	0.0385901448584963	0.0110628641521296
M_mw_135	0.0911939205792967	0.00609222104243989	0.00819797590047916	-0.0075663444917903
T_bw_136	0.144132278138918	0.0218127094647329	-0.014651810734012	-0.00630027997521794
T_bw_139	0.0525667158444596	0.0416925317435174	0.0222973244604405	0.0390406654289108
KS_mw_141	0.0671459544379947	0.0260063931923948	-0.0143064865750154	0.0218901250990162
KS_bw_142	0.11923577113546	0.0404940434788948	0.00877004965403975	0.00785031700205662
T_sw_143	0.0840240643683974	0.0380766617940829	0.0361622598323086	-0.00279667223916222
KS_mw_144	-0.0169859702207793	-0.00983494488720235	-0.0374367716603518	0.0656314227796387
KS_bw_145	0.053587640326507	0.0359308453618598	0.0277542527242923	0.0123150325015794
T_sw_146	0.0904385817826777	0.0592522177770186	0.0584687155113547	-0.0162998313237927
KS_mw_147	0.0846367486678064	0.0431071087504167	0.0207152974280995	-0.0323431851157271
KS_bw_148	0.144718627288071	0.0307820420515278	0.0137219704371187	-0.0275739587298478
