bray_curtis_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.151	0.213	0.194	0.237	0.165	0.130	0.132	0.143	0.146	0.141	0.127	0.152	0.186	0.142	0.155	0.182	0.141
KO2	0.151	0	0.215	0.201	0.242	0.173	0.143	0.137	0.150	0.160	0.141	0.130	0.158	0.193	0.142	0.160	0.189	0.145
KO3	0.213	0.215	0	0.227	0.243	0.215	0.222	0.210	0.221	0.226	0.212	0.208	0.223	0.228	0.207	0.212	0.233	0.207
KO4	0.194	0.201	0.227	0	0.239	0.194	0.196	0.193	0.202	0.192	0.196	0.194	0.205	0.211	0.194	0.204	0.212	0.191
KO5	0.237	0.242	0.243	0.239	0	0.226	0.244	0.236	0.242	0.238	0.226	0.242	0.245	0.242	0.233	0.236	0.240	0.224
KO6	0.165	0.173	0.215	0.194	0.226	0	0.167	0.163	0.177	0.175	0.163	0.165	0.181	0.209	0.166	0.172	0.198	0.173
OE1	0.130	0.143	0.222	0.196	0.244	0.167	0	0.105	0.117	0.123	0.108	0.0943	0.140	0.174	0.118	0.131	0.166	0.126
OE2	0.132	0.137	0.210	0.193	0.236	0.163	0.105	0	0.126	0.129	0.114	0.105	0.137	0.173	0.118	0.135	0.167	0.123
OE3	0.143	0.150	0.221	0.202	0.242	0.177	0.117	0.126	0	0.137	0.129	0.113	0.144	0.176	0.128	0.145	0.174	0.137
OE4	0.146	0.160	0.226	0.192	0.238	0.175	0.123	0.129	0.137	0	0.134	0.120	0.153	0.179	0.135	0.140	0.174	0.144
OE5	0.141	0.141	0.212	0.196	0.226	0.163	0.108	0.114	0.129	0.134	0	0.108	0.137	0.179	0.120	0.133	0.158	0.127
OE6	0.127	0.130	0.208	0.194	0.242	0.165	0.0943	0.105	0.113	0.120	0.108	0	0.134	0.173	0.117	0.128	0.163	0.124
WT1	0.152	0.158	0.223	0.205	0.245	0.181	0.140	0.137	0.144	0.153	0.137	0.134	0	0.172	0.145	0.154	0.174	0.155
WT2	0.186	0.193	0.228	0.211	0.242	0.209	0.174	0.173	0.176	0.179	0.179	0.173	0.172	0	0.173	0.184	0.193	0.182
WT3	0.142	0.142	0.207	0.194	0.233	0.166	0.118	0.118	0.128	0.135	0.120	0.117	0.145	0.173	0	0.137	0.157	0.127
WT4	0.155	0.160	0.212	0.204	0.236	0.172	0.131	0.135	0.145	0.140	0.133	0.128	0.154	0.184	0.137	0	0.169	0.135
WT5	0.182	0.189	0.233	0.212	0.240	0.198	0.166	0.167	0.174	0.174	0.158	0.163	0.174	0.193	0.157	0.169	0	0.163
WT6	0.141	0.145	0.207	0.191	0.224	0.173	0.126	0.123	0.137	0.144	0.127	0.124	0.155	0.182	0.127	0.135	0.163	0
