jaccard	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT6	WT3	WT1	WT2	WT4	WT5	OE2	KO2	KO3	KO5
KO1	0	0.407	0.435	0.482	0.454	0.481	0.446	0.432	0.444	0.461	0.463	0.482	0.469	0.483	0.520	0.444	0.492	0.501
KO6	0.407	0	0.422	0.548	0.515	0.516	0.493	0.478	0.504	0.508	0.508	0.515	0.504	0.496	0.570	0.479	0.489	0.497
KO4	0.435	0.422	0	0.561	0.546	0.520	0.506	0.486	0.497	0.515	0.498	0.500	0.513	0.499	0.571	0.513	0.490	0.497
OE1	0.482	0.548	0.561	0	0.384	0.482	0.458	0.420	0.438	0.414	0.503	0.540	0.486	0.538	0.454	0.488	0.592	0.643
OE6	0.454	0.515	0.546	0.384	0	0.467	0.444	0.410	0.446	0.434	0.496	0.544	0.475	0.524	0.465	0.476	0.572	0.630
OE3	0.481	0.516	0.520	0.482	0.467	0	0.397	0.438	0.425	0.444	0.435	0.478	0.459	0.474	0.469	0.499	0.532	0.598
OE4	0.446	0.493	0.506	0.458	0.444	0.397	0	0.406	0.414	0.418	0.431	0.458	0.430	0.455	0.459	0.495	0.533	0.565
OE5	0.432	0.478	0.486	0.420	0.410	0.438	0.406	0	0.370	0.379	0.427	0.467	0.412	0.428	0.434	0.443	0.520	0.560
WT6	0.444	0.504	0.497	0.438	0.446	0.425	0.414	0.370	0	0.374	0.406	0.457	0.426	0.423	0.425	0.464	0.502	0.555
WT3	0.461	0.508	0.515	0.414	0.434	0.444	0.418	0.379	0.374	0	0.426	0.457	0.407	0.473	0.441	0.446	0.542	0.581
WT1	0.463	0.508	0.498	0.503	0.496	0.435	0.431	0.427	0.406	0.426	0	0.402	0.437	0.439	0.465	0.454	0.549	0.560
WT2	0.482	0.515	0.500	0.540	0.544	0.478	0.458	0.467	0.457	0.457	0.402	0	0.429	0.446	0.542	0.504	0.532	0.532
WT4	0.469	0.504	0.513	0.486	0.475	0.459	0.430	0.412	0.426	0.407	0.437	0.429	0	0.475	0.504	0.453	0.525	0.580
WT5	0.483	0.496	0.499	0.538	0.524	0.474	0.455	0.428	0.423	0.473	0.439	0.446	0.475	0	0.516	0.508	0.523	0.531
OE2	0.520	0.570	0.571	0.454	0.465	0.469	0.459	0.434	0.425	0.441	0.465	0.542	0.504	0.516	0	0.489	0.576	0.617
KO2	0.444	0.479	0.513	0.488	0.476	0.499	0.495	0.443	0.464	0.446	0.454	0.504	0.453	0.508	0.489	0	0.535	0.609
KO3	0.492	0.489	0.490	0.592	0.572	0.532	0.533	0.520	0.502	0.542	0.549	0.532	0.525	0.523	0.576	0.535	0	0.507
KO5	0.501	0.497	0.497	0.643	0.630	0.598	0.565	0.560	0.555	0.581	0.560	0.532	0.580	0.531	0.617	0.609	0.507	0
