jaccard	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.444	0.492	0.435	0.501	0.407	0.482	0.520	0.481	0.446	0.432	0.454	0.463	0.482	0.461	0.469	0.483	0.444
KO2	0.444	0	0.535	0.513	0.609	0.479	0.488	0.489	0.499	0.495	0.443	0.476	0.454	0.504	0.446	0.453	0.508	0.464
KO3	0.492	0.535	0	0.490	0.507	0.489	0.592	0.576	0.532	0.533	0.520	0.572	0.549	0.532	0.542	0.525	0.523	0.502
KO4	0.435	0.513	0.490	0	0.497	0.422	0.561	0.571	0.520	0.506	0.486	0.546	0.498	0.500	0.515	0.513	0.499	0.497
KO5	0.501	0.609	0.507	0.497	0	0.497	0.643	0.617	0.598	0.565	0.560	0.630	0.560	0.532	0.581	0.580	0.531	0.555
KO6	0.407	0.479	0.489	0.422	0.497	0	0.548	0.570	0.516	0.493	0.478	0.515	0.508	0.515	0.508	0.504	0.496	0.504
OE1	0.482	0.488	0.592	0.561	0.643	0.548	0	0.454	0.482	0.458	0.420	0.384	0.503	0.540	0.414	0.486	0.538	0.438
OE2	0.520	0.489	0.576	0.571	0.617	0.570	0.454	0	0.469	0.459	0.434	0.465	0.465	0.542	0.441	0.504	0.516	0.425
OE3	0.481	0.499	0.532	0.520	0.598	0.516	0.482	0.469	0	0.397	0.438	0.467	0.435	0.478	0.444	0.459	0.474	0.425
OE4	0.446	0.495	0.533	0.506	0.565	0.493	0.458	0.459	0.397	0	0.406	0.444	0.431	0.458	0.418	0.430	0.455	0.414
OE5	0.432	0.443	0.520	0.486	0.560	0.478	0.420	0.434	0.438	0.406	0	0.410	0.427	0.467	0.379	0.412	0.428	0.370
OE6	0.454	0.476	0.572	0.546	0.630	0.515	0.384	0.465	0.467	0.444	0.410	0	0.496	0.544	0.434	0.475	0.524	0.446
WT1	0.463	0.454	0.549	0.498	0.560	0.508	0.503	0.465	0.435	0.431	0.427	0.496	0	0.402	0.426	0.437	0.439	0.406
WT2	0.482	0.504	0.532	0.500	0.532	0.515	0.540	0.542	0.478	0.458	0.467	0.544	0.402	0	0.457	0.429	0.446	0.457
WT3	0.461	0.446	0.542	0.515	0.581	0.508	0.414	0.441	0.444	0.418	0.379	0.434	0.426	0.457	0	0.407	0.473	0.374
WT4	0.469	0.453	0.525	0.513	0.580	0.504	0.486	0.504	0.459	0.430	0.412	0.475	0.437	0.429	0.407	0	0.475	0.426
WT5	0.483	0.508	0.523	0.499	0.531	0.496	0.538	0.516	0.474	0.455	0.428	0.524	0.439	0.446	0.473	0.475	0	0.423
WT6	0.444	0.464	0.502	0.497	0.555	0.504	0.438	0.425	0.425	0.414	0.370	0.446	0.406	0.457	0.374	0.426	0.423	0
