manhatten	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	WT4	KO2	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	639.0	623.0	642.0	677.0	676.0	678.0	696.0	668.0	730.0	702.0	708.0	819.0	745.0	828.0	845.0	915.0	986.0
OE1	639.0	0	480.0	527.0	538.0	575.0	585.0	609.0	623.0	639.0	695.0	679.0	780.0	786.0	809.0	894.0	996.0	1063.0
OE6	623.0	480.0	0	527.0	538.0	559.0	583.0	593.0	609.0	627.0	631.0	647.0	768.0	778.0	803.0	880.0	934.0	1053.0
OE2	642.0	527.0	527.0	0	563.0	618.0	580.0	634.0	600.0	656.0	656.0	658.0	779.0	757.0	796.0	869.0	933.0	1018.0
OE5	677.0	538.0	538.0	563.0	0	621.0	581.0	649.0	613.0	635.0	669.0	651.0	724.0	748.0	811.0	868.0	928.0	961.0
OE3	676.0	575.0	559.0	618.0	621.0	0	616.0	658.0	654.0	688.0	704.0	676.0	793.0	803.0	792.0	887.0	957.0	1018.0
WT3	678.0	585.0	583.0	580.0	581.0	616.0	0	650.0	608.0	656.0	674.0	684.0	719.0	761.0	784.0	861.0	905.0	986.0
OE4	696.0	609.0	593.0	634.0	649.0	658.0	650.0	0	686.0	666.0	752.0	720.0	793.0	799.0	804.0	847.0	981.0	1004.0
WT6	668.0	623.0	609.0	600.0	613.0	654.0	608.0	686.0	0	638.0	680.0	724.0	741.0	783.0	814.0	835.0	895.0	940.0
WT4	730.0	639.0	627.0	656.0	635.0	688.0	656.0	666.0	638.0	0	746.0	714.0	759.0	775.0	816.0	887.0	911.0	982.0
KO2	702.0	695.0	631.0	656.0	669.0	704.0	674.0	752.0	680.0	746.0	0	730.0	845.0	775.0	852.0	865.0	915.0	996.0
WT1	708.0	679.0	647.0	658.0	651.0	676.0	684.0	720.0	724.0	714.0	730.0	0	777.0	809.0	758.0	883.0	947.0	1008.0
WT5	819.0	780.0	768.0	779.0	724.0	793.0	719.0	793.0	741.0	759.0	845.0	777.0	0	854.0	823.0	882.0	956.0	953.0
KO6	745.0	786.0	778.0	757.0	748.0	803.0	761.0	799.0	783.0	775.0	775.0	809.0	854.0	0	891.0	808.0	882.0	897.0
WT2	828.0	809.0	803.0	796.0	811.0	792.0	784.0	804.0	814.0	816.0	852.0	758.0	823.0	891.0	0	865.0	921.0	948.0
KO4	845.0	894.0	880.0	869.0	868.0	887.0	861.0	847.0	835.0	887.0	865.0	883.0	882.0	808.0	865.0	0	896.0	911.0
KO3	915.0	996.0	934.0	933.0	928.0	957.0	905.0	981.0	895.0	911.0	915.0	947.0	956.0	882.0	921.0	896.0	0	913.0
KO5	986.0	1063.0	1053.0	1018.0	961.0	1018.0	986.0	1004.0	940.0	982.0	996.0	1008.0	953.0	897.0	948.0	911.0	913.0	0
