unifrac_binary	KO1	OE1	OE6	OE2	OE5	WT3	OE3	OE4	WT6	WT4	WT1	KO2	WT2	WT5	KO6	KO3	KO4	KO5
KO1	0	0.0657	0.0616	0.0643	0.0577	0.0611	0.0643	0.0615	0.0508	0.0642	0.0675	0.0597	0.0777	0.0756	0.0679	0.0744	0.0737	0.101
OE1	0.0657	0	0.0374	0.0527	0.0469	0.0505	0.0483	0.0451	0.0525	0.0529	0.0568	0.0664	0.0643	0.069	0.0861	0.0935	0.0851	0.119
OE6	0.0616	0.0374	0	0.0424	0.0452	0.0427	0.0472	0.0457	0.053	0.056	0.0545	0.0622	0.0703	0.0722	0.0861	0.0931	0.088	0.120
OE2	0.0643	0.0527	0.0424	0	0.0446	0.0447	0.0489	0.0483	0.0519	0.0577	0.0506	0.0542	0.0712	0.0727	0.0826	0.0923	0.0922	0.116
OE5	0.0577	0.0469	0.0452	0.0446	0	0.0413	0.0479	0.0445	0.0439	0.0452	0.0471	0.0577	0.0612	0.0597	0.0741	0.0853	0.0811	0.103
WT3	0.0611	0.0505	0.0427	0.0447	0.0413	0	0.0493	0.0429	0.0487	0.0468	0.0514	0.0611	0.0591	0.0595	0.0796	0.0896	0.0845	0.109
OE3	0.0643	0.0483	0.0472	0.0489	0.0479	0.0493	0	0.0418	0.0512	0.0538	0.0508	0.0632	0.0692	0.0727	0.0874	0.0931	0.0945	0.117
OE4	0.0615	0.0451	0.0457	0.0483	0.0445	0.0429	0.0418	0	0.0475	0.0488	0.0528	0.0653	0.0606	0.0675	0.0821	0.0913	0.0815	0.107
WT6	0.0508	0.0525	0.053	0.0519	0.0439	0.0487	0.0512	0.0475	0	0.0451	0.0489	0.0566	0.0643	0.0587	0.073	0.0776	0.0791	0.102
WT4	0.0642	0.0529	0.056	0.0577	0.0452	0.0468	0.0538	0.0488	0.0451	0	0.0523	0.0641	0.0577	0.0593	0.0796	0.0881	0.0857	0.105
WT1	0.0675	0.0568	0.0545	0.0506	0.0471	0.0514	0.0508	0.0528	0.0489	0.0523	0	0.0604	0.0584	0.0624	0.082	0.0984	0.093	0.114
KO2	0.0597	0.0664	0.0622	0.0542	0.0577	0.0611	0.0632	0.0653	0.0566	0.0641	0.0604	0	0.0831	0.0725	0.0753	0.0827	0.0825	0.108
WT2	0.0777	0.0643	0.0703	0.0712	0.0612	0.0591	0.0692	0.0606	0.0643	0.0577	0.0584	0.0831	0	0.0615	0.0837	0.0899	0.0776	0.103
WT5	0.0756	0.069	0.0722	0.0727	0.0597	0.0595	0.0727	0.0675	0.0587	0.0593	0.0624	0.0725	0.0615	0	0.0784	0.0874	0.0828	0.105
KO6	0.0679	0.0861	0.0861	0.0826	0.0741	0.0796	0.0874	0.0821	0.073	0.0796	0.082	0.0753	0.0837	0.0784	0	0.0687	0.0705	0.0758
KO3	0.0744	0.0935	0.0931	0.0923	0.0853	0.0896	0.0931	0.0913	0.0776	0.0881	0.0984	0.0827	0.0899	0.0874	0.0687	0	0.0746	0.0873
KO4	0.0737	0.0851	0.088	0.0922	0.0811	0.0845	0.0945	0.0815	0.0791	0.0857	0.093	0.0825	0.0776	0.0828	0.0705	0.0746	0	0.0798
KO5	0.101	0.119	0.120	0.116	0.103	0.109	0.117	0.107	0.102	0.105	0.114	0.108	0.103	0.105	0.0758	0.0873	0.0798	0
