#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	1064	1731	645	1164	897	940	1241	1574	1265	933	1197	1010	2002	2125	1544	1749	1237	1348
ASV_2	1847	1092	1918	1891	2390	1578	626	471	1124	1225	896	630	1104	1200	732	962	1277	1028
ASV_3	550	410	720	759	995	754	592	441	975	1012	800	671	879	1493	893	1058	1017	643
ASV_4	1382	369	452	632	1051	436	510	572	406	606	633	428	962	1199	480	488	942	785
ASV_8	485	458	512	361	154	285	331	513	1472	756	490	515	553	623	479	889	390	429
ASV_6	847	597	684	740	1202	881	239	244	336	370	362	347	478	431	403	462	430	436
ASV_7	211	109	996	313	1070	259	127	1164	775	495	187	220	689	782	478	189	494	717
ASV_9	323	716	293	376	234	487	288	430	575	376	526	396	500	263	375	367	642	448
ASV_10	353	314	568	638	840	574	195	167	265	273	390	278	288	483	211	229	438	236
ASV_11	305	299	261	295	455	319	470	361	221	405	336	186	354	417	452	351	281	341
ASV_13	160	160	310	283	449	325	171	494	441	288	471	187	320	248	376	232	486	450
ASV_15	312	368	366	288	302	323	364	294	262	249	388	366	253	227	271	315	309	309
ASV_14	289	280	279	307	379	309	239	176	278	297	327	249	313	442	361	410	264	264
ASV_12	31	104	494	262	160	187	193	708	625	456	359	122	241	246	205	163	407	499
ASV_16	222	216	427	222	112	192	159	232	549	270	226	179	366	238	217	264	690	306
ASV_17	421	262	281	366	348	500	125	103	182	217	224	184	280	264	237	259	229	224
ASV_18	224	295	153	222	145	192	227	174	193	343	270	192	376	417	195	249	436	243
ASV_19	200	631	101	143	118	220	184	213	97	155	378	220	289	89	505	106	148	124
ASV_20	184	384	73	219	133	139	70	114	42	174	112	107	219	250	98	108	1344	100
ASV_33	202	158	121	123	77	167	264	173	177	178	227	262	192	178	283	218	216	264
ASV_28	216	249	43	338	99	142	130	231	118	212	206	128	288	256	179	220	155	164
ASV_25	111	110	945	49	24	59	250	139	73	175	163	119	112	24	256	213	180	328
ASV_21	141	322	168	104	77	120	159	193	146	150	187	158	184	274	166	260	316	193
ASV_22	187	184	255	206	183	191	254	150	136	166	175	217	126	153	203	134	137	181
ASV_31	170	149	156	238	47	220	173	188	216	185	216	131	208	160	178	164	235	122
ASV_26	164	152	99	336	48	27	211	260	296	85	178	125	326	64	144	79	10	527
ASV_24	172	139	400	405	277	218	103	64	142	93	128	158	94	200	101	181	102	95
ASV_23	117	382	409	75	162	250	74	78	65	130	166	69	138	191	105	424	131	104
ASV_27	182	214	168	98	130	175	254	156	126	133	183	209	144	160	203	159	101	193
ASV_29	110	102	279	155	318	214	106	169	86	118	159	67	152	187	91	155	283	175
ASV_30	165	103	138	172	171	254	133	104	197	277	133	100	158	169	182	148	123	148
ASV_32	171	135	124	120	103	128	212	139	134	153	175	192	167	191	215	134	122	200
ASV_35	145	138	179	163	132	119	114	84	156	146	170	145	153	176	183	160	168	196
ASV_34	89	202	81	173	18	56	160	121	127	174	163	99	252	300	191	185	215	112
