Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
KO1	0.0588	0.0345	1208.2	0.990	0.824	167.0	345.5	10000.0	1207.0	0.278	0.0105	5.84	8.43	2.54
KO2	0.0539	0.0366	1202.3	0.991	0.833	190.6	366.3	10000.0	1201.0	0.281	0.00875	5.90	8.52	2.56
KO3	0.0663	0.026	1040.0	0.988	0.801	135.0	259.7	10000.0	1038.0	0.335	0.0118	5.56	8.02	2.41
KO4	0.0601	0.0264	1028.3	0.989	0.804	139.6	264.0	10000.0	1027.0	0.286	0.0112	5.58	8.04	2.42
KO5	0.0732	0.0216	959.7	0.985	0.783	108.6	215.8	10000.0	958.0	0.325	0.0147	5.37	7.75	2.33
KO6	0.0506	0.0317	1120.4	0.991	0.820	171.3	317.4	10000.0	1119.0	0.296	0.00918	5.76	8.31	2.50
OE1	0.0402	0.0449	1302.9	0.993	0.851	238.5	448.8	10000.0	1302.0	0.239	0.00702	6.11	8.81	2.65
OE2	0.0507	0.0383	1258.7	0.991	0.833	195.5	382.8	10000.0	1258.0	0.248	0.00855	5.95	8.58	2.58
OE3	0.0456	0.0316	1204.1	0.990	0.812	155.7	316.0	10000.0	1203.0	0.289	0.0105	5.76	8.30	2.50
OE4	0.0389	0.0356	1217.0	0.992	0.827	191.1	355.8	10000.0	1216.0	0.280	0.00815	5.87	8.47	2.55
OE5	0.0401	0.0386	1235.9	0.992	0.837	208.3	386.3	10000.0	1235.0	0.255	0.0076	5.96	8.59	2.59
OE6	0.0439	0.0443	1308.9	0.993	0.849	235.9	443.2	10000.0	1308.0	0.251	0.00702	6.09	8.79	2.65
WT1	0.0615	0.0275	1179.4	0.988	0.795	132.9	275.4	10000.0	1178.0	0.322	0.0123	5.62	8.11	2.44
WT2	0.0654	0.0227	1077.4	0.985	0.777	107.4	227.0	10000.0	1076.0	0.321	0.015	5.42	7.83	2.36
WT3	0.0477	0.0377	1235.9	0.992	0.833	197.4	376.7	10000.0	1235.0	0.265	0.00825	5.93	8.56	2.58
WT4	0.0522	0.0341	1206.9	0.991	0.822	176.6	341.1	10000.0	1206.0	0.283	0.0092	5.83	8.41	2.53
WT5	0.0424	0.0249	1116.6	0.987	0.786	123.0	249.2	10000.0	1115.0	0.331	0.0127	5.52	7.96	2.40
WT6	0.0406	0.0353	1218.1	0.992	0.826	190.0	353.5	10000.0	1217.0	0.285	0.00817	5.87	8.47	2.55
