bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.300	0.337	0.303	0.348	0.276	0.330	0.359	0.333	0.306	0.291	0.311	0.300	0.314	0.308	0.315	0.330	0.305
KO2	0.300	0	0.365	0.355	0.440	0.318	0.324	0.339	0.343	0.332	0.294	0.318	0.301	0.351	0.295	0.306	0.343	0.305
KO3	0.337	0.365	0	0.327	0.342	0.340	0.426	0.403	0.365	0.364	0.349	0.404	0.372	0.351	0.365	0.352	0.354	0.335
KO4	0.303	0.355	0.327	0	0.333	0.281	0.409	0.402	0.377	0.351	0.336	0.393	0.331	0.331	0.361	0.356	0.346	0.343
KO5	0.348	0.440	0.342	0.333	0	0.346	0.486	0.448	0.443	0.406	0.397	0.472	0.384	0.357	0.412	0.410	0.374	0.384
KO6	0.276	0.318	0.340	0.281	0.346	0	0.386	0.411	0.369	0.342	0.319	0.362	0.344	0.338	0.349	0.337	0.342	0.349
OE1	0.330	0.324	0.426	0.409	0.486	0.386	0	0.307	0.349	0.308	0.288	0.256	0.347	0.383	0.275	0.332	0.383	0.300
OE2	0.359	0.339	0.403	0.402	0.448	0.411	0.307	0	0.333	0.296	0.284	0.324	0.323	0.387	0.302	0.354	0.357	0.289
OE3	0.333	0.343	0.365	0.377	0.443	0.369	0.349	0.333	0	0.267	0.296	0.330	0.285	0.323	0.303	0.316	0.327	0.292
OE4	0.306	0.332	0.364	0.351	0.406	0.342	0.308	0.296	0.267	0	0.259	0.305	0.277	0.303	0.269	0.283	0.299	0.280
OE5	0.291	0.294	0.349	0.336	0.397	0.319	0.288	0.284	0.296	0.259	0	0.274	0.277	0.309	0.243	0.275	0.285	0.252
OE6	0.311	0.318	0.404	0.393	0.472	0.362	0.256	0.324	0.330	0.305	0.274	0	0.334	0.382	0.288	0.320	0.370	0.308
WT1	0.300	0.301	0.372	0.331	0.384	0.344	0.347	0.323	0.285	0.277	0.277	0.334	0	0.274	0.273	0.301	0.279	0.265
WT2	0.314	0.351	0.351	0.331	0.357	0.338	0.383	0.387	0.323	0.303	0.309	0.382	0.274	0	0.305	0.294	0.295	0.314
WT3	0.308	0.295	0.365	0.361	0.412	0.349	0.275	0.302	0.303	0.269	0.243	0.288	0.273	0.305	0	0.269	0.309	0.250
WT4	0.315	0.306	0.352	0.356	0.410	0.337	0.332	0.354	0.316	0.283	0.275	0.320	0.301	0.294	0.269	0	0.325	0.289
WT5	0.330	0.343	0.354	0.346	0.374	0.342	0.383	0.357	0.327	0.299	0.285	0.370	0.279	0.295	0.309	0.325	0	0.289
WT6	0.305	0.305	0.335	0.343	0.384	0.349	0.300	0.289	0.292	0.280	0.252	0.308	0.265	0.314	0.250	0.289	0.289	0
