bray_curtis_binary	KO1	KO2	OE1	OE6	OE5	OE2	WT3	WT6	OE4	OE3	WT1	WT4	KO6	WT2	WT5	KO4	KO3	KO5
KO1	0	0.145	0.143	0.138	0.153	0.139	0.149	0.137	0.141	0.161	0.156	0.161	0.170	0.184	0.181	0.197	0.204	0.208
KO2	0.145	0	0.141	0.132	0.141	0.138	0.150	0.142	0.151	0.159	0.152	0.165	0.165	0.167	0.183	0.180	0.198	0.216
OE1	0.143	0.141	0	0.109	0.130	0.126	0.133	0.135	0.129	0.133	0.145	0.145	0.170	0.176	0.171	0.200	0.209	0.230
OE6	0.138	0.132	0.109	0	0.109	0.110	0.123	0.128	0.126	0.127	0.132	0.138	0.163	0.163	0.167	0.183	0.195	0.216
OE5	0.153	0.141	0.130	0.109	0	0.111	0.126	0.125	0.135	0.141	0.143	0.142	0.154	0.159	0.161	0.183	0.197	0.195
OE2	0.139	0.138	0.126	0.110	0.111	0	0.125	0.140	0.131	0.137	0.137	0.139	0.167	0.161	0.160	0.185	0.199	0.208
WT3	0.149	0.150	0.133	0.123	0.126	0.125	0	0.134	0.136	0.144	0.147	0.147	0.170	0.170	0.168	0.185	0.202	0.226
WT6	0.137	0.142	0.135	0.128	0.125	0.140	0.134	0	0.133	0.157	0.150	0.148	0.169	0.164	0.164	0.181	0.206	0.211
OE4	0.141	0.151	0.129	0.126	0.135	0.131	0.136	0.133	0	0.137	0.147	0.151	0.170	0.177	0.168	0.184	0.203	0.226
OE3	0.161	0.159	0.133	0.127	0.141	0.137	0.144	0.157	0.137	0	0.147	0.166	0.180	0.182	0.178	0.200	0.213	0.236
WT1	0.156	0.152	0.145	0.132	0.143	0.137	0.147	0.150	0.147	0.147	0	0.154	0.181	0.175	0.170	0.195	0.213	0.230
WT4	0.161	0.165	0.145	0.138	0.142	0.139	0.147	0.148	0.151	0.166	0.154	0	0.170	0.180	0.181	0.187	0.209	0.216
KO6	0.170	0.165	0.170	0.163	0.154	0.167	0.170	0.169	0.170	0.180	0.181	0.170	0	0.199	0.182	0.191	0.215	0.214
WT2	0.184	0.167	0.176	0.163	0.159	0.161	0.170	0.164	0.177	0.182	0.175	0.180	0.199	0	0.184	0.202	0.227	0.234
WT5	0.181	0.183	0.171	0.167	0.161	0.160	0.168	0.164	0.168	0.178	0.170	0.181	0.182	0.184	0	0.205	0.219	0.230
KO4	0.197	0.180	0.200	0.183	0.183	0.185	0.185	0.181	0.184	0.200	0.195	0.187	0.191	0.202	0.205	0	0.211	0.232
KO3	0.204	0.198	0.209	0.195	0.197	0.199	0.202	0.206	0.203	0.213	0.213	0.209	0.215	0.227	0.219	0.211	0	0.220
KO5	0.208	0.216	0.230	0.216	0.195	0.208	0.226	0.211	0.226	0.236	0.230	0.216	0.214	0.234	0.230	0.232	0.220	0
