bray_curtis_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.148	0.202	0.200	0.212	0.174	0.140	0.142	0.158	0.143	0.146	0.137	0.158	0.177	0.148	0.163	0.171	0.141
KO2	0.148	0	0.193	0.178	0.210	0.166	0.137	0.139	0.158	0.151	0.142	0.135	0.155	0.174	0.150	0.162	0.179	0.139
KO3	0.202	0.193	0	0.213	0.221	0.213	0.214	0.200	0.219	0.208	0.196	0.192	0.210	0.222	0.195	0.212	0.224	0.213
KO4	0.200	0.178	0.213	0	0.233	0.193	0.200	0.183	0.196	0.192	0.183	0.185	0.190	0.207	0.181	0.182	0.200	0.187
KO5	0.212	0.210	0.221	0.233	0	0.213	0.229	0.204	0.231	0.222	0.195	0.217	0.232	0.218	0.231	0.216	0.230	0.211
KO6	0.174	0.166	0.213	0.193	0.213	0	0.172	0.167	0.184	0.175	0.158	0.163	0.182	0.192	0.167	0.174	0.182	0.170
OE1	0.140	0.137	0.214	0.200	0.229	0.172	0	0.123	0.136	0.129	0.129	0.113	0.143	0.164	0.133	0.143	0.167	0.140
OE2	0.142	0.139	0.200	0.183	0.204	0.167	0.123	0	0.141	0.128	0.110	0.111	0.133	0.168	0.126	0.141	0.165	0.136
OE3	0.158	0.158	0.219	0.196	0.231	0.184	0.136	0.141	0	0.138	0.147	0.130	0.149	0.180	0.153	0.166	0.179	0.156
OE4	0.143	0.151	0.208	0.192	0.222	0.175	0.129	0.128	0.138	0	0.133	0.129	0.148	0.171	0.135	0.150	0.164	0.136
OE5	0.146	0.142	0.196	0.183	0.195	0.158	0.129	0.110	0.147	0.133	0	0.108	0.139	0.151	0.126	0.137	0.159	0.126
OE6	0.137	0.135	0.192	0.185	0.217	0.163	0.113	0.111	0.130	0.129	0.108	0	0.127	0.160	0.122	0.140	0.164	0.130
WT1	0.158	0.155	0.210	0.190	0.232	0.182	0.143	0.133	0.149	0.148	0.139	0.127	0	0.165	0.141	0.156	0.165	0.151
WT2	0.177	0.174	0.222	0.207	0.218	0.192	0.164	0.168	0.180	0.171	0.151	0.160	0.165	0	0.165	0.172	0.180	0.164
WT3	0.148	0.150	0.195	0.181	0.231	0.167	0.133	0.126	0.153	0.135	0.126	0.122	0.141	0.165	0	0.146	0.166	0.131
WT4	0.163	0.162	0.212	0.182	0.216	0.174	0.143	0.141	0.166	0.150	0.137	0.140	0.156	0.172	0.146	0	0.174	0.152
WT5	0.171	0.179	0.224	0.200	0.230	0.182	0.167	0.165	0.179	0.164	0.159	0.164	0.165	0.180	0.166	0.174	0	0.168
WT6	0.141	0.139	0.213	0.187	0.211	0.170	0.140	0.136	0.156	0.136	0.126	0.130	0.151	0.164	0.131	0.152	0.168	0
