euclidean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	17.9	20.3	20.3	20.5	19.2	17.7	17.9	18.6	17.8	18.1	17.6	18.6	19.3	18.1	18.8	19.0	17.6
KO2	17.9	0	19.8	19.2	20.5	18.7	17.5	17.7	18.5	18.3	17.8	17.5	18.4	19.2	18.2	18.8	19.4	17.5
KO3	20.3	19.8	0	20.2	20.2	20.5	21.2	20.5	21.1	20.7	20.2	20.2	20.8	20.9	20.0	20.8	21.0	21.0
KO4	20.3	19.2	20.2	0	20.9	19.6	20.6	19.8	20.1	20.1	19.7	19.9	19.8	20.3	19.5	19.4	20.0	19.8
KO5	20.5	20.5	20.2	20.9	0	20.3	21.7	20.6	21.5	21.2	20.0	21.2	21.6	20.5	21.6	20.7	21.0	20.7
KO6	19.2	18.7	20.5	19.6	20.3	0	19.4	19.1	19.7	19.4	18.5	18.9	19.7	19.8	18.9	19.2	19.3	19.1
OE1	17.7	17.5	21.2	20.6	21.7	19.4	0	16.9	17.5	17.2	17.2	16.3	18.0	18.9	17.4	17.9	19.1	17.9
OE2	17.9	17.7	20.5	19.8	20.6	19.1	16.9	0	17.8	17.1	15.9	16.1	17.3	19.2	17.0	17.9	19.0	17.6
OE3	18.6	18.5	21.1	20.1	21.5	19.7	17.5	17.8	0	17.5	18.2	17.2	18.1	19.5	18.4	19.0	19.4	18.6
OE4	17.8	18.3	20.7	20.1	21.2	19.4	17.2	17.1	17.5	0	17.4	17.2	18.1	19.2	17.4	18.2	18.8	17.5
OE5	18.1	17.8	20.2	19.7	20.0	18.5	17.2	15.9	18.2	17.4	0	15.9	17.7	18.1	16.9	17.5	18.6	16.9
OE6	17.6	17.5	20.2	19.9	21.2	18.9	16.3	16.1	17.2	17.2	15.9	0	17.0	18.8	16.7	17.8	19.0	17.3
WT1	18.6	18.4	20.8	19.8	21.6	19.7	18.0	17.3	18.1	18.1	17.7	17.0	0	18.7	17.7	18.5	18.7	18.3
WT2	19.3	19.2	20.9	20.3	20.5	19.8	18.9	19.2	19.5	19.2	18.1	18.8	18.7	0	18.8	19.1	19.2	18.8
WT3	18.1	18.2	20.0	19.5	21.6	18.9	17.4	17.0	18.4	17.4	16.9	16.7	17.7	18.8	0	18.0	18.9	17.1
WT4	18.8	18.8	20.8	19.4	20.7	19.2	17.9	17.9	19.0	18.2	17.5	17.8	18.5	19.1	18.0	0	19.2	18.3
WT5	19.0	19.4	21.0	20.0	21.0	19.3	19.1	19.0	19.4	18.8	18.6	19.0	18.7	19.2	18.9	19.2	0	19.0
WT6	17.6	17.5	21.0	19.8	20.7	19.1	17.9	17.6	18.6	17.5	16.9	17.3	18.3	18.8	17.1	18.3	19.0	0
