jaccard	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT3	WT6	WT1	WT4	WT2	WT5	OE2	KO2	KO3	KO5
KO1	0	0.433	0.466	0.496	0.474	0.500	0.469	0.450	0.470	0.468	0.461	0.479	0.478	0.497	0.528	0.462	0.504	0.516
KO6	0.433	0	0.438	0.557	0.532	0.539	0.509	0.484	0.517	0.517	0.512	0.505	0.505	0.510	0.583	0.482	0.507	0.514
KO4	0.466	0.438	0	0.580	0.565	0.547	0.520	0.503	0.531	0.511	0.497	0.525	0.497	0.514	0.573	0.524	0.493	0.499
OE1	0.496	0.557	0.580	0	0.408	0.517	0.472	0.448	0.431	0.461	0.515	0.499	0.554	0.554	0.470	0.489	0.597	0.654
OE6	0.474	0.532	0.565	0.408	0	0.496	0.467	0.430	0.447	0.471	0.501	0.484	0.553	0.541	0.489	0.483	0.576	0.641
OE3	0.500	0.539	0.547	0.517	0.496	0	0.422	0.457	0.465	0.452	0.443	0.480	0.489	0.493	0.499	0.511	0.535	0.614
OE4	0.469	0.509	0.520	0.472	0.467	0.422	0	0.412	0.423	0.438	0.434	0.441	0.465	0.461	0.457	0.498	0.533	0.578
OE5	0.450	0.484	0.503	0.448	0.430	0.457	0.412	0	0.390	0.402	0.434	0.431	0.472	0.444	0.442	0.454	0.518	0.568
WT3	0.470	0.517	0.531	0.431	0.447	0.465	0.423	0.390	0	0.400	0.429	0.424	0.468	0.472	0.464	0.455	0.535	0.584
WT6	0.468	0.517	0.511	0.461	0.471	0.452	0.438	0.402	0.400	0	0.419	0.448	0.478	0.448	0.448	0.467	0.501	0.555
WT1	0.461	0.512	0.497	0.515	0.501	0.443	0.434	0.434	0.429	0.419	0	0.462	0.430	0.436	0.488	0.463	0.542	0.555
WT4	0.479	0.505	0.525	0.499	0.484	0.480	0.441	0.431	0.424	0.448	0.462	0	0.455	0.490	0.522	0.468	0.521	0.582
WT2	0.478	0.505	0.497	0.554	0.553	0.489	0.465	0.472	0.468	0.478	0.430	0.455	0	0.456	0.558	0.520	0.519	0.526
WT5	0.497	0.510	0.514	0.554	0.541	0.493	0.461	0.444	0.472	0.448	0.436	0.490	0.456	0	0.526	0.511	0.523	0.544
OE2	0.528	0.583	0.573	0.470	0.489	0.499	0.457	0.442	0.464	0.448	0.488	0.522	0.558	0.526	0	0.506	0.574	0.618
KO2	0.462	0.482	0.524	0.489	0.483	0.511	0.498	0.454	0.455	0.467	0.463	0.468	0.520	0.511	0.506	0	0.535	0.611
KO3	0.504	0.507	0.493	0.597	0.576	0.535	0.533	0.518	0.535	0.501	0.542	0.521	0.519	0.523	0.574	0.535	0	0.510
KO5	0.516	0.514	0.499	0.654	0.641	0.614	0.578	0.568	0.584	0.555	0.555	0.582	0.526	0.544	0.618	0.611	0.510	0
