jaccard	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.455	0.504	0.464	0.514	0.433	0.497	0.527	0.501	0.466	0.454	0.473	0.469	0.483	0.473	0.481	0.497	0.469
KO2	0.455	0	0.530	0.521	0.608	0.483	0.489	0.508	0.513	0.498	0.451	0.479	0.466	0.523	0.459	0.464	0.512	0.471
KO3	0.504	0.530	0	0.491	0.504	0.508	0.595	0.574	0.539	0.532	0.517	0.578	0.544	0.523	0.537	0.520	0.526	0.505
KO4	0.464	0.521	0.491	0	0.493	0.444	0.579	0.569	0.549	0.514	0.503	0.563	0.496	0.498	0.532	0.523	0.515	0.510
KO5	0.514	0.608	0.504	0.493	0	0.517	0.649	0.614	0.614	0.575	0.566	0.639	0.553	0.528	0.578	0.581	0.543	0.553
KO6	0.433	0.483	0.508	0.444	0.517	0	0.555	0.581	0.546	0.507	0.485	0.531	0.513	0.511	0.519	0.504	0.512	0.521
OE1	0.497	0.489	0.595	0.579	0.649	0.555	0	0.470	0.515	0.468	0.449	0.410	0.512	0.554	0.432	0.497	0.551	0.459
OE2	0.527	0.508	0.574	0.569	0.614	0.581	0.470	0	0.498	0.456	0.441	0.485	0.489	0.558	0.462	0.521	0.520	0.450
OE3	0.501	0.513	0.539	0.549	0.614	0.546	0.515	0.498	0	0.422	0.459	0.496	0.449	0.493	0.467	0.487	0.496	0.458
OE4	0.466	0.498	0.532	0.514	0.575	0.507	0.468	0.456	0.422	0	0.413	0.462	0.431	0.466	0.422	0.446	0.462	0.435
OE5	0.454	0.451	0.517	0.503	0.566	0.485	0.449	0.441	0.459	0.413	0	0.430	0.437	0.472	0.397	0.431	0.443	0.403
OE6	0.473	0.479	0.578	0.563	0.639	0.531	0.410	0.485	0.496	0.462	0.430	0	0.500	0.553	0.446	0.482	0.540	0.470
WT1	0.469	0.466	0.544	0.496	0.553	0.513	0.512	0.489	0.449	0.431	0.437	0.500	0	0.434	0.430	0.465	0.438	0.423
WT2	0.483	0.523	0.523	0.498	0.528	0.511	0.554	0.558	0.493	0.466	0.472	0.553	0.434	0	0.473	0.461	0.458	0.484
WT3	0.473	0.459	0.537	0.532	0.578	0.519	0.432	0.462	0.467	0.422	0.397	0.446	0.430	0.473	0	0.429	0.478	0.407
WT4	0.481	0.464	0.520	0.523	0.581	0.504	0.497	0.521	0.487	0.446	0.431	0.482	0.465	0.461	0.429	0	0.492	0.449
WT5	0.497	0.512	0.526	0.515	0.543	0.512	0.551	0.520	0.496	0.462	0.443	0.540	0.438	0.458	0.478	0.492	0	0.451
WT6	0.469	0.471	0.505	0.510	0.553	0.521	0.459	0.450	0.458	0.435	0.403	0.470	0.423	0.484	0.407	0.449	0.451	0
