jaccard_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.257	0.336	0.333	0.350	0.296	0.245	0.248	0.273	0.251	0.255	0.241	0.273	0.300	0.258	0.280	0.292	0.247
KO2	0.257	0	0.323	0.303	0.348	0.285	0.241	0.243	0.273	0.263	0.249	0.238	0.268	0.297	0.262	0.279	0.304	0.243
KO3	0.336	0.323	0	0.352	0.362	0.352	0.352	0.333	0.359	0.344	0.328	0.322	0.348	0.364	0.326	0.350	0.365	0.351
KO4	0.333	0.303	0.352	0	0.379	0.324	0.333	0.309	0.328	0.323	0.309	0.312	0.319	0.343	0.307	0.308	0.333	0.315
KO5	0.350	0.348	0.362	0.379	0	0.352	0.373	0.339	0.375	0.363	0.326	0.356	0.377	0.358	0.375	0.355	0.374	0.348
KO6	0.296	0.285	0.352	0.324	0.352	0	0.293	0.287	0.312	0.298	0.272	0.280	0.308	0.323	0.286	0.296	0.308	0.290
OE1	0.245	0.241	0.352	0.333	0.373	0.293	0	0.219	0.239	0.229	0.228	0.204	0.251	0.282	0.235	0.251	0.287	0.246
OE2	0.248	0.243	0.333	0.309	0.339	0.287	0.219	0	0.247	0.226	0.198	0.200	0.234	0.288	0.224	0.248	0.283	0.239
OE3	0.273	0.273	0.359	0.328	0.375	0.312	0.239	0.247	0	0.243	0.257	0.231	0.259	0.304	0.265	0.284	0.303	0.271
OE4	0.251	0.263	0.344	0.323	0.363	0.298	0.229	0.226	0.243	0	0.235	0.228	0.257	0.293	0.237	0.262	0.282	0.240
OE5	0.255	0.249	0.328	0.309	0.326	0.272	0.228	0.198	0.257	0.235	0	0.196	0.244	0.262	0.224	0.241	0.275	0.224
OE6	0.241	0.238	0.322	0.312	0.356	0.280	0.204	0.200	0.231	0.228	0.196	0	0.225	0.275	0.217	0.245	0.282	0.231
WT1	0.273	0.268	0.348	0.319	0.377	0.308	0.251	0.234	0.259	0.257	0.244	0.225	0	0.283	0.247	0.270	0.283	0.262
WT2	0.300	0.297	0.364	0.343	0.358	0.323	0.282	0.288	0.304	0.293	0.262	0.275	0.283	0	0.283	0.293	0.305	0.282
WT3	0.258	0.262	0.326	0.307	0.375	0.286	0.235	0.224	0.265	0.237	0.224	0.217	0.247	0.283	0	0.255	0.285	0.232
WT4	0.280	0.279	0.350	0.308	0.355	0.296	0.251	0.248	0.284	0.262	0.241	0.245	0.270	0.293	0.255	0	0.296	0.263
WT5	0.292	0.304	0.365	0.333	0.374	0.308	0.287	0.283	0.303	0.282	0.275	0.282	0.283	0.305	0.285	0.296	0	0.288
WT6	0.247	0.243	0.351	0.315	0.348	0.290	0.246	0.239	0.271	0.240	0.224	0.231	0.262	0.282	0.232	0.263	0.288	0
