manhatten	KO1	KO2	OE1	OE2	OE5	OE6	WT3	WT6	WT1	OE4	OE3	WT4	WT2	KO6	WT5	KO4	KO3	KO5
KO1	0	321.0	314.0	319.0	327.0	311.0	327.0	311.0	346.0	317.0	345.0	354.0	373.0	367.0	361.0	412.0	411.0	422.0
KO2	321.0	0	307.0	312.0	318.0	306.0	332.0	306.0	339.0	334.0	344.0	353.0	368.0	350.0	378.0	367.0	392.0	419.0
OE1	314.0	307.0	0	285.0	297.0	265.0	303.0	319.0	324.0	295.0	305.0	322.0	359.0	375.0	365.0	426.0	449.0	472.0
OE2	319.0	312.0	285.0	0	254.0	260.0	288.0	310.0	301.0	292.0	318.0	319.0	368.0	366.0	360.0	391.0	422.0	423.0
OE5	327.0	318.0	297.0	254.0	0	252.0	286.0	286.0	313.0	302.0	330.0	307.0	328.0	342.0	346.0	387.0	410.0	399.0
OE6	311.0	306.0	265.0	260.0	252.0	0	280.0	300.0	289.0	296.0	296.0	317.0	352.0	358.0	362.0	397.0	408.0	451.0
WT3	327.0	332.0	303.0	288.0	286.0	280.0	0	294.0	313.0	302.0	338.0	323.0	354.0	358.0	356.0	379.0	402.0	467.0
WT6	311.0	306.0	319.0	310.0	286.0	300.0	294.0	0	335.0	306.0	346.0	335.0	352.0	364.0	360.0	391.0	440.0	427.0
WT1	346.0	339.0	324.0	301.0	313.0	289.0	313.0	335.0	0	329.0	327.0	342.0	351.0	387.0	351.0	394.0	431.0	466.0
OE4	317.0	334.0	295.0	292.0	302.0	296.0	302.0	306.0	329.0	0	306.0	333.0	368.0	376.0	352.0	403.0	430.0	449.0
OE3	345.0	344.0	305.0	318.0	330.0	296.0	338.0	346.0	327.0	306.0	0	361.0	380.0	390.0	378.0	405.0	446.0	461.0
WT4	354.0	353.0	322.0	319.0	307.0	317.0	323.0	335.0	342.0	333.0	361.0	0	363.0	367.0	367.0	376.0	431.0	430.0
WT2	373.0	368.0	359.0	368.0	328.0	352.0	354.0	352.0	351.0	368.0	380.0	363.0	0	394.0	368.0	413.0	438.0	421.0
KO6	367.0	350.0	375.0	366.0	342.0	358.0	358.0	364.0	387.0	376.0	390.0	367.0	394.0	0	372.0	385.0	420.0	411.0
WT5	361.0	378.0	365.0	360.0	346.0	362.0	356.0	360.0	351.0	352.0	378.0	367.0	368.0	372.0	0	399.0	440.0	443.0
KO4	412.0	367.0	426.0	391.0	387.0	397.0	379.0	391.0	394.0	403.0	405.0	376.0	413.0	385.0	399.0	0	409.0	438.0
KO3	411.0	392.0	449.0	422.0	410.0	408.0	402.0	440.0	431.0	430.0	446.0	431.0	438.0	420.0	440.0	409.0	0	409.0
KO5	422.0	419.0	472.0	423.0	399.0	451.0	467.0	427.0	466.0	449.0	461.0	430.0	421.0	411.0	443.0	438.0	409.0	0
