manhatten	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	315.0	414.0	405.0	415.0	360.0	321.0	314.0	352.0	311.0	343.0	314.0	341.0	388.0	329.0	350.0	382.0	302.0
KO2	315.0	0	403.0	370.0	430.0	349.0	318.0	311.0	347.0	334.0	316.0	299.0	332.0	353.0	330.0	359.0	387.0	313.0
KO3	414.0	403.0	0	405.0	407.0	424.0	439.0	420.0	434.0	419.0	413.0	414.0	435.0	446.0	417.0	426.0	432.0	426.0
KO4	405.0	370.0	405.0	0	434.0	381.0	426.0	395.0	413.0	386.0	388.0	395.0	404.0	403.0	386.0	385.0	409.0	379.0
KO5	415.0	430.0	407.0	434.0	0	413.0	474.0	431.0	471.0	458.0	400.0	449.0	460.0	451.0	456.0	431.0	443.0	427.0
KO6	360.0	349.0	424.0	381.0	413.0	0	371.0	366.0	382.0	365.0	335.0	360.0	383.0	408.0	365.0	360.0	374.0	364.0
OE1	321.0	318.0	439.0	426.0	474.0	371.0	0	293.0	301.0	294.0	300.0	255.0	328.0	385.0	302.0	327.0	375.0	309.0
OE2	314.0	311.0	420.0	395.0	431.0	366.0	293.0	0	310.0	299.0	257.0	258.0	311.0	352.0	285.0	314.0	350.0	320.0
OE3	352.0	347.0	434.0	413.0	471.0	382.0	301.0	310.0	0	305.0	317.0	288.0	321.0	386.0	319.0	362.0	378.0	348.0
OE4	311.0	334.0	419.0	386.0	458.0	365.0	294.0	299.0	305.0	0	308.0	291.0	326.0	379.0	304.0	335.0	361.0	299.0
OE5	343.0	316.0	413.0	388.0	400.0	335.0	300.0	257.0	317.0	308.0	0	255.0	322.0	345.0	286.0	319.0	351.0	285.0
OE6	314.0	299.0	414.0	395.0	449.0	360.0	255.0	258.0	288.0	291.0	255.0	0	301.0	360.0	283.0	314.0	368.0	296.0
WT1	341.0	332.0	435.0	404.0	460.0	383.0	328.0	311.0	321.0	326.0	322.0	301.0	0	371.0	326.0	337.0	361.0	333.0
WT2	388.0	353.0	446.0	403.0	451.0	408.0	385.0	352.0	386.0	379.0	345.0	360.0	371.0	0	365.0	380.0	378.0	352.0
WT3	329.0	330.0	417.0	386.0	456.0	365.0	302.0	285.0	319.0	304.0	286.0	283.0	326.0	365.0	0	325.0	361.0	301.0
WT4	350.0	359.0	426.0	385.0	431.0	360.0	327.0	314.0	362.0	335.0	319.0	314.0	337.0	380.0	325.0	0	382.0	328.0
WT5	382.0	387.0	432.0	409.0	443.0	374.0	375.0	350.0	378.0	361.0	351.0	368.0	361.0	378.0	361.0	382.0	0	352.0
WT6	302.0	313.0	426.0	379.0	427.0	364.0	309.0	320.0	348.0	299.0	285.0	296.0	333.0	352.0	301.0	328.0	352.0	0
