unifrac	KO1	KO6	KO4	KO3	KO2	OE1	OE6	OE5	WT3	WT6	WT4	WT1	WT5	OE4	OE3	WT2	OE2	KO5
KO1	0	0.0956	0.116	0.168	0.164	0.185	0.178	0.142	0.146	0.141	0.150	0.189	0.167	0.142	0.184	0.140	0.234	0.203
KO6	0.0956	0	0.107	0.141	0.212	0.239	0.224	0.187	0.206	0.193	0.201	0.235	0.203	0.186	0.240	0.177	0.280	0.157
KO4	0.116	0.107	0	0.124	0.193	0.237	0.230	0.179	0.176	0.154	0.172	0.188	0.164	0.182	0.221	0.169	0.243	0.179
KO3	0.168	0.141	0.124	0	0.200	0.261	0.244	0.197	0.192	0.153	0.191	0.204	0.166	0.186	0.208	0.203	0.226	0.198
KO2	0.164	0.212	0.193	0.200	0	0.190	0.180	0.144	0.139	0.138	0.149	0.161	0.160	0.168	0.188	0.221	0.161	0.327
OE1	0.185	0.239	0.237	0.261	0.190	0	0.0836	0.126	0.141	0.169	0.184	0.209	0.198	0.163	0.196	0.229	0.173	0.347
OE6	0.178	0.224	0.230	0.244	0.180	0.0836	0	0.102	0.136	0.154	0.169	0.196	0.175	0.154	0.185	0.219	0.162	0.325
OE5	0.142	0.187	0.179	0.197	0.144	0.126	0.102	0	0.0903	0.100	0.113	0.138	0.117	0.131	0.149	0.176	0.147	0.284
WT3	0.146	0.206	0.176	0.192	0.139	0.141	0.136	0.0903	0	0.0774	0.0956	0.110	0.116	0.112	0.125	0.157	0.152	0.300
WT6	0.141	0.193	0.154	0.153	0.138	0.169	0.154	0.100	0.0774	0	0.104	0.119	0.0961	0.102	0.127	0.156	0.149	0.260
WT4	0.150	0.201	0.172	0.191	0.149	0.184	0.169	0.113	0.0956	0.104	0	0.105	0.102	0.130	0.112	0.130	0.178	0.286
WT1	0.189	0.235	0.188	0.204	0.161	0.209	0.196	0.138	0.110	0.119	0.105	0	0.0801	0.137	0.123	0.130	0.155	0.301
WT5	0.167	0.203	0.164	0.166	0.160	0.198	0.175	0.117	0.116	0.0961	0.102	0.0801	0	0.128	0.134	0.120	0.152	0.266
OE4	0.142	0.186	0.182	0.186	0.168	0.163	0.154	0.131	0.112	0.102	0.130	0.137	0.128	0	0.119	0.150	0.151	0.262
OE3	0.184	0.240	0.221	0.208	0.188	0.196	0.185	0.149	0.125	0.127	0.112	0.123	0.134	0.119	0	0.142	0.159	0.304
WT2	0.140	0.177	0.169	0.203	0.221	0.229	0.219	0.176	0.157	0.156	0.130	0.130	0.120	0.150	0.142	0	0.216	0.215
OE2	0.234	0.280	0.243	0.226	0.161	0.173	0.162	0.147	0.152	0.149	0.178	0.155	0.152	0.151	0.159	0.216	0	0.350
KO5	0.203	0.157	0.179	0.198	0.327	0.347	0.325	0.284	0.300	0.260	0.286	0.301	0.266	0.262	0.304	0.215	0.350	0
