unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.157	0.164	0.116	0.202	0.0927	0.172	0.217	0.172	0.136	0.125	0.158	0.157	0.109	0.133	0.136	0.138	0.138
KO2	0.157	0	0.194	0.192	0.330	0.209	0.173	0.154	0.206	0.179	0.129	0.156	0.152	0.218	0.133	0.156	0.151	0.141
KO3	0.164	0.194	0	0.128	0.207	0.150	0.241	0.198	0.186	0.178	0.160	0.222	0.158	0.182	0.162	0.164	0.130	0.138
KO4	0.116	0.192	0.128	0	0.180	0.103	0.213	0.233	0.214	0.183	0.149	0.207	0.163	0.147	0.160	0.146	0.132	0.154
KO5	0.202	0.330	0.207	0.180	0	0.161	0.335	0.343	0.300	0.266	0.269	0.315	0.276	0.179	0.288	0.273	0.233	0.261
KO6	0.0927	0.209	0.150	0.103	0.161	0	0.221	0.271	0.234	0.187	0.171	0.208	0.210	0.142	0.195	0.187	0.176	0.193
OE1	0.172	0.173	0.241	0.213	0.335	0.221	0	0.176	0.201	0.163	0.130	0.0825	0.218	0.231	0.144	0.181	0.213	0.160
OE2	0.217	0.154	0.198	0.233	0.343	0.271	0.176	0	0.174	0.151	0.143	0.153	0.160	0.225	0.156	0.187	0.167	0.140
OE3	0.172	0.206	0.186	0.214	0.300	0.234	0.201	0.174	0	0.108	0.146	0.180	0.143	0.167	0.132	0.128	0.153	0.131
OE4	0.136	0.179	0.178	0.183	0.266	0.187	0.163	0.151	0.108	0	0.124	0.144	0.122	0.137	0.111	0.125	0.127	0.117
OE5	0.125	0.129	0.160	0.149	0.269	0.171	0.130	0.143	0.146	0.124	0	0.0999	0.133	0.167	0.0739	0.0945	0.114	0.0743
OE6	0.158	0.156	0.222	0.207	0.315	0.208	0.0825	0.153	0.180	0.144	0.0999	0	0.198	0.213	0.126	0.160	0.179	0.135
WT1	0.157	0.152	0.158	0.163	0.276	0.210	0.218	0.160	0.143	0.122	0.133	0.198	0	0.137	0.105	0.118	0.086	0.110
WT2	0.109	0.218	0.182	0.147	0.179	0.142	0.231	0.225	0.167	0.137	0.167	0.213	0.137	0	0.154	0.144	0.127	0.145
WT3	0.133	0.133	0.162	0.160	0.288	0.195	0.144	0.156	0.132	0.111	0.0739	0.126	0.105	0.154	0	0.0918	0.117	0.0629
WT4	0.136	0.156	0.164	0.146	0.273	0.187	0.181	0.187	0.128	0.125	0.0945	0.160	0.118	0.144	0.0918	0	0.105	0.100
WT5	0.138	0.151	0.130	0.132	0.233	0.176	0.213	0.167	0.153	0.127	0.114	0.179	0.086	0.127	0.117	0.105	0	0.0985
WT6	0.138	0.141	0.138	0.154	0.261	0.193	0.160	0.140	0.131	0.117	0.0743	0.135	0.110	0.145	0.0629	0.100	0.0985	0
