OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
OTU_5	-2.708	13.827	2.95211480291348e-08	4.10809007840196e-05	Depleted	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	0.338	2.861	0.139	0.312	0.512	0.11	0.447	0.51	3.806	2.465	2.232	1.166	3.042	4.454
OTU_1191	-5.447	7.074	5.65001707715616e-08	5.06806531820908e-05	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0	0.017	0	0	0	0	0	0	0.031	0.024	0.02	0.012	0.006	0.009
OTU_2907	-3.351	7.762	1.23619225023659e-07	6.65318669077331e-05	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.002	0.032	0	0.003	0.003	0	0.003	0.006	0.024	0.021	0.038	0.022	0.032	0.058
OTU_1850	-5.27	6.974	2.84496621900973e-06	0.000850644899483908	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	0	0.015	0	0	0	0	0	0	0.009	0.006	0.009	0.003	0.038	0.024
OTU_1136	-2.822	7.729	3.34018886061962e-06	0.00089884482239274	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	0.003	0.03	0.006	0.006	0	0.008	0	0	0.046	0.021	0.035	0.015	0.029	0.036
OTU_2481	-4.798	6.733	4.48359845204263e-06	0.00109685122131334	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.011	0	0	0	0	0	0	0.012	0.006	0.014	0.019	0.003	0.009
OTU_1993	-5.354	7.018	5.02335865827606e-06	0.00112648817911841	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Archangium	0	0.015	0	0	0	0	0	0	0.006	0.018	0	0.019	0.038	0.012
OTU_67	-2.248	11.754	1.03145684248602e-05	0.00213511566394607	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.104	0.618	0.096	0.094	0.102	0.091	0.153	0.088	0.391	0.372	0.234	1.329	0.282	1.097
OTU_302	-1.958	8.967	1.26618219879803e-05	0.0021581324099627	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.016	0.077	0.028	0.017	0.003	0.019	0.021	0.011	0.073	0.083	0.09	0.062	0.085	0.07
OTU_849	-6.749	7.969	1.27894956078209e-05	0.0021581324099627	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0	0.044	0	0	0	0	0	0	0.177	0.009	0	0.077	0	0.003
OTU_575	-2.773	8.717	1.42706292409576e-05	0.0021581324099627	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.008	0.072	0.003	0.017	0.005	0.011	0	0.014	0.037	0.083	0.017	0.099	0.041	0.152
OTU_112	-1.988	10.335	1.44356682940649e-05	0.0021581324099627	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	0.046	0.211	0.086	0.045	0.037	0.048	0.026	0.033	0.226	0.128	0.309	0.318	0.182	0.1
OTU_998	-2.644	7.972	1.64935553531992e-05	0.0022828058321249	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	0.005	0.039	0.003	0.006	0	0.005	0.003	0.011	0.061	0.027	0.017	0.019	0.029	0.079
OTU_1024	-4.365	7.651	1.85269042984538e-05	0.0022828058321249	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	0.001	0.029	0.006	0	0	0	0	0	0.027	0.021	0.014	0.071	0.041	0
OTU_247	-2.04	9.406	1.86628496123181e-05	0.0022828058321249	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	0.023	0.108	0.049	0.023	0.024	0.019	0.005	0.017	0.134	0.065	0.153	0.133	0.097	0.067
OTU_172	-1.926	10.392	2.04215348303667e-05	0.00236324619874755	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.051	0.232	0.096	0.071	0.018	0.035	0.029	0.055	0.302	0.149	0.153	0.234	0.112	0.444
OTU_2234	-3.395	7.062	2.23715432143963e-05	0.00236324619874755	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.016	0	0	0.005	0	0	0	0.024	0.021	0.012	0.003	0.012	0.024
OTU_2604	-2.884	7.06	2.67448053059889e-05	0.00264887585298198	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.015	0.003	0.003	0	0	0.003	0	0.015	0.024	0.012	0.015	0.009	0.015
OTU_1496	-2.478	8.132	3.84238818569611e-05	0.00324582047637197	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	0.006	0.043	0.015	0.011	0	0.005	0.003	0.003	0.067	0.062	0.012	0.046	0.029	0.04
OTU_1447	-2.964	7.317	3.85976422311048e-05	0.00324582047637197	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.002	0.02	0.006	0	0	0.003	0	0.003	0.04	0.024	0.014	0.006	0.026	0.012
OTU_43	-1.798	12.484	5.29818062161873e-05	0.00419335413316941	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.242	1.007	0.447	0.349	0.107	0.151	0.117	0.279	1.625	0.58	0.879	0.888	0.403	1.666
OTU_951	-2.983	7.318	5.78568132522408e-05	0.00444836241319371	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.002	0.02	0.003	0.006	0	0	0	0.003	0.021	0.048	0.014	0.006	0.018	0.015
OTU_2720	-4.322	6.524	7.98328101530415e-05	0.00596750255893985	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.007	0	0	0	0	0	0	0.012	0.009	0.006	0.006	0.012	0
OTU_131	-3.507	10.488	0.000101794433153324	0.00740348161123227	Depleted	Bacteria	Cyanobacteria	Cyanobacteria	Unassigned	Unassigned	Unassigned	0.021	0.286	0	0.088	0.003	0.005	0.003	0.03	0.238	0.547	0.124	0.012	0.464	0.328
OTU_565	-2.015	8.122	0.00011236002898162	0.00795686415761947	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	0.008	0.039	0.015	0.014	0.008	0.005	0.003	0.003	0.061	0.036	0.038	0.025	0.053	0.024
OTU_1200	-2.552	7.262	0.000118587431601318	0.00797796946097869	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	0.002	0.018	0.003	0.006	0.003	0	0.003	0	0.031	0.018	0.026	0.012	0.006	0.018
