OTUID	All	KO	OE	WT
ASV_1647	4.138716	3.345325	3.936738	5.134086
ASV_2	3.886715	5.740432	2.612055	3.307659
ASV_3	2.603885	2.338133	2.332107	3.141415
ASV_4	2.107312	2.322133	1.532302	2.467501
ASV_5	2.059528	0.3435046	2.9104642	2.9246155
ASV_8	1.743178	1.224053	2.183306	1.822176
ASV_6	1.662623	2.624672	1.027958	1.335237
ASV_7	1.588651	1.513768	1.549435	1.702750
ASV_18	1.476194	1.405810	1.385008	1.637765
ASV_9	1.35611	1.273891	1.406165	1.388273
ASV_10	1.186536	1.7337092	0.7954958	1.0304042
ASV_11	1.060388	1.031837	1.016292	1.133035
ASV_14	1.032467	0.8794102	1.0774290	1.1405617
ASV_12	1.001705	1.024817	0.838688	1.141612
ASV_15	0.974941	1.0631772	0.9867257	0.8749189
ASV_13	0.952951	0.6724132	1.2621094	0.9243319
ASV_16	0.917651	0.7359554	0.8788438	1.1381548
ASV_17	0.86455	1.2197009	0.5579599	0.8159897
ASV_28	0.774723	0.7226069	0.6568550	0.9447077
ASV_20	0.692496	0.6120385	0.3524228	1.1130274
ASV_30	0.638897	0.4794416	0.7001194	0.7371297
ASV_23	0.610625	0.6910567	0.5376161	0.6032031
ASV_21	0.594919	0.4869108	0.5760580	0.7217882
ASV_1276	0.58547	0.6735430	0.5886323	0.4942334
ASV_29	0.57913	0.5409927	0.6444295	0.5519685
ASV_22	0.553916	0.8911230	0.3356334	0.4349907
ASV_113	0.54907	0.9008046	0.3541725	0.3922319
ASV_26	0.561435	0.4464995	0.5842656	0.6535410
ASV_24	0.538654	0.7393461	0.2861532	0.5904625
ASV_31	0.515509	0.6086149	0.3917484	0.5461623
ASV_27	0.520273	0.5022107	0.5412101	0.5173978
ASV_34	0.492242	0.4297801	0.5484910	0.4984540
ASV_33	0.485286	0.5048418	0.5026427	0.4483721
ASV_35	0.476894	0.3322561	0.4329836	0.6654414
ASV_36	0.46279	0.5084840	0.3764497	0.5034376
ASV_41	0.458888	0.6712784	0.3353011	0.3700843
ASV_37	0.456067	0.3036965	0.4867772	0.5777267
ASV_173	0.449803	0.4488422	0.3867980	0.5137691
ASV_38	0.446448	0.7395796	0.2410926	0.3586716
ASV_40	0.45911	0.2547658	0.9922035	0.1303598
ASV_39	0.41081	0.4754887	0.3289210	0.4280197
ASV_70	0.403144	0.5500723	0.3310563	0.3283039
ASV_42	0.403687	0.3615060	0.3055516	0.5440030
ASV_47	0.397041	0.4774996	0.3318662	0.3817573
ASV_68	0.380132	0.5230233	0.2852552	0.3321164
ASV_45	0.373741	0.5936692	0.2119081	0.3156461
ASV_44	0.37555	0.4296135	0.2840988	0.4129368
