Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	0.0178316690442225	0.0567169016366877	0.00750018750468762	0.00766518473095202	0.00728650539201399	0.016061676839062	0.218267293485561	0.0772068285150553	0.0844880027036161	0.0517687661777394	0.175845256174566	0.244862264975951	0.115127791848952	0.037775763070414	0.122850122850123	0.0790326404805184	0.0303398058252427	0.0482858522452921
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae	0.249643366619116	0.324096580781073	0.397509937748444	0.183964433542848	0.138443602448266	0.297141021522647	0.352585627938214	0.480398044093678	0.321054410273741	0.284728213977567	0.295739749020862	0.367293397463927	0.276306700437486	0.287095799335147	0.483210483210483	0.205484865249348	0.22754854368932	0.233381619185579
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	0.124821683309558	0.089126559714795	0.0600015000375009	0.0689866625785681	0.0655785485281259	0.064246707356248	0.260241773002015	0.0772068285150553	0.0506928016221696	0.129421915444349	0.127887459036048	0.209881941407958	0.0844270473558984	0.0982169839830765	0.0655200655200655	0.0711293764324666	0.0682645631067961	0.104619346531466
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned	0.106990014265335	0.0972289742343218	0.0450011250281257	0.0996474015023762	0.10929758088021	0.072277545775779	0.218267293485561	0.128678047525092	0.0929368029739777	0.172562553925798	0.143873391415554	0.14866637516397	0.0844270473558984	0.105772136597159	0.139230139230139	0.205484865249348	0.0986043689320388	0.12071463061323
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae	0.00891583452211127	0	0.00750018750468762	0	0	0.040154192097655	0	0.00857853650167281	0	0.00862812769628991	0.00799296618975302	0.034980323567993	0.00767518612326349	0	0	0.0237097921441555	0.0379247572815534	0.00804764204088202
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae	0.0445791726105563	0.226867606546751	0.0900022500562514	0.0689866625785681	0.029146021568056	0.08030838419531	0.134318334452653	0.223041949043493	0.109834403514701	0.0776531492666092	0.0879226280872832	0.314822912111937	0.0537263028628444	0.037775763070414	0.0982800982800983	0.134355488816881	0.166868932038835	0.0643811363270562
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae	0.0713266761768902	0.137741046831956	0.0450011250281257	0.022995554192856	0.0364325269600699	0.056215868936717	0.0083948959032908	0.0171570730033456	0.0675904021628929	0	0.015985932379506	0.0174901617839965	0.0537263028628444	0.0302206104563312	0.0245700245700246	0.0474195842883111	0.0606796116504854	0.016095284081764
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae	0.0624108416547789	0.00810241451952682	0	0.022995554192856	0	0.040154192097655	0.117528542646071	0.0343141460066913	0.042244001351808	0.0345125107851596	0.0559507633282711	0.0262352426759948	0.00767518612326349	0.0151103052281656	0.0737100737100737	0.0158065280961037	0.0455097087378641	0.104619346531466
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae	0.0445791726105563	0.15394587587101	0.0675016875421885	0.0383259236547601	0.0437190323520839	0.048185030517186	0.0335795836131632	0.111520974521747	0.0506928016221696	0.0172562553925798	0.015985932379506	0.0874508089199825	0.0383759306163174	0.0302206104563312	0.0819000819000819	0.0474195842883111	0.0303398058252427	0.0402382102044101
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae	0.855920114122682	1.18295251985092	0.847521188029701	0.889161428790434	0.561060915185077	0.626405396723418	0.873069173942243	1.03800291670241	0.802636025684353	0.87144089732528	0.999120773719127	0.953213817227809	0.690766751093714	0.574191598670293	1.00737100737101	0.924681893622066	0.728155339805825	1.0300981812329
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.115905848787447	0.137741046831956	0.097502437560939	0.0613214778476161	0.03643252696007	0.088339222614841	0.117528542646071	0.325984387063567	0.152078404866509	0.172562553925798	0.247781951882344	0.20113686051596	0.122802977972216	0.0755515261408281	0.139230139230139	0.221291393345452	0.11377427184466	0.169000482858522
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae	0.294222539229672	0.340301409820126	0.112502812570314	0.222290357197608	0.0874380647041679	0.441696113074205	0.260241773002015	0.180149266535129	0.152078404866509	0.138050043140638	0.479577971385181	0.358548316571928	0.199554839204851	0.226654578422484	0.237510237510238	0.181775073105192	0.11377427184466	0.177048124899404
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned	0.106990014265335	0.20256036298817	0.0825020625515638	0.107312586233328	0.0655785485281259	0.048185030517186	0.226662189388852	0.111520974521747	0.177424805677594	0.181190681622088	0.0959155942770362	0.209881941407958	0.391434492286438	0.13599274705349	0.122850122850123	0.0869359045285703	0.242718446601942	0.16095284081764
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae	4.91262482168331	7.00048614487117	4.44011100277507	4.02422198374981	2.24424366074031	4.28846771602955	4.65916722632639	6.47679505876298	6.66610341331531	4.73684210526316	5.1714491247702	4.81853957149104	5.01189653849106	4.07222725899063	5.12694512694513	4.37840828262072	4.96055825242718	5.48849187188154
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae	0.481455064194009	0.494247285691136	0.412510312757819	0.214625172466656	0.102011075488196	0.176678445229682	0.352585627938214	0.283091704555203	0.245015207840487	0.293356341673857	0.199824154743825	0.288587669435942	0.283981886560749	0.143547899667573	0.475020475020475	0.252904449537659	0.257888349514563	0.16095284081764
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Nocardiaceae	0.0891583452211127	0.105331388753849	0.18750468761719	0.00766518473095202	0.0728650539201399	0.040154192097655	0.0503693754197448	0.102942438020074	0.0506928016221697	0.112165660051769	0.0959155942770362	0.0612155662439878	0.15350372246527	0.0302206104563312	0.188370188370188	0.102742432624674	0.0303398058252427	0.0643811363270562
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae	0.41904422253923	0.980392156862745	0.562514062851571	0.337268128161889	0.276887204896532	0.385480244137488	0.646406984553392	0.617654628120443	0.532274417032781	0.474547023295945	0.655423227559747	0.638390905115872	0.583314145368025	0.838621940163191	0.556920556920557	0.821939460997392	1.06947815533981	0.59552551102527
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae	2.0595577746077	3.04650785934208	3.38258456461412	2.4758546680975	2.27338968230836	2.65017667844523	1.70416386836803	3.07969460410054	2.1122000675904	1.7946505608283	2.57373511310047	1.95015303891561	1.86507022795303	1.48080991236023	2.53890253890254	2.22872046155062	1.99484223300971	2.25333977144697
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	0.0534950071326676	0.0243072435585805	0	0.022995554192856	0	0.032123353678124	0.0503693754197448	0.0171570730033456	0.0168976005407232	0.0172562553925798	0	0.00874508089199825	0.00767518612326349	0.0151103052281656	0.0245700245700246	0	0	0.016095284081764
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae	5.60805991440799	10.8167233835683	8.6027150678767	8.84562317951863	5.12241329058584	5.27626084163187	5.51544660846205	5.93634725915759	4.36802973977695	5.6427955133736	6.35440812085365	5.22081329252296	8.56550771356205	5.68147476579027	7.04340704340704	7.63455307041808	8.72269417475728	7.93497505230967
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae	3.22753209700428	2.93307405606871	3.23258081452036	2.29189023455465	1.18770037889828	1.90330870542885	2.44291470785762	3.55151411169255	8.27137546468401	4.94391716997412	3.00535528734713	3.13073895933537	4.04482308695986	3.50559081293442	3.30876330876331	6.29099818224927	4.36134708737864	3.39610494125221
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae	0.0891583452211127	0.380813482417761	0.202505062626566	0.237620726659512	0.03643252696007	0.128493414712496	0.251846877098724	0.257356095050184	0.152078404866509	0.146678170836928	0.287746782831109	0.0612155662439878	0.107452605725689	0.249320036264733	0.171990171990172	0.0553228483363629	0.318567961165049	0.313858039594399
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae	4.23502139800285	6.31178091071139	2.28755718892972	4.72175379426644	3.13319731856602	3.71827818824285	4.5668233713902	6.01355408767264	4.57080094626563	3.89991371872304	4.72384301814403	3.78662002623524	7.23002532811421	7.51737685101239	5.25798525798526	6.24357859796096	5.35497572815534	4.86882343473362
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	1.37303851640514	2.12283260411603	1.17002925073127	1.5023762072666	0.524628388225007	1.16447157083199	1.72095366017461	1.85296388436133	1.81649205812775	1.75150992234685	1.54264247462233	1.66156536947967	2.21812878962315	1.82079177999396	2.07207207207207	1.77823441081167	1.85831310679612	1.84291002736198
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae	0.0178316690442225	0.121536217792902	0.0450011250281257	0.0459911083857121	0.00728650539201399	0.048185030517186	0.10913364674278	0.0772068285150553	0.0337952010814464	0.0517687661777394	0.0319718647590121	0.131176213379974	0.0767518612326349	0.037775763070414	0.0573300573300573	0.0632261123844148	0.10618932038835	0.0482858522452921
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Baekduiaceae	0.115905848787447	0.17825311942959	0.135003375084377	0.176299248811896	0.10929758088021	0.120462576292965	0.218267293485561	0.291670241056876	0.152078404866509	0.155306298533218	0.15985932379506	0.262352426759948	0.191879653081587	0.0831066787549108	0.147420147420147	0.110645696672726	0.174453883495146	0.0965717044905843
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae	0.0713266761768902	0.0972289742343218	0.0225005625140628	0.0306607389238081	0.014573010784028	0.16061676839062	0.117528542646071	0.0772068285150553	0.0591416018925313	0.0776531492666092	0.0319718647590121	0.0961958898119808	0.0690766751093714	0.0302206104563312	0.0409500409500409	0.0316130561922074	0.11377427184466	0.0885240624497022
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Unassigned	0.517118402282454	0.542861772808297	0.225005625140629	0.314272573969033	0.320606237248616	0.570189527786701	0.789120214909335	0.531869263103715	0.388644812436634	0.414150129421915	0.543521700903205	0.830782684739834	0.314682631053803	0.196433967966153	0.376740376740377	0.268710977633763	0.394417475728155	0.346048607757927
Bacteria|Actinobacteria|Thermoleophilia|Unassigned|Unassigned	0.00891583452211127	0.0648193161562146	0.0150003750093752	0.0459911083857121	0	0.024092515258593	0.0671591672263264	0.0600497555117097	0.042244001351808	0.0258843830888697	0.0479577971385181	0.0524704853519895	0.015350372246527	0.0151103052281656	0.0573300573300573	0.0395163202402592	0.022754854368932	0.016095284081764
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0.686519258202568	1.15054286177281	0.607515187879697	0.79717921201901	0.480909355872923	0.714744619338259	1.20886501007387	1.32109462125761	0.794187225413991	1.12165660051769	1.07905043561666	1.29427197201574	1.10522680174994	0.838621940163191	0.982800982800983	0.774519876709081	0.872269417475728	0.869145340415258
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	0.160485021398003	0.0648193161562146	0.0675016875421885	0.0689866625785681	0.029146021568056	0.096370061034372	0.537273337810611	0.300248777558549	0.532274417032781	0.414150129421915	0.295739749020862	0.253607345867949	0.337708189423594	0.475974614687217	0.343980343980344	0.355646882162333	0.250303398058252	0.16095284081764
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae	0.0356633380884451	0.0324096580781073	0.0300007500187505	0.022995554192856	0.014573010784028	0.024092515258593	0.041974479516454	0.0343141460066913	0.228117607299763	0.112165660051769	0.0319718647590121	0.0437254044599912	0.0614014889861079	0.0755515261408281	0.0737100737100737	0.0948391685766222	0.0303398058252427	0.0643811363270562
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	0.499286733238231	0.315994166261546	0.120003000075002	0.0766518473095202	0.306033226464588	0.032123353678124	0.327400940228341	0.145835120528438	0.304156809733018	1.27696289905091	0.215810087123331	0.279842588543944	0.314682631053803	0.287095799335147	0.532350532350532	0.466292578835059	0.204793689320388	0.257524545308225
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae	0.267475035663338	0.129638632312429	0.0450011250281257	0.130308140426184	0.029146021568056	0.056215868936717	0.461719274680994	0.308827314060221	0.388644812436634	0.465918895599655	0.42362720805691	0.209881941407958	0.283981886560749	0.445754004230885	0.384930384930385	0.490002370979214	0.159283980582524	0.249476903267343
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned	0.187232524964337	0.145843461351483	0.0525013125328133	0.0459911083857121	0.021859516176042	0.032123353678124	0.495298858294157	0.283091704555203	0.312605610003379	0.250215703192407	0.26376788426185	0.20113686051596	0.383759306163174	0.181323662737987	0.311220311220311	0.260807713585711	0.182038834951456	0.273619829389989
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae	0.0356633380884451	0.0324096580781073	0.0375009375234381	0.0306607389238081	0.014573010784028	0.008030838419531	0.0671591672263264	0.0428926825083641	0.109834403514701	0.112165660051769	0.0559507633282711	0.104940970703979	0.0614014889861079	0.143547899667573	0.114660114660115	0.110645696672726	0.11377427184466	0.0402382102044101
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	1.53352353780314	1.5718684167882	6.87767194179855	2.36087689713322	4.19702710580006	1.79890780597494	1.32639355271995	6.34811701123788	6.07468739439	4.49525452976704	1.79042442650468	1.81897682553564	3.40010745260573	3.85312783318223	2.44881244881245	1.4937169050818	3.29186893203884	4.15258329309512
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0	0.0243072435585805	0.00750018750468762	0.015330369461904	0.00728650539201399	0.008030838419531	0.0167897918065816	0.102942438020074	0.0591416018925313	0.0603968938740293	0.0479577971385181	0.0174901617839965	0.015350372246527	0	0.0491400491400491	0.205484865249348	0.022754854368932	0.016095284081764
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	0.0534950071326676	0.0567169016366877	0.0450011250281257	0.0689866625785681	0.116584086272224	0.008030838419531	0.0335795836131632	0.0343141460066913	0.0760392024332545	0.0690250215703192	0.0479577971385181	0.069960647135986	0.0921022334791619	0.219099425808401	0.0491400491400491	0.0632261123844148	0.0758495145631068	0.104619346531466
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	0.133737517831669	0.0405120725976341	0.0225005625140628	0.0919822167714242	0.0801515593121539	0.056215868936717	0.0671591672263264	0.111520974521747	0.126732004055424	0.0776531492666092	0.0879226280872832	0.0874508089199825	0.0690766751093714	0.0982169839830765	0.0819000819000819	0.0395163202402592	0.0682645631067961	0.12071463061323
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae	0.0178316690442225	0.00810241451952682	0	0	0.00728650539201399	0.024092515258593	0.041974479516454	0.0171570730033456	0.0337952010814464	0.0690250215703192	0.00799296618975302	0	0	0.0075551526140828	0.0819000819000819	0.00790326404805185	0	0.0563334942861742
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexineae	0.115905848787447	0.0810241451952682	0.0900022500562514	0.0843170320404722	0.116584086272224	0.040154192097655	0.0671591672263264	0.145835120528438	0.109834403514701	0.120793787748059	0.103908560466789	0.14866637516397	0.268631514314222	0.128437594439408	0.114660114660115	0.165968545009089	0.0455097087378641	0.0804764204088202
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae	0.374465049928673	0.348403824339653	0.202505062626566	0.367928867085697	0.531914893617021	0.232894314166399	0.285426460711887	1.00368877069572	0.101385603244339	0.543572044866264	0.823275517544561	0.585920419763883	2.35628213984189	0.128437594439408	0.475020475020475	0.458389314787007	1.06947815533981	0.804764204088202
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned	0.240727532097004	0.388915896937287	0.0525013125328133	0.137973325157136	0.174876129408336	0.136524253132027	0.159503022162525	0.205884876040148	0.228117607299763	0.198446937014668	0.151866357605307	0.104940970703979	0.207230025328114	0.13599274705349	0.188370188370188	0.205484865249348	0.151699029126214	0.273619829389989
Bacteria|Chloroflexi|Unassigned|Unassigned|Unassigned	0.0178316690442225	0.121536217792902	0.0150003750093752	0.022995554192856	0.0582920431361119	0.024092515258593	0.142713230355944	0.308827314060221	0.118283203785063	0.0862812769628991	0.0879226280872832	0.113686051595977	0.122802977972216	0.0831066787549108	0.0819000819000819	0.0711293764324666	0.0682645631067961	0.0643811363270562
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae	0	0	0	0.00766518473095202	0.00728650539201399	0.032123353678124	0.0335795836131632	0.0343141460066913	0	0.0258843830888697	0.151866357605307	0.00874508089199825	0.00767518612326349	0.0226654578422484	0	0.0790326404805185	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae 1	0.900499286733238	0.883163182628423	0.487512187804695	0.544228115897593	0.32789274264063	0.843238034050755	2.56883814640698	1.2953590117526	1.58837445082798	1.77739430543572	0.911198145631844	3.36685614341933	0.445160795149282	0.287095799335147	0.58968058968059	0.410969730498696	0.273058252427184	0.571382584902624
