Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Alphaproteobacteria	18.4	18.2	22.4	20.6	22.8	22.4	20.2	16.8	12.9	15.9	18.6	18.8	14.2	15.7	16.3	17	16.7	16.8	21.0
Actinobacteria	22.2	34.3	24.9	23.9	13.6	19.3	22.3	28.6	28.5	24.3	25.8	23.2	29.2	23.1	26.9	29.2	29.2	26.3	19.5
Betaproteobacteria	36	24.2	30.3	34.1	44.1	37.4	22.9	19.5	27.7	28.3	27	23.7	29.6	37.5	28.1	29.2	30.3	28	13.0
Gammaproteobacteria	7.23	6.26	6.5	6.68	6.9	6.97	10.2	9.09	8.06	9.3	9.92	10.6	6.44	7.63	9	8.48	8.03	9.66	11.1
Deltaproteobacteria	4.97	3.75	2.86	3.22	2.22	4.39	5.16	3.9	4.32	4.36	4.54	4.93	3.57	3.59	4.91	3.67	3.35	4.66	8.2
Bacilli	2.05	2.6	1.72	3.82	1.06	2.21	5.86	3.38	2.78	3.42	2.17	5.59	1.18	0.73	1.62	1.23	0.97	1.29	4.6
Thermoleophilia	1.27	1.68	0.84	1.26	0.85	1.47	2.23	2.17	1.31	1.58	1.73	2.25	1.56	1.01	1.42	1	1.51	1.24	4.3
Unassigned	2.11	2.45	0.97	1.29	1.14	1.68	2.63	2.4	2.26	1.79	2.18	2.5	2.68	1.54	2.76	2.01	1.62	2.39	3.7
Chloroflexia	1.36	1.75	0.42	1.2	1.39	0.85	1.19	2.53	1.08	1.38	1.84	1.59	4.03	0.82	1.4	1.74	1.68	1.81	2.9
Cytophagia	1.09	0.67	0.35	0.37	0.38	0.17	1.65	1.03	1.47	2.24	1.19	0.87	1.26	1.22	1.62	1.58	0.71	1.09	2.6
Acidimicrobiia	0.59	0.71	0.65	0.49	0.5	0.59	1.3	0.96	0.74	0.8	0.98	1.19	0.81	0.87	0.99	0.73	0.69	0.7	2.4
Flavobacteriia	1.62	1.91	7.22	2.42	4.32	1.93	1.59	7.22	6.79	4.88	2.13	2.17	4.01	4.43	2.96	2.1	3.9	4.52	1.6
Planctomycetacia	0.05	0.2	0.15	0.06	0.01	0.07	0.5	0.7	0.31	0.19	0.31	0.42	0.25	0.16	0.27	0.15	0.13	0.1	0.9
Gemmatimonadetes	0.18	0.17	0.11	0.09	0.06	0.1	0.27	0.23	0.17	0.17	0.16	0.18	0.1	0.16	0.14	0.18	0.14	0.19	0.5
Verrucomicrobiae	0.12	0.02	0.1	0.01	0.05	0.06	0.19	0.09	0.22	0.08	0.16	0.17	0.1	0.11	0.12	0.12	0.05	0.08	0.5
Clostridia	0.03	0.47	0.08	0.07	0.22	0.04	0.12	0.15	0.11	0.06	0.12	0.15	0.02	0.02	0.1	0.14	0.17	0.24	0.5
Chitinophagia	0.16	0.09	0.07	0.1	0.04	0.06	0.59	0.36	0.48	0.49	0.31	0.26	0.35	0.56	0.39	0.39	0.27	0.16	0.4
Spirochaetia	0.05	0.03	0.08	0.08	0.11	0.03	0.09	0.09	0.1	0.15	0.14	0.1	0.06	0.18	0.12	0.16	0.05	0.15	0.4
Sphingobacteriia	0.13	0.05	0.05	0.1	0.16	0.02	0.04	0.07	0.12	0.1	0.11	0.12	0.08	0.29	0.09	0.06	0.13	0.14	0.3
Opitutae	0	0.02	0.02	0.01	0.02	0.04	0.06	0.04	0.11	0.11	0.17	0.24	0.15	0.09	0.15	0.08	0.07	0.05	0.3
Vicinamibacteria	0.03	0.06	0.01	0.01	0.02	0.01	0.3	0.09	0.11	0.06	0.19	0.3	0.14	0.04	0.15	0.1	0.03	0.06	0.3
Nitrospira	0.05	0.07	0.05	0.07	0.03	0.09	0.16	0.11	0.13	0.08	0.13	0.16	0.1	0.07	0.13	0.37	0.14	0.15	0.3
Coriobacteriia	0.07	0.04	0.05	0.01	0	0.04	0.18	0.13	0.09	0	0.07	0.19	0.05	0.04	0.11	0.09	0.02	0.03	0.1
Rubrobacteria	0.02	0.13	0.04	0.05	0	0.04	0.13	0.09	0.04	0.06	0.03	0.14	0.07	0.05	0.07	0.07	0.12	0.04	0.1
Acidobacteria_Gp1	0.01	0.04	0.01	0.01	0	0.01	0.03	0.02	0.05	0.02	0.01	0	0	0.01	0.03	0	0	0.01	0.1
Nitriliruptoria	0.07	0.04	0.05	0	0.01	0.05	0.06	0.15	0.04	0.04	0.07	0.11	0.01	0.08	0.06	0.06	0.02	0.03	0.1
Phycisphaerae	0.04	0.04	0	0.02	0	0.01	0.04	0.01	0	0	0.02	0.05	0.02	0.01	0.01	0.03	0	0.02	0.1
Chlamydiia	0.02	0.01	0	0	0.01	0.02	0.04	0.02	0.04	0.07	0.01	0	0	0	0.09	0.01	0	0.06	0.1
