Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	9.2	10.6	7.34	6.98	6.49	7.85	12.2	9.82	8.53	9.26	9.78	11	8.88	8.09	12	8.82	7.64	10.3	17.3
Comamonadaceae	27.5	17.7	24	24.6	34.6	25.6	16.1	14.4	20.2	21.3	20.6	16.6	21.3	27.6	20.8	22.5	23.5	21.1	6.2
Micromonosporaceae	5.44	7.66	4.45	4.4	2.36	4.59	5.5	7.44	7.3	5.21	6.07	5.41	5.77	4.71	5.73	4.88	5.56	5.86	4.8
Polyangiaceae	2.42	1.65	1.16	1.49	0.77	2.42	2.41	1.48	1.93	2.01	1.85	2.09	1.52	1.21	2.06	1.51	1.32	1.79	3.7
Pseudonocardiaceae	6.32	12.2	9.02	9.26	5.44	6	6.72	7.39	5.41	6.44	7.35	6.43	10.1	6.68	8.51	8.91	9.92	9.13	3.5
Xanthomonadaceae	2.02	1.65	2.41	2.91	2.9	3.03	1.87	1.81	2.11	2.01	3.32	2.53	1.84	2.49	2.31	2.89	2.28	2.71	3.4
Nocardioidaceae	2.08	3.18	3.31	2.42	2.26	2.75	1.85	3.37	2.07	1.93	2.92	2.15	1.97	1.63	2.69	2.45	2.16	2.18	3.2
Oxalobacteraceae	7.15	5.14	4.42	8.3	8.43	9.99	4.92	3.66	5.84	5.32	4.4	5.31	6.97	8.55	5.24	5.34	5.59	5.39	3.0
Phyllobacteriaceae	1.27	1.31	0.88	1.38	1.23	1.71	1.3	1.06	0.98	1.07	1.21	1.3	1.2	1.04	1.24	1.28	1.23	1.1	2.1
Hyphomicrobiaceae	1.11	1.01	1.32	0.67	0.68	0.95	1.36	0.88	0.46	0.78	0.95	1.17	0.64	0.57	0.66	0.58	0.43	0.99	2.1
Iamiaceae	0.43	0.51	0.5	0.34	0.37	0.44	0.8	0.82	0.56	0.54	0.72	0.82	0.66	0.58	0.77	0.49	0.49	0.53	2.0
Rhizobiaceae	3.32	2.49	5.23	4.53	5.92	4.14	2.7	3.23	2.26	3.34	4.05	3.63	2.49	3.72	2.54	2.9	4.22	2.84	1.9
Caulobacteraceae	2.07	1.91	2.03	1.75	2.04	3.08	1.93	1.46	1.05	1.82	1.9	1.59	1.99	1.81	1.5	1.79	1.67	1.72	1.9
Streptomycetaceae	3.28	3.12	3.38	2.42	1.19	2.02	2.68	3.91	8.96	5.27	3.41	3.47	4.61	3.9	3.69	6.85	4.68	3.56	1.8
Sphingomonadaceae	1.8	1.86	3.18	2.85	3.23	2.56	1.51	1.42	1.18	1.38	1.67	1.88	1.09	1.55	1.21	2.03	1.83	1.43	1.8
Herpetosiphonaceae	0.95	1.25	0.29	0.84	1.05	0.68	0.8	1.82	0.58	0.94	1.46	1.07	3.33	0.5	0.95	1	1.44	1.34	1.8
Baekduiaceae	0.49	0.7	0.41	0.58	0.28	0.51	0.84	0.94	0.49	0.61	0.64	0.89	0.63	0.32	0.59	0.32	0.67	0.43	1.8
Bacillaceae	0.98	0.98	0.53	0.61	0.35	0.91	3.11	1.47	1.95	1.91	1.05	3.88	0.49	0.37	0.73	0.48	0.3	0.7	1.8
Nevskiaceae	1.39	1.25	1.01	1.23	0.46	1.15	1.98	1.42	1.6	1.25	1.62	1.8	1.16	1.45	1.64	1.56	1.42	2.08	1.7
Devosiaceae	1.68	1.34	1.9	1.7	2.97	2.14	1.23	1.63	0.83	1.23	1.37	1.06	0.9	1.11	1.07	1.02	1.29	1.44	1.5
Paenibacillaceae	0.38	0.37	0.63	2.59	0.17	0.6	1.85	1.06	0.36	0.84	0.27	0.68	0.2	0.13	0.26	0.23	0.18	0.13	1.5
Bradyrhizobiaceae	3.55	4.33	4.1	3.54	3	4.11	4.95	3.23	2.83	2.91	3.52	4.04	2.8	2.58	3.74	3.56	2.9	3.82	1.5
Flavobacteriaceae	1.55	1.83	7.15	2.36	4.28	1.89	1.48	7.05	6.59	4.7	2.03	2.02	3.9	4.25	2.76	1.68	3.74	4.45	1.2
Burkholderiaceae	0.31	0.26	0.46	0.35	0.15	0.46	0.4	0.33	0.39	0.33	0.44	0.54	0.26	0.34	0.27	0.24	0.47	0.41	1.2
Fulvivirgaceae	0.39	0.23	0.08	0.21	0.04	0.07	0.87	0.64	0.66	0.73	0.77	0.44	0.58	0.58	0.72	0.73	0.37	0.48	1.1
Microbacteriaceae	1.12	1.59	1.17	1.08	0.63	0.78	1.13	1.37	1.21	1.13	1.33	1.19	1.25	0.95	1.43	1.17	1.27	1.53	1.1
Erythrobacteraceae	0.36	0.32	0.35	0.36	0.48	0.55	0.42	0.53	0.2	0.33	0.4	0.31	0.18	0.33	0.43	0.32	0.35	0.35	1.1
Cytophagaceae	0.6	0.4	0.13	0.11	0.3	0.04	0.65	0.26	0.38	1.38	0.28	0.3	0.51	0.41	0.72	0.68	0.21	0.42	1.0
Conexibacteraceae	0.33	0.37	0.14	0.22	0.27	0.43	0.55	0.4	0.34	0.28	0.42	0.58	0.29	0.18	0.28	0.17	0.34	0.34	1.0
Chloroflexaceae	0.41	0.5	0.13	0.36	0.34	0.17	0.39	0.7	0.5	0.44	0.38	0.51	0.66	0.32	0.45	0.49	0.22	0.47	1.0
Geobacteraceae	0.57	0.37	0.51	0.43	0.41	0.35	0.6	0.49	0.42	0.35	0.57	0.63	0.37	0.46	0.45	0.48	0.46	0.44	0.7
Mycobacteriaceae	0.51	0.51	0.46	0.21	0.13	0.16	0.4	0.33	0.28	0.32	0.23	0.33	0.31	0.18	0.55	0.3	0.29	0.21	0.7
Nannocystaceae	0.27	0.14	0.18	0.24	0.09	0.26	0.36	0.15	0.34	0.26	0.22	0.29	0.34	0.43	0.37	0.39	0.34	0.36	0.7
Alcaligenaceae	0.47	0.18	0.57	0.19	0.25	0.18	0.43	0.35	0.44	0.73	0.84	0.51	0.39	0.28	0.5	0.25	0.11	0.28	0.7
Methylophilaceae	0.26	0.4	0.2	0.19	0.45	0.63	0.21	0.38	0.31	0.3	0.27	0.15	0.35	0.42	0.59	0.39	0.26	0.28	0.7
Lacipirellulaceae	0.02	0.18	0.08	0.03	0	0.05	0.41	0.62	0.28	0.1	0.21	0.35	0.18	0.13	0.19	0.14	0.11	0.05	0.6
Rhodospirillaceae	0.38	0.53	0.24	0.25	0.13	0.23	1.05	0.62	0.58	0.55	0.56	0.62	0.54	0.47	0.48	0.64	0.22	0.38	0.6
Pseudomonadaceae	0.37	0.28	0.22	0.29	1.08	0.33	0.85	2.32	0.37	2.31	1.26	2	0.15	0.18	0.43	0.21	1.05	0.59	0.6
Myxococcaceae	0.2	0.15	0.13	0.06	0.1	0.08	0.18	0.25	0.19	0.3	0.19	0.22	0.15	0.22	0.17	0.15	0.11	0.15	0.6
Boseaceae	0.38	0.38	0.9	1.27	0.79	0.49	0.41	0.53	0.22	0.27	0.48	0.3	0.45	0.3	0.33	0.55	0.79	0.51	0.5
Promicromonosporaceae	0.3	0.34	0.13	0.24	0.11	0.43	0.27	0.21	0.18	0.16	0.52	0.4	0.21	0.24	0.25	0.19	0.11	0.21	0.5
