Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	13.1	14.2	11.2	13.7	9.42	13.3	20.3	15.5	13.8	14.1	14.2	18.8	11.4	11.2	15.2	11.9	10.1	13.6	23.8
Racemicystis	1	0.97	0.77	0.93	0.56	0.74	1.68	0.93	1.12	1.07	1.09	1.41	1	0.78	1.21	0.87	0.99	1.19	2.7
Acidibacter	1.73	1.51	1.25	1.28	0.94	1.16	2.41	1.44	1.51	1.58	1.9	2.06	1.22	1.26	2.36	1.84	1.28	2.15	2.6
Nocardioides	1.57	2.41	2.32	1.86	1.73	2.27	1.51	2.81	1.75	1.44	2.39	1.7	1.64	1.35	2.21	1.8	1.74	1.89	2.5
Herpetosiphon	1.23	1.53	0.41	1.36	1.03	0.69	1.01	2.34	1	1.27	1.53	1.28	4.01	0.61	1.4	1.37	1.89	1.53	2.2
Hyphomicrobium	1.12	1.01	1.23	0.76	0.62	0.97	1.38	0.9	0.44	0.78	0.89	1.22	0.66	0.67	0.76	0.58	0.4	0.9	2.1
Actinomarinicola	0.33	0.54	0.56	0.38	0.33	0.48	0.93	0.78	0.54	0.58	0.7	0.78	0.67	0.66	0.8	0.5	0.5	0.47	1.8
Streptomyces	3.29	3.07	3.4	2.32	1.21	2	2.66	3.92	8.91	5.23	3.34	3.45	4.57	3.89	3.59	6.93	4.64	3.59	1.8
Lysobacter	1.08	0.9	1.27	1.61	1.32	1.23	0.83	0.91	1.32	0.89	1.43	1.34	1.03	1.33	0.92	1.74	1.43	1.62	1.7
Baekduia	0.42	0.56	0.35	0.51	0.28	0.57	1.01	1	0.46	0.57	0.72	0.84	0.52	0.37	0.53	0.48	0.56	0.47	1.6
Sphingomonas	1.41	1.43	2.19	2.37	2.21	1.99	1.19	0.82	0.95	0.88	0.98	1.48	0.73	1.36	0.78	1.49	1.04	0.96	1.5
Massilia	2.16	1.59	1.39	2.66	1.64	3.26	0.89	0.64	1.22	0.97	1.42	2.73	1.05	1.31	1.31	0.97	1.94	1.03	1.4
