Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Rhizobiales	12.5	12.3	15.9	14.5	16.1	15	14	12	8.71	10.8	12.9	12.9	9.6	10.9	11.4	11.2	11.7	11.7	12.6
Burkholderiales	35.8	23.8	30	33.7	43.7	36.4	22.4	18.9	27.4	28.1	26.6	23.4	29.5	37.3	27.5	28.8	30.2	27.3	12.0
Unassigned	5.04	4.95	3.38	3.7	3.63	3.96	6.19	5.27	5.14	5.23	5.79	6.19	4.68	4.7	6.34	5.09	4.15	5.6	9.1
Myxococcales	2.88	2.55	2.21	2.1	1.77	3.06	3.83	2.3	2.69	3.1	2.87	3.38	3.25	2.41	3.31	2.54	2.58	3.13	5.9
Micromonosporales	5.51	7.94	4.68	4.41	2.23	4.72	5.5	7.73	7.48	5.28	6.09	5.53	6.01	4.83	6.09	4.97	5.7	6.19	4.7
Bacillales	1.82	1.92	1.33	3.55	0.64	2.05	5.33	3.23	2.61	3.18	1.98	5.33	0.83	0.67	1.41	1.1	0.65	1.3	4.1
Xanthomonadales	2.16	1.61	2.33	2.74	2.77	3.18	1.82	1.78	2.26	1.89	3.26	2.55	1.76	2.15	2.43	2.87	2.33	2.79	3.7
Solirubrobacterales	1.04	1.31	0.69	0.98	0.62	1.3	2.12	1.86	1.06	1.22	1.44	1.86	1.19	0.78	1.15	0.93	1.2	1.04	3.6
Propionibacteriales	2.61	4.48	3.87	2.93	2.63	3.15	2.61	4.22	2.68	2.47	3.54	2.86	2.74	2.63	3.43	3.26	3.3	3.1	3.5
Pseudonocardiales	6.1	11.7	8.95	9.23	5.38	5.69	6.34	6.83	5.03	6.18	7.16	6	9.61	6.46	7.94	8.66	9.62	8.65	3.3
Sphingomonadales	2.21	2.21	3.64	3.22	3.84	3.11	2.04	1.94	1.39	1.73	2.14	2.23	1.24	1.9	1.62	2.36	2.28	1.82	3.1
Gammaproteobacteria_incertae_sedis	1.74	1.54	1.31	1.34	1	1.19	2.41	1.51	1.52	1.58	1.92	2.1	1.22	1.28	2.37	1.87	1.28	2.2	2.8
Micrococcales	1.86	2.97	1.58	2.1	0.93	1.54	2.46	2.45	1.97	2.22	2.6	2.4	2.66	2.2	2.59	2.36	2.17	2.29	2.6
Cytophagales	1.1	0.66	0.34	0.35	0.38	0.17	1.6	0.97	1.45	2.27	1.12	0.84	1.2	1.19	1.57	1.54	0.72	1.03	2.5
Acidimicrobiales	0.63	0.73	0.69	0.55	0.46	0.6	1.51	0.99	0.76	0.87	1.05	1.24	0.86	0.9	0.99	0.79	0.67	0.68	2.4
Herpetosiphonales	1.23	1.53	0.41	1.36	1.03	0.69	1.01	2.34	1	1.27	1.53	1.28	4.01	0.61	1.4	1.37	1.89	1.53	2.2
Nevskiales	1.4	1.4	1.18	0.98	0.51	1.11	2.04	1.44	1.36	1.11	1.59	1.76	1.02	1.47	1.51	1.67	1.21	2.03	2.0
Caulobacterales	1.95	1.77	1.54	1.39	1.53	2.89	1.57	1.48	1.01	1.35	1.56	1.57	1.38	1.41	1.48	1.35	1.14	1.36	1.9
Streptomycetales	3.3	3.09	3.41	2.32	1.22	2.02	2.67	3.93	8.92	5.23	3.34	3.47	4.61	3.9	3.62	6.95	4.66	3.6	1.8
Rhodospirillales	1.42	2.11	1.1	0.79	0.63	1.19	2.18	1.57	1.33	1.32	1.27	1.74	1.28	1.07	1.14	1.36	0.89	1.13	1.6
Flavobacteriales	1.65	1.84	7.23	2.41	4.37	1.94	1.55	7.22	6.77	4.86	2.15	2.16	3.98	4.54	2.92	2.09	3.93	4.54	1.5
Mycobacteriales	0.66	0.79	0.78	0.29	0.24	0.25	0.53	0.58	0.4	0.59	0.43	0.49	0.61	0.23	0.91	0.5	0.4	0.38	1.0
Desulfuromonadales	0.21	0.15	0.11	0.2	0.1	0.19	0.27	0.21	0.21	0.2	0.28	0.25	0.18	0.2	0.29	0.22	0.25	0.2	1.0
Pirellulales	0.05	0.18	0.13	0.07	0	0.05	0.45	0.65	0.29	0.13	0.28	0.42	0.19	0.16	0.2	0.14	0.11	0.06	0.8
Chloroflexales	0.42	0.52	0.14	0.37	0.33	0.26	0.33	0.4	0.41	0.41	0.39	0.32	0.66	0.35	0.39	0.43	0.24	0.38	0.8
Nitrosomonadales	0.25	0.38	0.17	0.21	0.46	0.61	0.2	0.38	0.3	0.29	0.26	0.16	0.27	0.41	0.61	0.4	0.33	0.27	0.7
Pseudomonadales	0.38	0.27	0.23	0.29	1.16	0.35	0.84	2.26	0.38	2.32	1.2	2	0.17	0.21	0.44	0.24	1.03	0.56	0.7
Chromatiales	0.63	0.76	0.42	0.53	0.23	0.57	1.07	0.7	0.96	0.68	0.79	0.87	0.66	0.6	0.71	0.62	0.59	0.81	0.7
Verrucomicrobiales	0.1	0.06	0.09	0.03	0.05	0.07	0.22	0.13	0.24	0.12	0.22	0.22	0.12	0.09	0.13	0.16	0.08	0.07	0.6
