Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Proteobacteria	63.8	49.5	60.4	61.3	73.4	68.3	53.4	44.8	48.9	54.9	55.1	53.9	48.5	58	54	53.8	52.5	56.1	50.8
Actinobacteria	26.7	39.9	27.9	28.4	17.2	24	28.1	34.6	33.1	28.6	29.9	28	34.7	28.7	31.8	33.9	33.5	31.3	27.7
Unassigned	3.78	4.38	2.4	2.94	3.01	2.99	7.97	7.36	5.51	4.59	7.95	7.79	7.39	5.64	6.77	5.5	6.53	4.06	8.4
Bacteroidetes	3.01	2.64	7.2	3.12	4.75	2.23	3.69	7.85	8.34	7.45	3.26	3.12	4.86	5.98	4.65	3.86	4.82	5.42	4.7
Firmicutes	1.46	1.89	1.29	3.28	0.57	1.64	4.77	2.49	2.28	2.78	1.53	4.65	0.74	0.45	1.05	1.02	0.57	1.08	3.9
Chloroflexi	0.79	1.08	0.4	0.61	0.84	0.47	0.75	1.59	0.69	0.95	1.17	1.08	3.05	0.46	0.8	0.94	1.48	1.24	1.5
Planctomycetes	0.09	0.23	0.14	0.08	0.03	0.08	0.57	0.83	0.37	0.17	0.38	0.56	0.25	0.21	0.28	0.21	0.2	0.16	1.2
Verrucomicrobia	0.06	0.04	0.06	0.04	0.09	0.12	0.22	0.11	0.31	0.2	0.28	0.39	0.22	0.2	0.22	0.24	0.14	0.13	0.7
Gemmatimonadetes	0.17	0.21	0.12	0.11	0.05	0.11	0.21	0.18	0.2	0.13	0.13	0.15	0.06	0.16	0.1	0.14	0.13	0.15	0.4
Nitrospirae	0.04	0.05	0.02	0.05	0.03	0.03	0.08	0.06	0.08	0.04	0.09	0.14	0.09	0.05	0.08	0.28	0.11	0.18	0.2
Chlamydiae	0.02	0.02	0.04	0.02	0.03	0.04	0.03	0.03	0.04	0.09	0.01	0	0	0.01	0.08	0.03	0	0.06	0.2
Acidobacteria	0.02	0.06	0.01	0.01	0.01	0.01	0.22	0.06	0.1	0.05	0.17	0.25	0.1	0.02	0.12	0.1	0.03	0.06	0.2
Spirochaetes	0.01	0.01	0.01	0.02	0.01	0	0.01	0.03	0.03	0.03	0.02	0.02	0	0.05	0.01	0.02	0	0.04	0.1
