DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	OE
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.1), Max. (3.9)
LEGEND_SHAPES	1
LEGEND_TITLE	OE
MARGIN	5
WIDTH	200
DATA
ASV_1647	3.936738
ASV_2	2.612055
ASV_3	2.332107
ASV_4	1.532302
ASV_5	2.9104642
ASV_8	2.183306
ASV_6	1.027958
ASV_7	1.549435
ASV_18	1.385008
ASV_9	1.406165
ASV_10	0.7954958
ASV_11	1.016292
ASV_14	1.077429
ASV_12	0.838688
ASV_15	0.9867257
ASV_13	1.2621094
ASV_16	0.8788438
ASV_17	0.5579599
ASV_28	0.656855
ASV_20	0.3524228
ASV_30	0.7001194
ASV_23	0.5376161
ASV_21	0.576058
ASV_1276	0.5886323
ASV_29	0.6444295
ASV_22	0.3356334
ASV_113	0.3541725
ASV_26	0.5842656
ASV_24	0.2861532
ASV_31	0.3917484
ASV_27	0.5412101
ASV_34	0.548491
ASV_33	0.5026427
ASV_35	0.4329836
ASV_36	0.3764497
ASV_41	0.3353011
ASV_37	0.4867772
ASV_173	0.386798
ASV_38	0.2410926
ASV_40	0.9922035
ASV_39	0.328921
ASV_70	0.3310563
ASV_42	0.3055516
ASV_47	0.3318662
ASV_68	0.2852552
ASV_45	0.2119081
ASV_44	0.2840988
ASV_52	0.3775282
ASV_54	0.1717758
ASV_46	0.4736728
ASV_43	0.3485885
ASV_48	0.4162135
ASV_51	0.2767273
ASV_50	0.3372011
ASV_53	0.3264412
ASV_49	0.4085686
ASV_55	0.3266885
ASV_58	0.2518448
ASV_62	0.292618
ASV_67	0.2032435
ASV_56	0.2542934
ASV_63	0.639274
ASV_61	0.3965011
ASV_59	0.176329
ASV_60	0.2384606
ASV_76	0.2776985
ASV_66	0.1726176
ASV_73	0.2000133
ASV_456	0.1942718
ASV_69	0.2349173
ASV_82	0.1886014
ASV_72	0.1155528
ASV_93	0.3636206
ASV_71	0.1833836
ASV_74	0.2328224
ASV_77	0.1656091
ASV_75	0.1843874
ASV_83	0.1787416
ASV_84	0.193497
ASV_81	0.2727827
ASV_78	0.1694037
