BugBase_ID	KEGG_Label
M00001_Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate_	M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]
M00002_Glycolysis_core_module_involving_three_carbon_compounds_	M00002  Glycolysis, core module involving three-carbon compounds [PATH:map00010]
M00003_Gluconeogenesis_oxaloacetate_fructose_6P_	M00003  Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]
M00004_Pentose_phosphate_pathway_Pentose_phosphate_cycle_	M00004  Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030]
M00005_PRPP_biosynthesis_ribose_5P_PRPP_	M00005  PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030 map00230]
M00006_Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P_	M00006  Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030]
M00007_Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P_	M00007  Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030]
M00008_Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate_	M00008  Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030]
M00009_Citrate_cycle_TCA_cycle_Krebs_cycle_	M00009  Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020]
M00010_Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate_	M00010  Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020]
M00011_Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate_	M00011  Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020]
M00012_Glyoxylate_cycle_	M00012  Glyoxylate cycle [PATH:map00630]
M00013_Malonate_semialdehyde_pathway_propanoyl_CoA_Acetyl_CoA_	M00013  Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA [PATH:map00640]
M00014_Glucuronate_pathway_uronate_pathway_	M00014  Glucuronate pathway (uronate pathway) [PATH:map00040]
M00015_Proline_biosynthesis_glutamate_proline_	M00015  Proline biosynthesis, glutamate => proline [PATH:map00330]
M00016_Lysine_biosynthesis_succinyl_DAP_pathway_aspartate_lysine_	M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map00300]
M00017_Methionine_biosynthesis_apartate_homoserine_methionine_	M00017  Methionine biosynthesis, apartate => homoserine => methionine [PATH:map00270]
M00018_Threonine_biosynthesis_apartate_homoserine_threonine_	M00018  Threonine biosynthesis, apartate => homoserine => threonine [PATH:map00260]
M00019_Valine_isoleucine_biosynthesis_pyruvate_valine_2_oxobutanoate_isoleucine_	M00019  Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map00290]
M00020_Serine_biosynthesis_glycerate_3P_serine_	M00020  Serine biosynthesis, glycerate-3P => serine [PATH:map00260]
M00021_Cysteine_biosynthesis_serine_cysteine_	M00021  Cysteine biosynthesis, serine => cysteine [PATH:map00270]
M00022_Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate_	M00022  Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate [PATH:map00400]
M00023_Tryptophan_biosynthesis_chorismate_tryptophan_	M00023  Tryptophan biosynthesis, chorismate => tryptophan [PATH:map00400]
M00024_Phenylalanine_biosynthesis_chorismate_phenylalanine_	M00024  Phenylalanine biosynthesis, chorismate => phenylalanine [PATH:map00400]
M00025_Tyrosine_biosynthesis_chorismate_tyrosine_	M00025  Tyrosine biosynthesis, chorismate => tyrosine [PATH:map00400]
M00026_Histidine_biosynthesis_PRPP_histidine_	M00026  Histidine biosynthesis, PRPP => histidine [PATH:map00340]
M00027_GABA_gamma_Aminobutyrate_shunt_	M00027  GABA (gamma-Aminobutyrate) shunt [PATH:map00250]
M00028_Ornithine_biosynthesis_glutamate_ornithine_	M00028  Ornithine biosynthesis, glutamate => ornithine [PATH:map00330]
M00029_Urea_cycle_	M00029  Urea cycle [PATH:map00330]
M00030_Lysine_biosynthesis_2_oxoglutarate_2_aminoadipate_lysine_	M00030  Lysine biosynthesis, 2-oxoglutarate => 2-aminoadipate => lysine [PATH:map00300]
M00031_Lysine_biosynthesis_2_aminoadipate_lysine_	M00031  Lysine biosynthesis, 2-aminoadipate => lysine [PATH:map00300]
M00032_Lysine_degradation_lysine_saccharopine_acetoacetyl_CoA_	M00032  Lysine degradation, lysine => saccharopine => acetoacetyl-CoA [PATH:map00310]
M00033_Ectoine_biosynthesis_	M00033  Ectoine biosynthesis [PATH:map00260]
M00034_Methionine_salvage_pathway_	M00034  Methionine salvage pathway [PATH:map00270]
M00035_Methionine_degradation_	M00035  Methionine degradation [PATH:map00270]
M00036_Leucine_degradation_leucine_acetoacetate_acetyl_CoA_	M00036  Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]
